Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,diazy001,00,X,43/G4D
play,1,1,franw002,20,BBX,63/G6M
play,1,1,lowej002,32,BBFBCX,D9/L9D+
play,1,1,arozr001,00,X,63/G56
play,2,1,parei001,22,CFBB.FT,K
play,2,1,ralel001,10,BX,31/G3D+
play,2,1,sirij001,11,BFX,63/G56
play,3,1,mejif001,01,CX,D8/L78XD
play,3,1,brujv001,12,CFFFBS,K
play,3,1,diazy001,11,CBX,8/L8+
play,3,1,franw002,10,BX,31/G3
play,4,1,lowej002,10,BX,S8/G4M
play,4,1,arozr001,11,CBX,S9/L89D.1-2
play,4,1,parei001,21,FBBX,5/P6
play,4,1,ralel001,10,BX,D8/F78XD+.2-H;1-3
play,4,1,sirij001,12,BSFS,K
play,4,1,mejif001,10,BX,HR/F9D.3-H;2-H
play,4,1,brujv001,12,BCFX,13/G23-
play,5,1,diazy001,32,CBBBFB,W
play,5,1,franw002,11,BCX,8/F8XD+
play,5,1,lowej002,11,BSX,7/F78
play,5,1,arozr001,31,FBBBB,W.1-2
play,5,1,parei001,12,BCS.FS,K
play,6,1,ralel001,22,CBSBS,K
play,6,1,sirij001,02,FCFC,K
play,6,1,mejif001,01,CX,31/G3
play,7,1,brujv001,32,BBBCFFB,W
play,7,1,diazy001,10,BX,54(1)/FO/G56.B-1
play,7,1,franw002,21,BC1BX,S7/F7S.1-2
play,7,1,lowej002,00,,NP
