id,CHN202304070
version,2
info,visteam,TEX
info,hometeam,CHN
info,site,CHI11
info,date,2023/04/07
info,number,0
info,gametype,regular
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,ramoc901
info,ump2b,onorb901
info,ump3b,hobep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,43
info,winddir,fromrf
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,137
info,attendance,29094
info,wp,strom001
info,lp,eovan001
info,save,fulmm001
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,8
start,jungj001,"Josh Jung",0,5,5
start,grosr001,"Robbie Grossman",0,6,9
start,garvm001,"Mitch Garver",0,7,2
start,millb002,"Brad Miller",0,8,10
start,smitj007,"Josh H. Smith",0,9,7
start,eovan001,"Nathan Eovaldi",0,0,1
start,hoern001,"Nico Hoerner",1,1,4
start,swand001,"Dansby Swanson",1,2,6
start,happi001,"Ian Happ",1,3,7
start,bellc002,"Cody Bellinger",1,4,8
start,manct001,"Trey Mancini",1,5,10
start,wisdp001,"Patrick Wisdom",1,6,5
start,hosme001,"Eric Hosmer",1,7,3
start,mastm001,"Miles Mastrobuoni",1,8,9
start,barnt001,"Tucker Barnhart",1,9,2
start,strom001,"Marcus Stroman",1,0,1
play,1,0,semim001,22,BFBFFS,K
play,1,0,seagc001,32,BBSBFFF*B,W
play,1,0,lowen001,31,FBBBX,S7/L78S.1-2
play,1,0,garca005,00,X,8/L8D+
play,1,0,jungj001,12,*BCCS,K
play,1,1,hoern001,00,X,8/L89D
play,1,1,swand001,32,CBCBBC,K
play,1,1,happi001,01,CX,43/G4
play,2,0,grosr001,12,CF.BS,K
play,2,0,garvm001,12,CC.BT,K
play,2,0,millb002,32,CBBCBX,63/G6
play,2,1,bellc002,21,CBBX,9/L89D+
play,2,1,manct001,32,BBCBCC,K
play,2,1,wisdp001,32,BBBCFFX,63/G6
play,3,0,smitj007,22,CBSBFX,S7/L6D
play,3,0,semim001,00,X,64(1)3/GDP/G6
play,3,0,seagc001,11,BCX,43/G34
play,3,1,hosme001,31,BBBCB,W
play,3,1,mastm001,22,CFFB*BS,K
play,3,1,barnt001,01,CX,46(1)3/GDP/G34
play,4,0,lowen001,31,BBFBX,13/G1S
play,4,0,garca005,12,CBCS,K
play,4,0,jungj001,10,BX,3/L34
play,4,1,hoern001,11,CBX,S8/L8
play,4,1,swand001,22,BFSBF1X,54(1)/FO/G5.B-1
play,4,1,happi001,32,BCBBC>S,K+SB2
play,4,1,bellc002,11,BFX,S9/L9S.2-H
play,4,1,manct001,01,CX,63/G56
play,5,0,grosr001,20,BBX,63/G4M
play,5,0,garvm001,00,X,3/P3F/FL
play,5,0,millb002,22,BBCC.X,31/G3
play,5,1,wisdp001,32,FF.BBFBT,K
play,5,1,hosme001,02,CTX,23/G2-
play,5,1,mastm001,12,SS.BS,K
play,6,0,smitj007,00,H,HP
play,6,0,semim001,00,>X,143/G4S.1-2
play,6,0,seagc001,32,VCBBFB,W
play,6,0,lowen001,12,BCFS,K
play,6,0,garca005,32,BFFB.B>B,W.2-3;1-2
play,6,0,jungj001,12,*BCFX,43/G34
play,6,1,barnt001,01,CX,S8/G4
play,6,1,hoern001,12,CFBX,S8/L89.1-2
play,6,1,swand001,22,CCBF*BFX,54(1)3/GDP/G56.2-3
play,6,1,happi001,20,BBX,D8/L8XD+.3-H
play,6,1,bellc002,00,,NP
