id,DET202305290
version,2
info,visteam,TEX
info,hometeam,DET
info,site,DET05
info,date,2023/05/29
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ramoc901
info,ump1b,rehaj901
info,ump2b,fairc901
info,ump3b,lentn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:46
info,howscored,unknown
info,pitches,pitches
info,oscorer,klonc701
info,temp,80
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,155
info,attendance,19021
info,wp,eovan001
info,lp,boydm001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,9
start,jungj001,"Josh Jung",0,5,5
start,heimj001,"Jonah Heim",0,6,2
start,grosr001,"Robbie Grossman",0,7,10
start,tavel001,"Leody Taveras",0,8,8
start,thomb003,"Bubba Thompson",0,9,7
start,eovan001,"Nathan Eovaldi",0,0,1
start,mckiz001,"Zach McKinstry",1,1,9
start,baezj001,"Javier Baez",1,2,6
start,greer003,"Riley Greene",1,3,8
start,torks001,"Spencer Torkelson",1,4,10
start,maton001,"Nick Maton",1,5,4
start,badda001,"Akil Baddoo",1,6,7
start,haase001,"Eric Haase",1,7,2
start,ibana001,"Andy Ibanez",1,8,3
start,shorz001,"Zack Short",1,9,5
start,boydm001,"Matthew Boyd",1,0,1
play,1,0,semim001,12,SCBS,K
play,1,0,seagc001,10,BX,43/G34D
play,1,0,lowen001,01,CX,53/G6
play,1,1,mckiz001,22,FBBFT,K
play,1,1,baezj001,22,.CCBBX,4/L4D
play,1,1,greer003,22,CSBBX,63/G4M
play,2,0,garca005,02,CCC,K
play,2,0,jungj001,00,X,S8/L89S+
play,2,0,heimj001,20,BB1,POCS2(134)
play,2,0,heimj001,22,BB1.SF.S,K
play,2,1,torks001,31,FBBBB,W
play,2,1,maton001,32,SBBS.BFB,W.1-2
play,2,1,badda001,01,.FX,S9/L9S.2-3;1-2
play,2,1,haase001,21,BFBX,32(3)/FO/G3.2-3;1-2;B-1
play,2,1,ibana001,10,BX,64(1)3/GDP/G6S
com,"$Rangers challenged (play at 1st), call on the field was overturned."
play,3,0,grosr001,32,BFSBBX,63/G6
play,3,0,tavel001,11,BCX,D8/L9
play,3,0,thomb003,22,CSB*BX,8/F89XD.2-3
play,3,0,semim001,00,X,53/G56
play,3,1,shorz001,32,BBFBFFFC,K
play,3,1,mckiz001,32,BBCSBX,S7/L78S
play,3,1,baezj001,12,BCS1F*S,K
play,3,1,greer003,00,X,S9/L9L.1-3
play,3,1,torks001,20,BBX,63/G6
play,4,0,seagc001,01,CX,3/G3D
play,4,0,lowen001,12,BFFX,S15/L56S
play,4,0,garca005,30,B*B*BX,7/F78S
play,4,0,jungj001,00,B,WP.1-2
play,4,0,jungj001,31,B.CBBB,W
play,4,0,heimj001,00,X,6/P6
play,4,1,maton001,11,BSX,43/G34
play,4,1,badda001,01,CX,7/F7LDF/FL
play,4,1,haase001,32,SS.BBFBF*B,W
play,4,1,ibana001,02,CFF.S,K
play,5,0,grosr001,32,CC.BBBFB,W
play,5,0,tavel001,02,CS.S,K
play,5,0,thomb003,10,BX,13/BG23-/BINT.1-1
play,5,0,semim001,31,FBB1B1B,W.1-2
play,5,0,seagc001,00,X,HR/F89XD.2-H;1-H
play,5,0,lowen001,10,BX,43/G34
play,5,1,shorz001,22,BCFBFX,6/F78S
play,5,1,mckiz001,12,CBFFFX,43/G1S
play,5,1,baezj001,10,BX,S7/L7D+
play,5,1,greer003,32,*BBFSB>X,43/G34
play,6,0,garca005,22,SBF.BS,K
play,6,0,jungj001,21,BFBX,8/F89XD
play,6,0,heimj001,00,X,63/G6
play,6,1,torks001,00,,NP
