id,NYA202306250
version,2
info,visteam,TEX
info,hometeam,NYA
info,site,NYC21
info,date,2023/06/25
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacoj901
info,ump1b,blasc901
info,ump2b,fleta901
info,ump3b,torrc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/28 09:03:52
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,79
info,winddir,unknown
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,169
info,attendance,46064
info,wp,marir001
info,lp,kingj002
info,save,kingm002
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,10
start,jungj001,"Josh Jung",0,5,5
start,heimj001,"Jonah Heim",0,6,2
start,grosr001,"Robbie Grossman",0,7,9
start,durae002,"Ezequiel Duran",0,8,7
start,tavel001,"Leody Taveras",0,9,8
start,eovan001,"Nathan Eovaldi",0,0,1
start,torrg001,"Gleyber Torres",1,1,4
start,badeh001,"Harrison Bader",1,2,8
start,rizza001,"Anthony Rizzo",1,3,3
start,stanm004,"Giancarlo Stanton",1,4,10
start,bauej001,"Jake Bauers",1,5,9
start,lemad001,"DJ LeMahieu",1,6,5
start,mckib001,"Billy McKinney",1,7,7
start,volpa001,"Anthony Volpe",1,8,6
start,trevj001,"Jose Trevino",1,9,2
start,coleg001,"Gerrit Cole",1,0,1
play,1,0,semim001,22,BSBSX,D7/L7L
play,1,0,seagc001,32,BCBBCX,S8/L8S.2-H
play,1,0,lowen001,12,CC*BT,K
play,1,0,garca005,22,SBBS.C,K
play,1,0,jungj001,22,CC+1BBFFC,K
play,1,1,torrg001,22,CFBBX,D9/L89D
play,1,1,badeh001,11,FBX,4/F34D/DP.2X2(46)
play,1,1,rizza001,12,SS.BFS,K
play,2,0,heimj001,00,X,HR/F9D
play,2,0,grosr001,02,CCS,K
play,2,0,durae002,12,SF.BX,D8/L89D
play,2,0,tavel001,12,CFBN,BK.2-3
play,2,0,tavel001,22,CFBN..BX,D7/L7.3-H
play,2,0,semim001,00,>B,SB3
play,2,0,semim001,32,>B.BSTBFT,K
play,2,0,seagc001,00,X,8/F8XD
play,2,1,stanm004,31,BBBFB,W
play,2,1,bauej001,22,FCBFFBFX,D8/F78XD+.1-3
play,2,1,lemad001,01,FX,D9/L89XD+.3-H;2-H
play,2,1,mckib001,01,CX,31/G3.2-3
play,2,1,volpa001,22,BCBSS,K
play,2,1,trevj001,10,BX,43/G4
play,3,0,lowen001,21,BS.BX,43/G34
play,3,0,garca005,02,SSF.S,K
play,3,0,jungj001,32,BBBF.FFB,W
play,3,0,heimj001,02,FSFX,S9/L9LD.1-3
play,3,0,grosr001,12,SCFFVX,8/F89D
play,3,1,torrg001,22,CBFFBT,K
play,3,1,badeh001,10,BX,13/G1
play,3,1,rizza001,11,BSX,43/G34
play,4,0,durae002,12,SSFF.BFX,63/G6
play,4,0,tavel001,11,BFX,S7/L78D
play,4,0,semim001,21,FBB+1,PO1(23)
play,4,0,semim001,32,FBB+1.CBX,9/F9D
play,4,1,stanm004,22,FSBFB*S,K
play,4,1,bauej001,31,BCBBB,W
play,4,1,lemad001,00,X,46(1)3/GDP/G34
play,5,0,seagc001,32,CBSFBBFT,K
play,5,0,lowen001,12,CBSX,D8/L89XD+
play,5,0,garca005,00,X,9/F9
play,5,0,jungj001,22,FBBTFX,S9/L9.2-3
play,5,0,heimj001,00,,NP
sub,cordj001,"Jimmy Cordero",1,0,1
play,5,0,heimj001,02,.FFFX,3/G3S
play,5,1,mckib001,11,BSX,43/G34
play,5,1,volpa001,22,CBBF*S,K
play,5,1,trevj001,00,X,9/L9D
play,6,0,grosr001,12,FBSX,7/L78
play,6,0,durae002,00,X,43/G4MD
play,6,0,tavel001,31,BSBBB,W
play,6,0,semim001,30,B1BBX,S7/G56.1-2
play,6,0,seagc001,00,,NP
sub,ramin003,"Nick Ramirez",1,0,1
play,6,0,seagc001,22,.SCBBS,K
play,6,1,torrg001,32,BFBCBX,9/F9
play,6,1,badeh001,32,BBCFBX,D8/L78XD+
play,6,1,rizza001,31,BBCBX,31/G3.2-3
play,6,1,stanm004,00,,NP
