id,ANA202307020
version,2
info,visteam,ARI
info,hometeam,ANA
info,site,ANA01
info,date,2023/07/02
info,number,0
info,gametype,regular
info,starttime,1:07PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,eddid901
info,ump1b,barrl901
info,ump2b,dejer901
info,ump3b,marqa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/29 12:23:03
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,80
info,winddir,torf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,141
info,attendance,29167
info,wp,detmr001
info,lp,gallz001
info,save,estec001
start,martk001,"Ketel Marte",0,1,4
start,lewik001,"Kyle Lewis",0,2,10
start,gurrl001,"Lourdes Gurriel Jr.",0,3,7
start,walkc002,"Christian Walker",0,4,3
start,longe001,"Evan Longoria",0,5,5
start,kellc002,"Carson Kelly",0,6,2
start,fletd003,"Dominic Fletcher",0,7,9
start,ahmen001,"Nick Ahmed",0,8,6
start,thoma004,"Alek Thomas",0,9,8
start,gallz001,"Zac Gallen",0,0,1
start,monim001,"Mickey Moniak",1,1,9
start,troum001,"Mike Trout",1,2,8
start,ohtas001,"Shohei Ohtani",1,3,10
start,renda001,"Anthony Rendon",1,4,5
start,mousm001,"Mike Moustakas",1,5,3
start,wardt002,"Taylor Ward",1,6,7
start,thaim001,"Matt Thaiss",1,7,2
start,escoe001,"Eduardo Escobar",1,8,4
start,fletd002,"David Fletcher",1,9,6
start,detmr001,"Reid Detmers",1,0,1
play,1,0,martk001,02,SCS,K
play,1,0,lewik001,22,CBSFBX,8/F8XD+
play,1,0,gurrl001,30,BBBB,W
play,1,0,walkc002,22,CFBFBS,K
play,1,1,monim001,12,CFBS,K
play,1,1,troum001,11,BSX,HR/F78XD
play,1,1,ohtas001,12,FF.B*S,K
play,1,1,renda001,32,CBBC.FFBB,W
play,1,1,mousm001,02,CFS,K
play,2,0,longe001,31,BBCB.B,W
play,2,0,kellc002,11,BFX,HR/F7D.1-H
play,2,0,fletd003,02,CSFS,K
play,2,0,ahmen001,32,BBBCCF.S,K
play,2,0,thoma004,00,X,43/G34
play,2,1,wardt002,12,BCC*S,K
play,2,1,thaim001,02,CCT,K
play,2,1,escoe001,00,X,S9/L9D+
play,2,1,fletd002,00,X,S8/L8.1-2
play,2,1,monim001,22,FF*BBX,HR/F8XD.2-H;1-H
play,2,1,troum001,32,BBBSSC,K
play,3,0,martk001,21,CBBX,9/F9
play,3,0,lewik001,22,BFBFX,9/F9LSF/FL
play,3,0,gurrl001,00,X,DGR/L7LD+
play,3,0,walkc002,00,X,5/L5
play,3,1,ohtas001,12,BFS.C,K
play,3,1,renda001,31,BBBCX,9/F9S
play,3,1,mousm001,32,FBBCBS,K
play,4,0,longe001,02,CSS,K
play,4,0,kellc002,12,CBS.C,K
play,4,0,fletd003,10,BX,8/F78XD
play,4,1,wardt002,02,FFX,53/G5
play,4,1,thaim001,00,X,7/F7L
play,4,1,escoe001,22,CBSBS,K
play,5,0,ahmen001,32,BBSBCS,K
play,5,0,thoma004,12,CSB.X,S9/L34D+
play,5,0,martk001,22,BFBF1F>FF1>FS,K
play,5,0,lewik001,32,BC1SBB>X,7/F78D
play,5,1,fletd002,00,X,5/L56
play,5,1,monim001,01,CX,8/L8D
play,5,1,troum001,32,CBBCBFS,K
play,6,0,gurrl001,22,FBBCF.X,8/F89XD
play,6,0,walkc002,32,BCBS.BS,K
play,6,0,longe001,00,.X,9/L9L
play,6,1,ohtas001,20,BBX,7/F7
play,6,1,renda001,11,FBX,3/F3DF/FL
play,6,1,mousm001,12,CSBX,6/F8S
play,7,0,kellc002,00,,NP
sub,sorij002,"Jose Soriano",1,0,1
play,7,0,kellc002,11,.BCX,63/G6MS
play,7,0,fletd003,12,CCBX,S9/G34
play,7,0,ahmen001,00,,NP
sub,perdg001,"Geraldo Perdomo",0,8,11
play,7,0,perdg001,32,.CF*BBBB,W.1-2
play,7,0,thoma004,01,CX,36(1)/FO/G34.2-3;B-1
play,7,0,martk001,12,F*BSC,K
play,7,1,wardt002,00,,NP
sub,perdg001,"Geraldo Perdomo",0,8,6
play,7,1,wardt002,10,.BX,43/G4M
play,7,1,thaim001,00,X,S9/L9S+
play,7,1,escoe001,32,BBCBS.>F>S,K+SB2
play,7,1,fletd002,12,FF*BS,K
play,8,0,lewik001,00,,NP
sub,velaa001,"Andrew Velazquez",1,8,6
play,8,0,lewik001,00,.,NP
sub,fletd002,"David Fletcher",1,9,4
play,8,0,lewik001,00,..,NP
sub,webbj002,"Jacob Webb",1,0,1
play,8,0,lewik001,32,...CBBSBS,K
play,8,0,gurrl001,00,X,7/F78D
play,8,0,walkc002,11,BFX,4/F8S
play,8,1,monim001,00,,NP
sub,nelsk001,"Kyle Nelson",0,0,1
play,8,1,monim001,00,.,NP
sub,renfh001,"Hunter Renfroe",1,1,11
play,8,1,renfh001,12,..BSFX,63/G6
play,8,1,troum001,02,SCFT,K
play,8,1,ohtas001,12,FBS.X,HR/F9D
play,8,1,renda001,01,CX,8/F1S
play,9,0,longe001,00,,NP
sub,renfh001,"Hunter Renfroe",1,1,9
play,9,0,longe001,00,.,NP
sub,estec001,"Carlos Estevez",1,0,1
play,9,0,longe001,00,..,NP
sub,mccaj003,"Jake McCarthy",0,5,11
play,9,0,mccaj003,22,...FF.FFFBBX,S8/L8
play,9,0,kellc002,00,,NP
sub,carrc005,"Corbin Carroll",0,6,11
play,9,0,carrc005,00,.X,46(1)/FO/G34+.B-1
play,9,0,fletd003,32,SB+1FFBFFFB1X,8/F8XD
play,9,0,perdg001,00,>C,DI.1-2
play,9,0,perdg001,12,>C.CBC,K
data,er,nelsk001,1
data,er,gallz001,4
data,er,sorij002,0
data,er,webbj002,0
data,er,estec001,0
data,er,detmr001,2
