id,NYN202309130
version,2
info,visteam,ARI
info,hometeam,NYN
info,site,NYC20
info,date,2023/09/13
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsh902
info,ump1b,millb901
info,ump2b,ortir901
info,ump3b,drakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/17 07:18:40
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,77
info,winddir,ltor
info,windspeed,3
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,165
info,attendance,22026
info,wp,luccj001
info,lp,gallz001
info,save,
start,martk001,"Ketel Marte",0,1,4
start,lawlj001,"Jordan Lawlar",0,2,6
start,phamt001,"Tommy Pham",0,3,9
start,walkc002,"Christian Walker",0,4,3
start,gurrl001,"Lourdes Gurriel Jr.",0,5,7
start,longe001,"Evan Longoria",0,6,10
start,rivee001,"Emmanuel Rivera",0,7,5
start,mccaj003,"Jake McCarthy",0,8,8
start,zavas001,"Seby Zavala",0,9,2
start,gallz001,"Zac Gallen",0,0,1
start,nimmb001,"Brandon Nimmo",1,1,7
start,lindf001,"Francisco Lindor",1,2,6
start,alonp001,"Pete Alonso",1,3,3
start,stewd002,"DJ Stewart",1,4,9
start,mcnej002,"Jeff McNeil",1,5,4
start,orter001,"Rafael Ortega",1,6,8
start,vienm001,"Mark Vientos",1,7,10
start,batyb001,"Brett Baty",1,8,5
start,narvo001,"Omar Narvaez",1,9,2
start,luccj001,"Joey Lucchesi",1,0,1
play,1,0,martk001,22,BBFC.X,63/G56
play,1,0,lawlj001,20,BB.X,63/G6
play,1,0,phamt001,00,X,S9/G34
play,1,0,walkc002,30,B1BB>C,SB2
play,1,0,walkc002,32,B1BB>C.FS,K
play,1,1,nimmb001,20,BBX,8/L8D+
play,1,1,lindf001,11,BCX,D9/F9D
play,1,1,alonp001,22,FT.FBB>X,S7/L7.2-H
play,1,1,stewd002,21,SBBX,4/P34
play,1,1,mcnej002,10,BX,8/L78
play,2,0,gurrl001,31,CBBBX,63/G6
play,2,0,longe001,10,BX,9/F9D+
play,2,0,rivee001,32,CFBBBB,W
play,2,0,mccaj003,00,X,2/P2F-/FL
play,2,1,orter001,12,FCBS,K
play,2,1,vienm001,00,X,13/G1
play,2,1,batyb001,02,CS.C,K
play,3,0,zavas001,01,FX,3/P4S
play,3,0,martk001,20,BBX,53/G56
play,3,0,lawlj001,00,X,63/G56
play,3,1,narvo001,00,X,7/L7
play,3,1,nimmb001,32,C.BBFBFX,31/G3
play,3,1,lindf001,10,BX,3/G3+
play,4,0,phamt001,32,CFBBBB,W
play,4,0,walkc002,10,B1X,7/L7+
play,4,0,gurrl001,32,*BVSV1FX,S8/L78.1-3;BX2(84)
play,4,0,longe001,32,BBFBSX,9/F9
play,4,1,alonp001,12,CFBF.X,7/F78D+
play,4,1,stewd002,11,BFX,63/G4M
play,4,1,mcnej002,00,X,S9/G34
play,4,1,orter001,10,BX,D9/L9L+.1-H;B-3
play,4,1,vienm001,12,CB*S.*S,K
play,5,0,rivee001,32,CBCBBFX,9/F9
play,5,0,mccaj003,32,FBBBCFT,K
play,5,0,zavas001,00,X,3/G34
play,5,1,batyb001,02,CSX,S9/L9S
play,5,1,narvo001,22,B1BFCFX,7/F7LS
play,5,1,nimmb001,02,CFX,13/G1S-.1-2
play,5,1,lindf001,32,SF*B*BBFB,W
play,5,1,alonp001,12,CFBX,D8/L78XD+.2-H;1-H
play,5,1,stewd002,10,BH,HP
play,5,1,mcnej002,02,FF*S,K
play,6,0,martk001,21,BF.BX,S9/G34
play,6,0,lawlj001,00,X,S3/BG34S-.1-2
play,6,0,phamt001,21,BBCX,64(1)3/GDP/G6.2-3
play,6,0,walkc002,22,CBF*BX,8/F8XD+
play,6,1,orter001,30,BBBB,W
