Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,11,BFX,9/F89D
play,1,1,albio001,00,X,8/F78XD
play,1,1,rilea001,01,CX,53/G56D
play,2,1,olsom001,12,BFC*S,K.BX1(23)
play,2,1,darnt001,22,FCBFFFBFS,K
play,2,1,ozunm001,32,CBBFFFBX,53/G56
play,3,1,rosae001,12,CCB*S,K
play,3,1,arcio002,20,BBX,7/L78D+
play,3,1,harrm004,02,CFX,43/G4
play,4,1,acunr001,00,X,9/L9D+
play,4,1,albio001,32,CSBBFBFS,K
play,4,1,rilea001,32,SFBFBBX,9/L9
play,5,1,olsom001,01,CX,31/G3
play,5,1,darnt001,22,FBFBX,9/F9L
play,5,1,ozunm001,30,BBBX,8/L78D
play,6,1,rosae001,02,SFS,K
play,6,1,arcio002,11,FBX,HR/F7LD
play,6,1,harrm004,00,X,D8/G6M
play,6,1,acunr001,12,FC*BN,CS3(15)
play,6,1,acunr001,22,FC*BN.BX,S68/G6M
play,6,1,albio001,31,B1BFBX,8/F8D
play,7,1,rilea001,32,FCBBBX,T4/F9+
play,7,1,olsom001,30,BBBX,HR/F78XD.3-H
play,7,1,darnt001,01,FX,9/F9LD
play,7,1,ozunm001,10,BX,9/F9L
play,7,1,rosae001,21,BBSX,4/L4
play,8,1,arcio002,00,,NP
