Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mckiz001,21,BFBX,43/G34D
play,1,1,torks001,22,CBBCC,K
play,1,1,carpk001,02,SCX,S7/L7L
play,1,1,baezj001,01,C1X,S9/L9S.1-3
play,1,1,maton001,00,X,DGR/F7LD.3-H;1-3
play,1,1,haase001,12,BCFS,K
play,2,1,cabrm001,02,FS*S,K
play,2,1,schoj001,32,BFBFBX,63/G6
play,2,1,marij002,00,X,63/G6
play,3,1,mckiz001,11,CBX,8/L8XD+
play,3,1,torks001,31,BBBCX,D7/L7D+
play,3,1,carpk001,12,FSBX,S8/L89S+.2-3
play,3,1,baezj001,00,X,8/SF/L89D.3-H
play,3,1,maton001,32,S1BS*B*B>X,3/G3
play,4,1,haase001,01,CX,63/G6D
play,4,1,cabrm001,00,X,S8/G4M
play,4,1,schoj001,12,CSBX,3/P23
play,4,1,marij002,00,X,D8/L78XD.1-H
play,4,1,mckiz001,00,X,HR/F89XD.2-H
play,4,1,torks001,32,BSS.BBB,W
play,4,1,carpk001,00,X,S9/L89S.1-3
play,4,1,baezj001,12,BC1T.S,K
play,5,1,maton001,01,CX,8/F8
play,5,1,haase001,21,BBSX,9/F9LS
play,5,1,cabrm001,12,BSS.*S,K
play,6,1,schoj001,32,BBCFBB,W
play,6,1,marij002,11,BT1X,S7/L78S.1-2
play,6,1,mckiz001,12,BFCX,7/F7D.2-3
play,6,1,torks001,11,B1F1X,4/P34
play,6,1,carpk001,00,,NP
