Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bettm001,12,CBSS,K
play,1,1,freef001,02,CFS,K
play,1,1,smitw003,00,X,D9/L9LD+
play,1,1,muncm001,22,BCBSC,K
play,2,1,martj006,32,BCBFBX,53/G56S
play,2,1,perad001,10,BX,43/G4
play,2,1,vargm001,02,FFX,8/F8
play,3,1,outmj002,32,SCBBBB,W
play,3,1,rojam002,02,S11CX,DGR/L9L.1-3
play,3,1,bettm001,22,BFF*B*S,K
play,3,1,freef001,21,BFBX,6/L6D
play,3,1,smitw003,22,FBBCX,S9/L9L.3-H;2-H
play,3,1,muncm001,12,F*BCT,K
play,4,1,martj006,00,X,9/F9LS
play,4,1,perad001,21,CBBX,143/G4MS+
play,4,1,vargm001,30,BBBB,W
play,4,1,outmj002,12,B1FSS,K
play,5,1,rojam002,00,X,3/P3DF/FL
play,5,1,bettm001,32,BBFFBFB,W
play,5,1,freef001,31,B1BBFX,S9/L9LS.1-3
play,5,1,smitw003,02,FCX,S9/P3D.3-H;1-3
play,5,1,muncm001,12,CBSS,K
play,5,1,martj006,12,FSFBX,S9/L9+.3-H;1-2
play,5,1,perad001,00,,NP
play,1,1,bettm001,12,CCB*S,K
play,1,1,freef001,12,FFBX,HR/F9D
play,1,1,smitw003,00,X,S8/G6
play,1,1,muncm001,10,*BX,HR/F89XD+.1-H
play,1,1,perad001,11,BCX,63/G4MD+
play,1,1,heywj001,32,CBSBBFX,5/P5F/FL
play,2,1,outmj002,00,X,53/G56
play,2,1,herne001,02,CCX,8/F89D
play,2,1,buscm003,20,BBX,3/G3
play,3,1,bettm001,21,BBSX,53/G56
play,3,1,freef001,31,BBCBX,31/G3
play,3,1,smitw003,22,CBBC.FX,9/F9D
play,4,1,muncm001,12,C.FBX,S8/L78
play,4,1,perad001,00,X,6(1)3/GDP/G6M+
play,4,1,heywj001,32,.BCSFBBB,W
play,4,1,outmj002,31,C1*BBB*B,W.1-2
play,4,1,herne001,11,BCX,64(1)/FO/G6.B-1
play,5,1,buscm003,32,FBSBBF.B,W
play,5,1,bettm001,20,B1*BX,7/F7D
play,5,1,freef001,10,BX,8/F8XD
play,5,1,smitw003,32,BCBC*B>X,S9/G34.1-3
play,5,1,muncm001,12,CBCC,K
play,6,1,perad001,10,BX,S9/L9+
play,6,1,heywj001,10,BX,HR/F9D+.1-H
play,6,1,outmj002,20,BBX,HR/F9LD+
play,6,1,herne001,12,BFFC,K
play,6,1,buscm003,31,BSBBX,S9/G34
play,6,1,bettm001,00,,NP
