Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,chisj001,12,CFBS,K
play,1,1,coopg002,22,FBFFFBT,K
play,1,1,arral001,11,CBX,7/F7LD
play,2,1,solej001,10,BX,53/G56
play,2,1,delab001,31,BBBCX,53/G56
play,2,1,garca003,10,BX,8/L89
play,3,1,seguj002,02,CFFX,9/L9LD
play,3,1,stalj001,02,CCS,K
play,3,1,bertj001,22,CBBFFX,63/G6
play,4,1,chisj001,22,CBSBC,K
play,4,1,coopg002,12,SFBX,9/L9+
play,4,1,arral001,32,FBBBCX,43/G4
play,5,1,solej001,32,BCBBCX,8/F8
play,5,1,delab001,00,X,S8/L8D+
play,5,1,garca003,12,C1BSH,HP.1-2
play,5,1,seguj002,11,BCX,8/L8D+
play,5,1,stalj001,02,CS*S,K.BX1(23)
play,6,1,bertj001,22,CBBFX,13/G4MS-
play,6,1,chisj001,22,CCBBX,8/L8XD+
play,6,1,coopg002,32,FBF.BBC,K
play,7,1,arral001,21,BFBX,31/G3
play,7,1,solej001,20,BBX,D7/L78D+
play,7,1,delab001,22,SF*BFBC,K
play,7,1,garca003,00,,NP
