Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,julie001,32,CSBBB.B,W
play,1,1,corrc001,22,BCFBX,54(1)3/GDP/G5
play,1,1,keplm001,22,CFBBS,K
play,2,1,solad001,01,CX,63/G6
play,2,1,wallm001,22,FCBBC,K
play,2,1,jeffr002,12,BFF.FS,K
play,3,1,vazqc001,11,BSX,43/G34
play,3,1,castw003,02,CFS,K
play,3,1,taylm002,22,CBS.FB*S,K
play,4,1,julie001,00,X,S7/L7S
play,4,1,corrc001,22,C1FBB1X,64(1)3/GDP/G6+
play,4,1,keplm001,10,BX,9/L89
play,5,1,solad001,00,,NP
play,5,1,solad001,12,.FFBX,9/L9L
play,5,1,wallm001,10,BX,13/G3S
play,5,1,jeffr002,12,.CFBT,K
play,6,1,vazqc001,00,X,4/F8S
play,6,1,castw003,21,BBFX,D9/L9L
play,6,1,taylm002,12,CBFS,K
play,6,1,julie001,22,BBCCB,WP.2-3
play,6,1,julie001,32,BBCCB.*B,W
play,6,1,corrc001,12,CBF>B,SB2
play,6,1,corrc001,22,CBF>B.X,S7/L78S.3-H;2-H
play,6,1,keplm001,12,FF.F1*B+1C,K
play,7,1,solad001,12,CFBH,HP
play,7,1,wallm001,12,CSBFX,46(1)/FO/G34.B-1
play,7,1,jeffr002,01,CX,S5/G25.1-2
play,7,1,vazqc001,11,*BCX,5/L5+/DP.2X2(54)
play,8,1,castw003,00,,NP
play,8,1,castw003,00,.,NP
