Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,nimmb001,20,BBX,8/L8D+
play,1,1,lindf001,11,BCX,D9/F9D
play,1,1,alonp001,22,FT.FBB>X,S7/L7.2-H
play,1,1,stewd002,21,SBBX,4/P34
play,1,1,mcnej002,10,BX,8/L78
play,2,1,orter001,12,FCBS,K
play,2,1,vienm001,00,X,13/G1
play,2,1,batyb001,02,CS.C,K
play,3,1,narvo001,00,X,7/L7
play,3,1,nimmb001,32,C.BBFBFX,31/G3
play,3,1,lindf001,10,BX,3/G3+
play,4,1,alonp001,12,CFBF.X,7/F78D+
play,4,1,stewd002,11,BFX,63/G4M
play,4,1,mcnej002,00,X,S9/G34
play,4,1,orter001,10,BX,D9/L9L+.1-H;B-3
play,4,1,vienm001,12,CB*S.*S,K
play,5,1,batyb001,02,CSX,S9/L9S
play,5,1,narvo001,22,B1BFCFX,7/F7LS
play,5,1,nimmb001,02,CFX,13/G1S-.1-2
play,5,1,lindf001,32,SF*B*BBFB,W
play,5,1,alonp001,12,CFBX,D8/L78XD+.2-H;1-H
play,5,1,stewd002,10,BH,HP
play,5,1,mcnej002,02,FF*S,K
play,6,1,orter001,30,BBBB,W
play,6,1,vienm001,00,1X,HR/F78XD.1-H
play,6,1,batyb001,32,BCFBBX,S8/L78S
play,6,1,narvo001,00,,NP
