Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mccua001,10,BX,S7/L7LD+
play,1,1,reynb001,00,X,64(1)3/GDP/G6
play,1,1,suwij001,01,FX,9/F89D
play,2,1,santc002,11,CBX,D8/L89XD+
play,2,1,hayek001,00,X,D8/L8XD+.2-H
play,2,1,marct001,21,CB2BX,8/F78
play,2,1,bae-j001,10,BX,13/G34S-.2-3
play,2,1,palaj001,31,BBFB*B,W
play,2,1,hedga001,02,F1T>X,63/G6M
play,3,1,mccua001,00,X,S8/L8
play,3,1,reynb001,32,FBFFBB>X,8/F78XD
play,3,1,suwij001,32,BC1BSB>F>F1>FS,K
play,3,1,santc002,00,X,8/L8D
play,4,1,hayek001,01,CX,8/F8XD
play,4,1,marct001,32,CBCBBB,W
play,4,1,bae-j001,10,1BX,D8/L8XD.1-3
play,4,1,palaj001,11,BFX,S7/G6.3-H;2-H
play,4,1,hedga001,01,FX,FC5/G56.1-2(E5);B-1
play,4,1,mccua001,31,*B*B*S*BB,W.2-3;1-2
play,4,1,reynb001,32,CFBFBBB,W.3-H(UR);2-3;1-2
play,4,1,suwij001,11,BSX,D9/L9LD+.3-H;2-H;1-3
play,4,1,santc002,02,SCT,K
play,4,1,hayek001,21,CBBX,S8/G6M.3-H(UR);2-H(UR)
play,4,1,marct001,00,,NP
