Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,grist001,22,BBFSC,K
play,1,1,sotoj001,10,BX,3/G3S
play,1,1,machm001,32,BBCBSA,K
play,2,1,bogax001,01,CX,53/G5
play,2,1,cronj001,22,CSBFBX,D8/L8XD+
play,2,1,carpm002,12,BCCX,8/F8
play,2,1,nolaa002,22,BFC*BX,S48/G4M.2-H;B-2
play,2,1,dahld001,01,*SX,3/G3
play,3,1,kim-h002,12,CBCS,K
play,3,1,grist001,12,BCSX,2/P2F/FL
play,3,1,sotoj001,12,CCBX,43/G34
play,4,1,machm001,00,,NP
play,4,1,cruzn002,00,.X,HR/F7D
play,4,1,bogax001,22,BCCBX,S8/L8S
play,4,1,cronj001,10,BX,S7/L78S.1-2
play,4,1,carpm002,00,X,9/F9D.2-3
play,4,1,nolaa002,31,M1BB*B3>B,W.3-H(E2/TH)(NR)(UR);1-3
play,4,1,dahld001,01,SX,FC/G3S.3XH(325);1-3;B-2
play,4,1,kim-h002,00,X,53/G5
play,5,1,grist001,00,X,6/P6M
play,5,1,sotoj001,22,CCBBFX,D9/L89XD
play,5,1,cruzn002,12,CBFX,63/G6
play,5,1,bogax001,00,X,HR/F7D.2-H
play,5,1,cronj001,12,CCBX,8/F8XD
play,6,1,carpm002,00,X,9/L89D
play,6,1,nolaa002,12,CCBX,4/P4D
play,6,1,dahld001,22,BFFBX,7/F78XD
play,7,1,kim-h002,00,,NP
play,1,1,kim-h002,11,FBX,7/L7D
play,1,1,tatif002,11,CBX,8/F78XD+
play,1,1,sotoj001,22,BCS.BFX,7/F7LD
play,2,1,machm001,21,BBFX,9/F9D
play,2,1,bogax001,02,CFX,5/P56
play,2,1,cronj001,10,BX,3/G3
play,3,1,campl002,11,CBX,63/G6
play,3,1,coopg002,00,X,DGR/L7LD+
play,3,1,grist001,22,*BCF.*BS,K
play,3,1,kim-h002,21,BFBX,7/F7D
play,4,1,tatif002,31,BBBCB,W
play,4,1,sotoj001,01,CX,8/L8XD
play,4,1,machm001,32,TBB.*BC>FC,K
play,4,1,bogax001,32,BCBFF*B>X,7/L7D
play,5,1,cronj001,32,BBCFBX,D8/F78XD
play,5,1,campl002,22,FC*BF*B.FFFX,7/L7+
play,5,1,coopg002,32,CFBBBC,K
play,5,1,grist001,11,BCX,S9/L9+.2-H
play,5,1,kim-h002,31,BBCBX,9/L9
play,6,1,tatif002,21,BBFX,9/F9D
play,6,1,sotoj001,11,CBX,63/G4M
play,6,1,machm001,22,BFFBFX,8/F89XD+
play,7,1,bogax001,20,BBX,6/L6D
play,7,1,cronj001,00,,NP
