Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,semim001,11,CBX,D9/F9LD
play,1,1,jankt001,12,BCFX,43/G34.2-3
play,1,1,lowen001,00,X,S7/L7S.3-H
play,1,1,garca005,22,B1BCC1X,9/F9L
play,1,1,jungj001,22,C1CBBFFX,53/G56S
play,2,1,heimj001,22,BFBS.FS,K
play,2,1,durae002,00,X,D9/F89XD
play,2,1,grosr001,12,CBFX,43/G34.2-3
play,2,1,thomb003,22,LBBSS,K
play,3,1,semim001,32,FCBBBX,53/G56S
play,3,1,jankt001,11,CBX,63/G6M
play,3,1,lowen001,32,SSBBBC,K
play,4,1,garca005,32,TBFB.BX,8/F8XD+
play,4,1,jungj001,22,BFBC.S,K
play,4,1,heimj001,12,FSFB*S,K
play,5,1,durae002,21,BBFX,S7/G6
play,5,1,grosr001,32,B1BCFB1FX,S9/L9.1-3
play,5,1,thomb003,32,CM.*B*B*BS,K
play,5,1,semim001,00,X,S7/L7.3-H;1-2
play,5,1,jankt001,02,CFFX,S8/G4M.2-H;1-2
play,5,1,lowen001,31,S*B*BBX,46(1)3/GDP/G34
play,6,1,garca005,00,,NP
