id,MIN202308060
version,2
info,visteam,ARI
info,hometeam,MIN
info,site,MIN04
info,date,2023/08/06
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,mahrn901
info,ump2b,carav901
info,ump3b,jimee901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/25 09:03:59
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,74
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,160
info,attendance,24778
info,wp,thiec001
info,lp,sewap001
info,save,
start,martk001,"Ketel Marte",0,1,4
start,carrc005,"Corbin Carroll",0,2,8
start,phamt001,"Tommy Pham",0,3,10
start,walkc002,"Christian Walker",0,4,3
start,gurrl001,"Lourdes Gurriel Jr.",0,5,7
start,rivee001,"Emmanuel Rivera",0,6,5
start,mccaj003,"Jake McCarthy",0,7,9
start,ahmen001,"Nick Ahmed",0,8,6
start,kellc002,"Carson Kelly",0,9,2
start,gallz001,"Zac Gallen",0,0,1
start,julie001,"Edouard Julien",1,1,4
start,corrc001,"Carlos Correa",1,2,6
start,keplm001,"Max Kepler",1,3,9
start,solad001,"Donovan Solano",1,4,3
start,wallm001,"Matt Wallner",1,5,7
start,jeffr002,"Ryan Jeffers",1,6,10
start,vazqc001,"Christian Vazquez",1,7,2
start,castw003,"Willi Castro",1,8,5
start,taylm002,"Michael A. Taylor",1,9,8
start,keucd001,"Dallas Keuchel",1,0,1
play,1,0,martk001,21,TBB.X,8/F8
play,1,0,carrc005,31,FBBBB,W
play,1,0,phamt001,00,X,64(1)3/GDP/G6
play,1,1,julie001,32,CSBBB.B,W
play,1,1,corrc001,22,BCFBX,54(1)3/GDP/G5
play,1,1,keplm001,22,CFBBS,K
play,2,0,walkc002,11,CBX,13/G23-
play,2,0,gurrl001,00,X,S7/L7
play,2,0,rivee001,22,BBCSX,54(1)/FO/G56S.B-1
play,2,0,mccaj003,02,CSX,S4/G34.1-2
play,2,0,ahmen001,22,FC*BBX,63/G6
play,2,1,solad001,01,CX,63/G6
play,2,1,wallm001,22,FCBBC,K
play,2,1,jeffr002,12,BFF.FS,K
play,3,0,kellc002,01,CX,S49/G4
play,3,0,martk001,01,FX,54(1)3/GDP/G56S
play,3,0,carrc005,22,FSBBX,S8/G4M
play,3,0,phamt001,31,C*B1BBB,W.1-2
play,3,0,walkc002,12,BFS>B,SB3;SB2
play,3,0,walkc002,32,BFS>B.*BX,5/L56S+
play,3,1,vazqc001,11,BSX,43/G34
play,3,1,castw003,02,CFS,K
play,3,1,taylm002,22,CBS.FB*S,K
play,4,0,gurrl001,11,CBX,S7/L7D
play,4,0,rivee001,00,X,8/F78D
play,4,0,mccaj003,12,CCBX,7/F7LS
play,4,0,ahmen001,20,BBX,9/L89D
play,4,1,julie001,00,X,S7/L7S
play,4,1,corrc001,22,C1FBB1X,64(1)3/GDP/G6+
play,4,1,keplm001,10,BX,9/L89
play,5,0,kellc002,00,X,D7/G5+
play,5,0,martk001,01,CX,53/G5S
play,5,0,carrc005,02,CFX,S7/P56D.2-3
play,5,0,phamt001,10,*BX,46(1)/FO/G4.3-H;B-1
play,5,0,walkc002,11,FB1X,S4/G34S-.1-2
play,5,0,gurrl001,10,B>B,SB3;SB2
play,5,0,gurrl001,22,B>B.CCX,13/G1S
play,5,1,solad001,00,,NP
sub,perdg001,"Geraldo Perdomo",0,1,4
play,5,1,solad001,12,.FFBX,9/L9L
play,5,1,wallm001,10,BX,13/G3S
play,5,1,jeffr002,12,.CFBT,K
play,6,0,rivee001,00,,NP
sub,flord002,"Dylan Floro",1,0,1
play,6,0,rivee001,02,.CCS,K
play,6,0,mccaj003,00,X,S7/L78D
play,6,0,ahmen001,00,>X,63/G6M.1-2
play,6,0,kellc002,32,BBSSBB,W
play,6,0,perdg001,00,>C,SB3;SB2
play,6,0,perdg001,32,>C.C*BBFBF.FX,43/G34
play,6,1,vazqc001,00,X,4/F8S
play,6,1,castw003,21,BBFX,D9/L9L
play,6,1,taylm002,12,CBFS,K
play,6,1,julie001,22,BBCCB,WP.2-3
play,6,1,julie001,32,BBCCB.*B,W
play,6,1,corrc001,12,CBF>B,SB2
play,6,1,corrc001,22,CBF>B.X,S7/L78S.3-H;2-H
play,6,1,keplm001,12,FF.F1*B+1C,K
play,7,0,carrc005,00,,NP
sub,pagae001,"Emilio Pagan",1,0,1
play,7,0,carrc005,31,.BBBCB,W
play,7,0,phamt001,02,1CF1>X,8/L8
play,7,0,walkc002,01,SX,2/P2F/FL
play,7,0,gurrl001,10,1BB,WP.1-2
play,7,0,gurrl001,20,1BB.X,D8/L89XD.2-H
play,7,0,rivee001,22,FBSBC,K
play,7,1,solad001,12,CFBH,HP
play,7,1,wallm001,12,CSBFX,46(1)/FO/G34.B-1
play,7,1,jeffr002,01,CX,S5/G25.1-2
play,7,1,vazqc001,11,*BCX,5/L5+/DP.2X2(54)
play,8,0,mccaj003,00,,NP
sub,jax-g001,"Griffin Jax",1,0,1
play,8,0,mccaj003,32,.BBCFBF.B,W
play,8,0,ahmen001,02,1LL1>C,K+SB2.1-3(E2/TH)
play,8,0,kellc002,00,,NP
sub,petej002,"Jace Peterson",0,9,11
play,8,0,petej002,32,.*SBS.BFBFB,W
play,8,0,perdg001,11,BC>B,SB2
play,8,0,perdg001,21,BC>B.X,5/L56S
play,8,0,carrc005,22,BBFC.S,K
play,8,1,castw003,00,,NP
sub,herrj003,"Jose Herrera",0,9,2
play,8,1,castw003,00,.,NP
