id,PIT202305190
version,2
info,visteam,ARI
info,hometeam,PIT
info,site,PIT08
info,date,2023/05/19
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,may-b901
info,ump2b,nelsj901
info,ump3b,buckc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/21 09:12:06
info,howscored,unknown
info,pitches,pitches
info,oscorer,webbb701
info,temp,74
info,winddir,tolf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,25903
info,wp,oviej001
info,lp,gallz001
info,save,
start,rojaj001,"Josh Rojas",0,1,5
start,martk001,"Ketel Marte",0,2,4
start,carrc005,"Corbin Carroll",0,3,9
start,walkc002,"Christian Walker",0,4,3
start,gurrl001,"Lourdes Gurriel Jr.",0,5,7
start,smitp002,"Pavin Smith",0,6,10
start,moreg001,"Gabriel Moreno",0,7,2
start,fletd003,"Dominic Fletcher",0,8,8
start,perdg001,"Geraldo Perdomo",0,9,6
start,gallz001,"Zac Gallen",0,0,1
start,mccua001,"Andrew McCutchen",1,1,10
start,reynb001,"Bryan Reynolds",1,2,7
start,suwij001,"Jack Suwinski",1,3,8
start,santc002,"Carlos Santana",1,4,3
start,hayek001,"Ke'Bryan Hayes",1,5,5
start,marct001,"Tucupita Marcano",1,6,6
start,bae-j001,"Ji Hwan Bae",1,7,4
start,palaj001,"Josh Palacios",1,8,9
start,hedga001,"Austin Hedges",1,9,2
start,oviej001,"Johan Oviedo",1,0,1
play,1,0,rojaj001,32,SSBFBBC,K
play,1,0,martk001,00,X,31/G34
play,1,0,carrc005,31,BBFBB,W
play,1,0,walkc002,11,C1BX,8/F8D
play,1,1,mccua001,10,BX,S7/L7LD+
play,1,1,reynb001,00,X,64(1)3/GDP/G6
play,1,1,suwij001,01,FX,9/F89D
play,2,0,gurrl001,22,BBCFX,4/P4D
play,2,0,smitp002,11,CBX,63/G6M
play,2,0,moreg001,02,CF*S,K
play,2,1,santc002,11,CBX,D8/L89XD+
play,2,1,hayek001,00,X,D8/L8XD+.2-H
play,2,1,marct001,21,CB2BX,8/F78
play,2,1,bae-j001,10,BX,13/G34S-.2-3
play,2,1,palaj001,31,BBFB*B,W
play,2,1,hedga001,02,F1T>X,63/G6M
play,3,0,fletd003,22,CFBBC,K
play,3,0,perdg001,31,BBBCX,HR/L89XD
play,3,0,rojaj001,21,BBCX,31/G3
play,3,0,martk001,30,BBBB,W
play,3,0,carrc005,22,CBBFS,K
play,3,1,mccua001,00,X,S8/L8
play,3,1,reynb001,32,FBFFBB>X,8/F78XD
play,3,1,suwij001,32,BC1BSB>F>F1>FS,K
play,3,1,santc002,00,X,8/L8D
play,4,0,walkc002,22,CBSFBX,6/P7LS
play,4,0,gurrl001,02,FFC,K
play,4,0,smitp002,00,X,E7/L78D+.B-2
play,4,0,moreg001,11,CBX,53/G6
play,4,1,hayek001,01,CX,8/F8XD
play,4,1,marct001,32,CBCBBB,W
play,4,1,bae-j001,10,1BX,D8/L8XD.1-3
play,4,1,palaj001,11,BFX,S7/G6.3-H;2-H
play,4,1,hedga001,01,FX,FC5/G56.1-2(E5);B-1
play,4,1,mccua001,31,*B*B*S*BB,W.2-3;1-2
play,4,1,reynb001,32,CFBFBBB,W.3-H(UR);2-3;1-2
play,4,1,suwij001,11,BSX,D9/L9LD+.3-H;2-H;1-3
play,4,1,santc002,02,SCT,K
play,4,1,hayek001,21,CBBX,S8/G6M.3-H(UR);2-H(UR)
play,4,1,marct001,00,,NP
