id,TOR202307150
version,2
info,visteam,ARI
info,hometeam,TOR
info,site,TOR02
info,date,2023/07/15
info,number,0
info,gametype,regular
info,starttime,3:07PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,roser901
info,ump2b,hanat901
info,ump3b,guccc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:26
info,howscored,unknown
info,pitches,pitches
info,oscorer,lajor701
info,temp,68
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,156
info,attendance,42328
info,wp,bassc001
info,lp,gallz001
info,save,garcy001
start,perdg001,"Geraldo Perdomo",0,1,6
start,martk001,"Ketel Marte",0,2,4
start,carrc005,"Corbin Carroll",0,3,7
start,walkc002,"Christian Walker",0,4,3
start,gurrl001,"Lourdes Gurriel Jr.",0,5,10
start,rivee001,"Emmanuel Rivera",0,6,5
start,mccaj003,"Jake McCarthy",0,7,9
start,kellc002,"Carson Kelly",0,8,2
start,thoma004,"Alek Thomas",0,9,8
start,gallz001,"Zac Gallen",0,0,1
start,sprig001,"George Springer",1,1,9
start,bichb001,"Bo Bichette",1,2,6
start,beltb001,"Brandon Belt",1,3,3
start,guerv002,"Vladimir Guerrero Jr.",1,4,10
start,chapm001,"Matt Chapman",1,5,5
start,merrw001,"Whit Merrifield",1,6,7
start,varsd001,"Daulton Varsho",1,7,8
start,kirka001,"Alejandro Kirk",1,8,2
start,biggc002,"Cavan Biggio",1,9,4
start,bassc001,"Chris Bassitt",1,0,1
play,1,0,perdg001,10,BX,9/F9S
play,1,0,martk001,32,CBS.BBS,K
play,1,0,carrc005,12,FFBS,K
play,1,1,sprig001,02,SFS,K
play,1,1,bichb001,22,FTBBFC,K
play,1,1,beltb001,32,CBCBBB,W
play,1,1,guerv002,32,BBFBF>F>B,W.1-2
play,1,1,chapm001,11,CBX,43/G4
play,2,0,walkc002,00,.X,63/G6
play,2,0,gurrl001,20,BBX,53/G56D+
play,2,0,rivee001,32,ABBBFFS,K
play,2,1,merrw001,32,BCFBBX,S8/L8
play,2,1,varsd001,22,C1BS+1BT,K
play,2,1,kirka001,22,1C>FBBFX,S9/G34.1-3;B-2(E9/TH)
play,2,1,biggc002,32,BCFBBB,W
play,2,1,sprig001,22,BF*BCFX,S7/L7L.3-H;2-H;1-2
play,2,1,bichb001,10,BX,16(1)3/GDP/G13-
play,3,0,mccaj003,12,CFBC,K
play,3,0,kellc002,12,CFBFX,S8/L89XD+
play,3,0,thoma004,02,CFB,WP.1-2
play,3,0,thoma004,12,CFB.FFFS,K
play,3,0,perdg001,02,CSX,S4/G4M.2-3
play,3,0,martk001,11,BFX,7/F7L
play,3,1,beltb001,12,BCSX,S8/F78
play,3,1,guerv002,12,CBCF1X,9/F9L
play,3,1,chapm001,01,FX,64(1)3/GDP/G6
play,4,0,carrc005,02,SCX,43/G34
play,4,0,walkc002,20,BBX,53/G5
play,4,0,gurrl001,01,CX,S65/G6S
play,4,0,rivee001,00,X,D7/L7LD+.1-3
play,4,0,mccaj003,32,FBBFFBX,S4/G34.3-H;2-H
com,"$Blue Jays challenged (play at 1st), call on the field was upheld."
play,4,0,kellc002,10,BX,S8/L8.1-2
play,4,0,thoma004,20,BBX,43/G34
play,4,1,merrw001,12,CT.BX,HR/F7D
play,4,1,varsd001,02,CFS,K
play,4,1,kirka001,31,CBBBX,43/G4
play,4,1,biggc002,12,CSBX,43/G34
play,5,0,perdg001,22,BCFBFFFX,S7/L78
play,5,0,martk001,01,CX,46(1)3/GDP/G4
play,5,0,carrc005,31,BBCB.X,8/F8XD
play,5,1,sprig001,00,X,D7/L7L
play,5,1,bichb001,00,X,4/L4MD
play,5,1,beltb001,32,BSBCF*BC,K
play,5,1,guerv002,01,CX,9/F9
play,6,0,walkc002,32,CBS.BBX,53/G56-
play,6,0,gurrl001,32,CBT.BFBX,7/F78XD
play,6,0,rivee001,02,CS.X,53/G56S
play,6,1,chapm001,00,,NP
