id,MIN202304070
version,2
info,visteam,HOU
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/07
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsh902
info,ump1b,millb903
info,ump2b,carlm901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,47
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,38465
info,wp,lopej004
info,lp,stanr002
info,save,
start,penaj004,"Jeremy Pena",0,1,6
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,7
start,abrej003,"Jose Abreu",0,4,10
start,tuckk001,"Kyle Tucker",0,5,9
start,hensd002,"David Hensley",0,6,3
start,mccoc001,"Chas McCormick",0,7,8
start,dubom001,"Mauricio Dubon",0,8,4
start,maldm001,"Martin Maldonado",0,9,2
start,urquj001,"Jose Urquidy",0,0,1
start,buxtb001,"Byron Buxton",1,1,10
start,corrc001,"Carlos Correa",1,2,6
start,larnt001,"Trevor Larnach",1,3,7
start,miraj002,"Jose Miranda",1,4,5
start,solad001,"Donovan Solano",1,5,3
start,farmk001,"Kyle Farmer",1,6,4
start,gallj002,"Joey Gallo",1,7,9
start,vazqc001,"Christian Vazquez",1,8,2
start,taylm002,"Michael A. Taylor",1,9,8
start,grays001,"Sonny Gray",1,0,1
play,1,0,penaj004,12,FS.BS,K
play,1,0,brega001,21,BCBX,9/F9S
play,1,0,alvay001,30,BBBB,W
play,1,0,abrej003,12,CBFS,K
play,1,1,buxtb001,22,FFBFBFX,3/P3S
play,1,1,corrc001,02,CFX,3/P34
play,1,1,larnt001,32,BCBBSS,K
play,2,0,tuckk001,10,BX,53/G6
play,2,0,hensd002,12,CBSC,K
play,2,0,mccoc001,22,BCBCFC,K
play,2,1,miraj002,11,BFX,8/F8D
play,2,1,solad001,10,BX,9/F9
play,2,1,farmk001,32,CBBCBT,K
play,3,0,dubom001,20,BBX,D9/L89XD+
play,3,0,maldm001,00,X,13/SH/BG2-.2-3
play,3,0,penaj004,22,SBFBS,K
play,3,0,brega001,00,X,S9/L9D+.3-H
play,3,0,alvay001,20,BBX,8/F89XD
play,3,1,gallj002,32,BSFBBFX,3/P3
play,3,1,vazqc001,02,CSS,K
play,3,1,taylm002,10,BX,S8/G6M
play,3,1,buxtb001,00,X,S7/L7+.1-2
play,3,1,corrc001,12,CBSS,K
play,4,0,abrej003,12,CS.BS,K
play,4,0,tuckk001,22,CFBBX,D9/L9D+
com,"$Twins challenged (tag play), call on the field was upheld."
play,4,0,hensd002,02,CSS,K
play,4,0,mccoc001,32,C*B*SBBS,K
play,4,1,larnt001,21,BFBX,9/F9
play,4,1,miraj002,11,CBX,S7/L7
play,4,1,solad001,22,CFBBFFX,S7/L7+.1-2
play,4,1,farmk001,00,X,7/F7
play,4,1,gallj002,32,BSFFBFB>B,W.2-3;1-2
