id,SEA202307170
version,2
info,visteam,MIN
info,hometeam,SEA
info,site,SEA03
info,date,2023/07/17
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wolfj901
info,ump1b,muchm901
info,ump2b,barbs901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/19 09:06:45
info,howscored,unknown
info,pitches,pitches
info,oscorer,radoe701
info,temp,70
info,winddir,fromlf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,178
info,attendance,25770
info,wp,gilbl002
info,lp,grays001
info,save,sewap001
start,corrc001,"Carlos Correa",0,1,6
start,julie001,"Edouard Julien",0,2,4
start,buxtb001,"Byron Buxton",0,3,10
start,kiria001,"Alex Kirilloff",0,4,3
start,solad001,"Donovan Solano",0,5,5
start,keplm001,"Max Kepler",0,6,9
start,jeffr002,"Ryan Jeffers",0,7,2
start,gallj002,"Joey Gallo",0,8,7
start,taylm002,"Michael A. Taylor",0,9,8
start,grays001,"Sonny Gray",0,0,1
start,crawj002,"J.P. Crawford",1,1,6
start,rodrj007,"Julio Rodriguez",1,2,8
start,kelej001,"Jarred Kelenic",1,3,7
start,suare001,"Eugenio Suarez",1,4,5
start,ralec001,"Cal Raleigh",1,5,2
start,hernt002,"Teoscar Hernandez",1,6,9
start,frant002,"Ty France",1,7,3
start,fordm002,"Mike Ford",1,8,10
start,cabaj001,"Jose Caballero",1,9,4
start,gilbl002,"Logan Gilbert",1,0,1
play,1,0,corrc001,22,BCF.BC,K
play,1,0,julie001,32,BCBFB.FB,W
play,1,0,buxtb001,22,CBFBX,8/F8D
play,1,0,kiria001,00,>C,SB2
play,1,0,kiria001,32,>C.FBFFFB*BX,31/G3
play,1,1,crawj002,10,BX,4/L4D
play,1,1,rodrj007,12,BFSC,K
play,1,1,kelej001,22,S.BBSS,K
play,2,0,solad001,01,CX,9/F9LD
play,2,0,keplm001,22,BFFBF.FFC,K
play,2,0,jeffr002,22,BSCBX,S9/L89S
play,2,0,gallj002,00,X,9/L9
play,2,1,suare001,00,X,S8/L8
play,2,1,ralec001,01,CX,S9/L9.1-2
play,2,1,hernt002,10,BX,64(1)3/GDP/G6.2-3
play,2,1,frant002,22,CBS*BS,K
play,3,0,taylm002,10,BX,D7/L7L+
play,3,0,corrc001,00,X,D9/L9L.2-H
play,3,0,julie001,22,*BCCBX,S7/G56.2-3
play,3,0,buxtb001,12,BFS1FS,K
play,3,0,kiria001,32,*BSSBFFFBX,9/SF/L89D.3-H
play,3,0,solad001,32,CFB*BB1>*S,K
play,3,1,fordm002,32,BCSBB.FX,13/G1S
play,3,1,cabaj001,01,MX,1/BP25-
play,3,1,crawj002,32,BCBBCS,K
play,4,0,keplm001,22,CFBBFX,D9/L9L
play,4,0,jeffr002,10,*BX,7/F7L+
play,4,0,gallj002,11,BF2X,4/F34D
play,4,0,taylm002,00,X,4/P4M
play,4,1,rodrj007,00,X,53/G56
play,4,1,kelej001,11,CBX,43/G4
play,4,1,suare001,32,CBCBBT,K
