Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,20,BBX,9/L9+
play,1,1,albio001,22,CBBFX,63/G6
play,1,1,rilea001,32,BCSBFBX,63/G6
play,2,1,olsom001,22,BCSBX,7/F78S
play,2,1,darnt001,22,FCFBFBFX,S7/G56
play,2,1,ozunm001,02,CS1,PO1(13)
play,2,1,ozunm001,32,CS1.BBBS,K
play,3,1,rosae001,22,BBCC*S,K
play,3,1,arcio002,00,X,9/L9LD
play,3,1,harrm004,02,CCFX,D9/L9D
play,3,1,acunr001,12,BFCFX,63/G6
play,4,1,albio001,01,FX,43/G34
play,4,1,rilea001,21,BBCX,S8/L8+
play,4,1,olsom001,00,X,S9/G3+.1-3
play,4,1,darnt001,00,X,64(1)/FO/G6.3-H;B-2(E3)
play,4,1,ozunm001,11,S*BX,6/L6D
play,5,1,rosae001,02,FFX,63/G6
play,5,1,arcio002,32,BCBFBC,K
play,5,1,harrm004,00,X,S7/G6
play,5,1,acunr001,31,B*BCBB,W.1-2
play,5,1,albio001,02,C*S*S,K.BX1(23)
play,6,1,rilea001,21,BSBX,43/G6M
play,6,1,olsom001,10,BX,8/F8
play,6,1,darnt001,12,CCBFS,K
play,7,1,ozunm001,31,BBFBX,HR/F9D
play,7,1,rosae001,02,SFX,43/G34
play,7,1,arcio002,01,CX,53/G5
play,7,1,harrm004,11,BSX,S34/L34
play,7,1,acunr001,00,,NP
