Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,badda001,02,FFFS,K
play,1,1,greer003,21,BCBX,D9/L89+
play,1,1,torks001,20,BBX,8/F8D+
play,1,1,cabrm001,00,X,E4/TH/G4S.2-H(NR)(UR);B-1
play,1,1,carpk001,12,BFF*S,K
play,2,1,baezj001,12,BSF*S,K
play,2,1,mckiz001,12,SBFS,K
play,2,1,maton001,12,CSBS,K
play,3,1,rogej004,00,,NP
play,3,1,rogej004,02,.FS*S,K
play,3,1,badda001,01,FX,S7/L7S
play,3,1,greer003,12,F1C1*B*S,K
play,3,1,torks001,11,BC1>X,7/L7
play,4,1,cabrm001,22,VBCF.X,S9/G34
play,4,1,carpk001,11,BFX,D9/L9LD+.1-3
play,4,1,baezj001,12,CS*BX,S8/L8S.3-H;2-3
play,4,1,mckiz001,00,X,S8/G4M.3-H;1-3
play,4,1,maton001,12,FFB>B,CS2(26)
play,4,1,maton001,22,FFB>B.*S,K
play,4,1,rogej004,02,FSX,43/G4
play,5,1,badda001,22,CCBBX,S9/L9
play,5,1,greer003,00,B,WP.1-2
play,5,1,greer003,22,B.BCF*S,K
play,5,1,torks001,22,FTB*BFFS,K
play,5,1,cabrm001,12,FFBX,9/F9S
play,6,1,carpk001,00,X,3/G34
play,6,1,baezj001,22,BCBCX,7/L7
play,6,1,mckiz001,11,BFX,43/G34D
play,7,1,maton001,00,,NP
