Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,altuj001,11,CBX,9/L9D+
play,1,1,penaj004,32,BFBFBB,W
play,1,1,alvay001,10,BX,56(1)3/GDP/G56
play,2,1,brega001,12,FBC*S,K
play,2,1,tuckk001,00,X,43/G34
play,2,1,abrej003,11,CBX,8/L8XD+
play,3,1,meyej002,12,BCCX,9/F9D
play,3,1,dubom001,31,CBBBX,63/G6
play,3,1,maldm001,00,X,S7/L7L+
play,3,1,altuj001,10,VB,PB.1-2
play,3,1,altuj001,31,VB.BCB,W
play,3,1,penaj004,11,BS.X,64(1)/FO/G6.B-1
play,4,1,alvay001,31,CBBBX,D39/G3
play,4,1,brega001,01,CX,S9/L9L.2-3
play,4,1,tuckk001,20,BBX,46(1)3/GDP/G4.3-H(NR)
play,4,1,abrej003,12,BT*SX,4/L4D
play,5,1,meyej002,02,FF.*S,K
play,5,1,dubom001,00,X,S7/G6
play,5,1,maldm001,02,>FS.1*S,K
play,5,1,altuj001,01,FX,63/G6
play,6,1,penaj004,10,BX,63/G56
play,6,1,alvay001,21,BCBX,63/G6M
play,6,1,brega001,20,BBX,5/P1S
play,7,1,tuckk001,00,,NP
play,7,1,tuckk001,22,.CBCFBX,D7/F7L
play,7,1,abrej003,31,BBFBB,W
play,7,1,meyej002,00,,NP
