Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,penaj004,12,FS.BS,K
play,1,0,brega001,21,BCBX,9/F9S
play,1,0,alvay001,30,BBBB,W
play,1,0,abrej003,12,CBFS,K
play,2,0,tuckk001,10,BX,53/G6
play,2,0,hensd002,12,CBSC,K
play,2,0,mccoc001,22,BCBCFC,K
play,3,0,dubom001,20,BBX,D9/L89XD+
play,3,0,maldm001,00,X,13/SH/BG2-.2-3
play,3,0,penaj004,22,SBFBS,K
play,3,0,brega001,00,X,S9/L9D+.3-H
play,3,0,alvay001,20,BBX,8/F89XD
play,4,0,abrej003,12,CS.BS,K
play,4,0,tuckk001,22,CFBBX,D9/L9D+
play,4,0,hensd002,02,CSS,K
play,4,0,mccoc001,32,C*B*SBBS,K
play,5,0,dubom001,22,BCLBT,K
play,5,0,maldm001,12,CBS.FC,K
play,5,0,penaj004,22,FBCFBS,K
play,6,0,brega001,10,BX,4/P34
play,6,0,alvay001,32,BFFBBC,K
play,6,0,abrej003,01,S.X,S67/G56
play,6,0,tuckk001,01,CX,7/F7D
play,7,0,hensd002,00,,NP
play,7,0,hensd002,00,.,NP
play,7,0,hensd002,31,..BBFBX,9/L9D
play,7,0,mccoc001,12,CFBC,K
play,7,0,dubom001,01,CX,9/L9
play,8,0,maldm001,00,,NP
play,1,0,benia002,11,CBX,8/F8S
play,1,0,robel002,22,BBCCX,D7/G5
play,1,0,vauga001,31,BCBBB,W
play,1,0,sheeg001,22,CF*BBX,3/P3F/FL
play,1,0,grany001,00,2X,7/F7S
play,2,0,albeh001,12,LBS*S,K
play,2,0,sosal001,00,X,43/G4D
play,2,0,zavas001,11,BFX,8/F8D
play,3,0,andre001,00,X,3/L3-
play,3,0,benia002,11,BSX,S9/G4
play,3,0,robel002,32,CB*BB1FX,4/P4
play,3,0,vauga001,32,BC1BFB>X,S9/G34.1-3
play,3,0,sheeg001,01,CX,7/F7D
play,4,0,grany001,12,CFBX,3/G3
play,4,0,albeh001,12,CCBS,K
play,4,0,sosal001,32,CBS.BBS,K
play,5,0,zavas001,00,,NP
play,5,0,zavas001,31,.BBT.BB,W
play,5,0,andre001,22,CFB*BS,K
play,5,0,benia002,31,BBBCX,4/L34
play,5,0,robel002,12,BCSC,K
play,6,0,vauga001,00,,NP
play,1,0,volpa001,32,BBBCFC,K
play,1,0,judga001,01,FX,4/P34D
play,1,0,rizza001,02,CS*S,K
play,2,0,torrg001,12,SBCX,S4/G6M
play,2,0,lemad001,01,CX,16(1)3/GDP/G23
play,2,0,cordf003,32,BBCSBFS,K
play,3,0,cabro002,11,BCX,43/G4
play,3,0,trevj001,32,BCCFBBX,43/G4D
play,3,0,hicka001,00,X,23/BG2
play,4,0,volpa001,10,BX,63/G6D+
