id,LAN202305170
version,2
info,visteam,MIN
info,hometeam,LAN
info,site,LOS03
info,date,2023/05/17
info,number,0
info,gametype,regular
info,starttime,12:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,belld901
info,ump1b,willr901
info,ump2b,cuzzp901
info,ump3b,lives901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/22 09:03:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,whitj701
info,temp,69
info,winddir,tocf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,169
info,attendance,36434
info,wp,gratb002
info,lp,delej003
info,save,
start,gallj002,"Joey Gallo",0,1,9
start,kiria001,"Alex Kirilloff",0,2,3
start,corrc001,"Carlos Correa",0,3,6
start,buxtb001,"Byron Buxton",0,4,10
start,polaj001,"Jorge Polanco",0,5,4
start,larnt001,"Trevor Larnach",0,6,7
start,gordn001,"Nick Gordon",0,7,8
start,castw003,"Willi Castro",0,8,5
start,vazqc001,"Christian Vazquez",0,9,2
start,grays001,"Sonny Gray",0,0,1
start,bettm001,"Mookie Betts",1,1,9
start,freef001,"Freddie Freeman",1,2,3
start,smitw003,"Will Smith",1,3,2
start,muncm001,"Max Muncy",1,4,5
start,heywj001,"Jason Heyward",1,5,10
start,vargm001,"Miguel Vargas",1,6,4
start,outmj002,"James Outman",1,7,8
start,taylc001,"Chris Taylor",1,8,6
start,thomt002,"Trayce Thompson",1,9,7
start,may-d003,"Dustin May",1,0,1
play,1,0,gallj002,12,BCSS,K
play,1,0,kiria001,01,CX,S8/L8
play,1,0,corrc001,02,CFFC,K
play,1,0,buxtb001,32,BBBCF>X,7/L78
play,1,1,bettm001,30,VBBB,W
play,1,1,freef001,12,SBFX,E3/G34S.1-2;B-1
play,1,1,smitw003,12,C*SFFFFF*BS,K
play,1,1,muncm001,30,B*BBB,W.2-3;1-2
play,1,1,heywj001,12,CBFS,K
play,1,1,vargm001,10,BX,64(1)/FO/G6.B-1
play,2,0,polaj001,00,,NP
sub,coved001,"Dylan Covey",1,0,1
play,2,0,polaj001,12,.CFBX,S9/L9-
play,2,0,larnt001,21,CBBX,64(1)/FO/G6.B-1
play,2,0,gordn001,00,X,46(1)/FO/G34.B-1
play,2,0,castw003,10,BX,43/G34
play,2,1,outmj002,11,BSX,9/F9
play,2,1,taylc001,12,FCFBS,K
play,2,1,thomt002,22,BCFBFT,K
play,3,0,vazqc001,21,BCBX,8/F8D
play,3,0,gallj002,21,FBBX,43/G4
play,3,0,kiria001,01,FX,43/G4
play,3,1,bettm001,02,CFX,T9/F89XD
play,3,1,freef001,02,CFX,7/SF/F7L.3-H
play,3,1,smitw003,21,BBCX,S7/G6+
play,3,1,muncm001,32,*BC*BCB>B,W.1-2
play,3,1,heywj001,21,BCBX,7/F7S
play,3,1,vargm001,10,BX,8/F8D
play,4,0,corrc001,02,.CFS,K
play,4,0,buxtb001,20,BBX,HR/F78XD+
play,4,0,polaj001,11,BCX,63/G6M
play,4,0,larnt001,20,BBX,31/G3
play,4,1,outmj002,02,SCFX,S5/G6S-
play,4,1,taylc001,10,B>B,SB2
play,4,1,taylc001,20,B>B.X,7/F7D+
play,4,1,thomt002,22,SSB*BFFX,3/P3SF/FL
play,4,1,bettm001,01,CX,S8/L8D+.2-H
play,4,1,freef001,11,CBX,S8/L78.1-2
play,4,1,smitw003,11,BCX,63/G6
play,5,0,gordn001,32,CBBBFFS,K
play,5,0,castw003,02,SFS,K
play,5,0,vazqc001,32,FBBF.BFX,9/L9
play,5,1,muncm001,00,,NP
sub,farmk001,"Kyle Farmer",0,7,5
play,5,1,muncm001,00,.,NP
sub,castw003,"Willi Castro",0,8,8
play,5,1,muncm001,00,..,NP
