id,ARI202309160
version,2
info,visteam,CHN
info,hometeam,ARI
info,site,PHO01
info,date,2023/09/16
info,number,0
info,gametype,regular
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rehaj901
info,ump1b,valej901
info,ump2b,lentn901
info,ump3b,guccc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:32
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnj701
info,temp,79
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,264
info,attendance,35193
info,wp,mantj002
info,lp,wesnh001
info,save,
start,happi001,"Ian Happ",0,1,7
start,hoern001,"Nico Hoerner",0,2,4
start,morec001,"Christopher Morel",0,3,10
start,bellc002,"Cody Bellinger",0,4,3
start,swand001,"Dansby Swanson",0,5,6
start,suzus001,"Seiya Suzuki",0,6,9
start,taucm001,"Mike Tauchman",0,7,8
start,gomey001,"Yan Gomes",0,8,2
start,madrn001,"Nick Madrigal",0,9,5
start,hendk001,"Kyle Hendricks",0,0,1
start,carrc005,"Corbin Carroll",1,1,9
start,martk001,"Ketel Marte",1,2,4
start,phamt001,"Tommy Pham",1,3,10
start,walkc002,"Christian Walker",1,4,3
start,thoma004,"Alek Thomas",1,5,8
start,gurrl001,"Lourdes Gurriel Jr.",1,6,7
start,petej002,"Jace Peterson",1,7,5
start,moreg001,"Gabriel Moreno",1,8,2
start,perdg001,"Geraldo Perdomo",1,9,6
start,daviz001,"Zach Davies",1,0,1
play,1,0,happi001,00,X,8/F8
play,1,0,hoern001,12,CFBC,K
play,1,0,morec001,32,CBBCBC,K
play,1,1,carrc005,32,SBBTB.T,K
play,1,1,martk001,30,BBBB,W
play,1,1,phamt001,02,CC>X,63/G6.1-2
play,1,1,walkc002,31,C*BBBX,3/L2
play,2,0,bellc002,32,CS.BBBX,3/G3
play,2,0,swand001,22,CBFBFFS,K
play,2,0,suzus001,31,BBBFB,W
play,2,0,taucm001,32,CB>FB*B>X,9/F89XD+
play,2,1,thoma004,01,CX,13/G1S-
play,2,1,gurrl001,12,CS.BX,8/F8
play,2,1,petej002,22,FBSBX,8/F78XD
play,3,0,gomey001,10,BX,13/G1S-
play,3,0,madrn001,11,BCX,9/L6MD
play,3,0,happi001,11,CBX,S8/G4M
play,3,0,hoern001,32,1BBFBF>X,9/F9D
play,3,1,moreg001,22,BBCFS,K
play,3,1,perdg001,00,X,3/G3
play,3,1,carrc005,02,FCX,43/G4D
play,4,0,morec001,00,X,S8/L8
play,4,0,bellc002,12,FF.1BFS,K
play,4,0,swand001,22,1CSBBC,K
play,4,0,suzus001,00,X,S5/G5.1-2
com,"$Cubs challenged (play at 1st), call on the field was overturned."
play,4,0,taucm001,22,BBCFX,64(1)/FO/G6.B-1
play,4,1,martk001,00,X,9/L9+
play,4,1,phamt001,10,BX,T8/F89XD+
play,4,1,walkc002,10,BX,DGR/F78XD.3-H
play,4,1,thoma004,10,BX,6/P56D
play,4,1,gurrl001,10,BX,S87/F78.2-H
play,4,1,petej002,00,X,43/G34
play,5,0,gomey001,32,CBCBBX,D8/F78XD+
play,5,0,madrn001,02,FCX,S6/G56.2-2
play,5,0,happi001,32,BBBCCB,W.2-3;1-2
play,5,0,hoern001,00,,NP
sub,frial001,"Luis Frias",1,0,1
play,5,0,hoern001,31,.BB*BCB,W.3-H;2-3;1-2
play,5,0,morec001,11,SBX,64(1)3/GDP/G6.3-H(NR);2-3
play,5,0,bellc002,12,FB.CFX,S9/G34.3-H
play,5,0,swand001,00,X,53/G5
play,5,1,moreg001,00,X,S8/L8+
play,5,1,perdg001,12,CBL.X,8/F78XD
play,5,1,carrc005,21,BBF1X,9/F89XD
play,5,1,martk001,02,CS1F>B,SB2
play,5,1,martk001,32,CS1F>B.*BBS,K
play,6,0,suzus001,00,,NP
sub,castm002,"Miguel Castro",1,0,1
play,6,0,suzus001,12,.CCBC,K
play,6,0,taucm001,22,BCS.BFX,43/G34
play,6,0,gomey001,01,CX,S5/G5
play,6,0,madrn001,00,X,53/G56S
play,6,1,phamt001,00,,NP
sub,crowp001,"Pete Crow-Armstrong",0,7,8
play,6,1,phamt001,01,.CX,53/G5
play,6,1,walkc002,01,CX,S9/G34
play,6,1,thoma004,00,X,S8/L89S.1-3
play,6,1,gurrl001,12,B1SFX,S7/G6.3-H;1-2
play,6,1,petej002,00,,NP
sub,cuasj001,"Jose Cuas",0,0,1
play,6,1,petej002,12,.FFBX,8/F8XD.2-3
play,6,1,moreg001,31,BBCBB,W.1-2
play,6,1,perdg001,22,.SBFBFC,K
play,7,0,happi001,00,,NP
sub,thomr007,"Ryan Thompson",1,0,1
play,7,0,happi001,02,.CFX,E3/G3.B-1
play,7,0,hoern001,10,B>B,CS2(26)
com,"$D-backs challenged (tag play), call on the field was overturned."
play,7,0,hoern001,32,B>B.CB.CB,W
play,7,0,morec001,00,X,9/F9LS
play,7,0,bellc002,01,.1CH,HP.1-2
play,7,0,swand001,22,FFBBFX,43/G4
play,7,1,carrc005,00,,NP
sub,leitm002,"Mark Leiter Jr.",0,0,1
play,7,1,carrc005,12,.FCFBFX,9/L9D
play,7,1,martk001,01,FX,43/G4S
play,7,1,phamt001,32,CCBBBX,43/G4
play,8,0,suzus001,00,,NP
sub,ginkk001,"Kevin Ginkel",1,0,1
play,8,0,suzus001,01,.CX,43/G4
play,8,0,crowp001,12,BFSS,K
play,8,0,gomey001,12,CBCX,43/G34
play,8,1,walkc002,00,,NP
sub,merrj001,"Julian Merryweather",0,0,1
play,8,1,walkc002,22,.CBBFC,K
play,8,1,thoma004,11,.CBX,63/G4MD
play,8,1,gurrl001,02,CS.X,43/G4
play,9,0,madrn001,00,,NP
sub,sewap001,"Paul Sewald",1,0,1
play,9,0,madrn001,02,.C.FFX,63/G1-
com,"$Cubs challenged (play at 1st), call on the field was upheld."
play,9,0,happi001,22,BSFBS,K
play,9,0,hoern001,11,BFX,53/G6S
play,9,1,petej002,01,CX,E6/G4.B-1
play,9,1,moreg001,02,CC1X,64(1)/FO/G6.B-1
play,9,1,perdg001,21,BBFX,5/P56
play,9,1,carrc005,00,>C,CS2(26)
play,10,0,morec001,00,,NP
sub,saala001,"Andrew Saalfrank",1,0,1
radj,hoern001,2
com,"Nico Hoerner starts inning at 2nd base."
play,10,0,morec001,12,..BTCX,S6/G6.2-2
play,10,0,bellc002,02,CF>B,SB3;SB2.2-H(E2/TH)(NR)(UR);1-3
play,10,0,bellc002,12,CF>B.X,1/L15
com,"$Cubs challenged (hit by pitch), call on the field was upheld."
play,10,0,swand001,02,SSX,FC/G1.3XH(1256);B-2
play,10,0,suzus001,30,VVVV,IW
play,10,0,crowp001,31,BCB*BB,W.2-3;1-2
play,10,0,gomey001,01,CX,64(1)/FO/G6.B-1
play,10,1,carrc005,00,,NP
sub,strom001,"Marcus Stroman",0,0,1
play,10,1,carrc005,00,.,NP
sub,mastm001,"Miles Mastrobuoni",0,9,5
radj,perdg001,2
com,"Geraldo Perdomo starts inning at 2nd base."
play,10,1,carrc005,02,...CFX,S7/L78S+.2-H(UR)
play,10,1,martk001,10,1BX,43/G3.1-2
play,10,1,phamt001,22,BBFFS,K
play,10,1,walkc002,20,B*BX,53/G56
radj,gomey001,2
com,"Yan Gomes starts inning at 2nd base."
play,11,0,mastm001,00,.,NP
sub,wisdp001,"Patrick Wisdom",0,9,11
play,11,0,wisdp001,00,..X,63/G6
play,11,0,happi001,21,FBBX,S9/L9S+.2-3
play,11,0,hoern001,01,CX,S7/G56.3-H(UR);1-2
play,11,0,morec001,11,BSX,15(2)/FO/G1S.1-2;B-1
play,11,0,bellc002,02,SSFX,63/G4M
play,11,1,thoma004,00,,NP
sub,wisdp001,"Patrick Wisdom",0,9,5
play,11,1,thoma004,00,.,NP
sub,smyld001,"Drew Smyly",0,0,1
radj,walkc002,2
com,"Christian Walker starts inning at 2nd base."
play,11,1,thoma004,00,...,NP
sub,mccaj003,"Jake McCarthy",1,4,12
play,11,1,thoma004,10,....BX,14/SH/BG1S-.2-3
play,11,1,gurrl001,11,S*BX,S7/L78.3-H(UR)
play,11,1,petej002,00,,NP
sub,rivee001,"Emmanuel Rivera",1,7,11
play,11,1,rivee001,00,.,NP
sub,lawlj001,"Jordan Lawlar",1,6,12
play,11,1,rivee001,11,..*S*BX,64(1)3/GDP/G6
play,12,0,swand001,00,,NP
sub,carrc005,"Corbin Carroll",1,1,7
play,12,0,swand001,00,.,NP
sub,mccaj003,"Jake McCarthy",1,4,9
play,12,0,swand001,00,..,NP
