id,SLN202307300
version,2
info,visteam,CHN
info,hometeam,SLN
info,site,STL10
info,date,2023/07/30
info,number,0
info,gametype,regular
info,starttime,1:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,merzd901
info,ump1b,addir901
info,ump2b,littw901
info,ump3b,barkl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/25 09:03:58
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,86
info,winddir,fromlf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,123
info,attendance,43670
info,wp,matzs001
info,lp,hendk001
info,save,romej002
start,hoern001,"Nico Hoerner",0,1,4
start,suzus001,"Seiya Suzuki",0,2,9
start,bellc002,"Cody Bellinger",0,3,8
start,gomey001,"Yan Gomes",0,4,10
start,swand001,"Dansby Swanson",0,5,6
start,morec001,"Christopher Morel",0,6,7
start,manct001,"Trey Mancini",0,7,3
start,amaym001,"Miguel Amaya",0,8,2
start,madrn001,"Nick Madrigal",0,9,5
start,hendk001,"Kyle Hendricks",0,0,1
start,nootl001,"Lars Nootbaar",1,1,8
start,goldp001,"Paul Goldschmidt",1,2,10
start,arenn001,"Nolan Arenado",1,3,5
start,oneit001,"Tyler O'Neill",1,4,7
start,burla001,"Alec Burleson",1,5,3
start,walkj003,"Jordan Walker",1,6,9
start,mottt001,"Taylor Motter",1,7,4
start,kniza001,"Andrew Knizner",1,8,2
start,dejop001,"Paul DeJong",1,9,6
start,matzs001,"Steven Matz",1,0,1
play,1,0,hoern001,21,BFBX,3/P3DF/FL
play,1,0,suzus001,12,CCBFX,53/G6S
play,1,0,bellc002,22,BFBSX,53/G56
play,1,1,nootl001,11,BCX,S7/L78.B-2(E7)
play,1,1,goldp001,01,SX,13/G1
play,1,1,arenn001,02,CFFS,K
play,1,1,oneit001,01,CX,S8/L8.2-H(UR)
play,1,1,burla001,01,CX,46(1)/FO/G4.B-1
play,2,0,gomey001,10,BX,S7/G56+
play,2,0,swand001,22,FSBFBFFFF.X,8/F8
play,2,0,morec001,10,BX,S7/L7+.1-2
play,2,0,manct001,32,TBFBBX,8/F89D
play,2,0,amaym001,22,BCBFFX,7/F78
play,2,1,walkj003,11,CBX,S7/G6+
play,2,1,mottt001,00,>C,SB2
play,2,1,mottt001,01,>C.X,S8/L8D+.2-3
play,2,1,kniza001,11,FBX,S7/L78+.3-H;1-2
play,2,1,dejop001,11,BFX,7/F78S
play,2,1,nootl001,21,C*BBX,46(1)/FO/G4.2-3;B-1
play,2,1,goldp001,01,SX,S7/L7.3-H;1-2
play,2,1,arenn001,21,*BBFX,31/G4
play,3,0,madrn001,11,BCX,8/F8
play,3,0,hoern001,12,CF.BFX,43/G4
play,3,0,suzus001,22,CBCBX,7/F78XD
play,3,1,oneit001,12,BFSX,7/F78XD
play,3,1,burla001,32,BBBCFB,W
play,3,1,walkj003,00,X,64(1)/FO/G56.B-1
play,3,1,mottt001,11,BF1X,8/F78XD
play,4,0,bellc002,21,BCBX,7/F7LS
play,4,0,gomey001,22,BBCSFFX,3/P3S
play,4,0,swand001,22,CFBFFBS,K
play,4,1,kniza001,11,BFX,S7/L7D.BX2(764)
play,4,1,dejop001,01,CX,9/F9S
play,4,1,nootl001,31,CBBBX,43/G4+
play,5,0,morec001,02,SCFS,K
play,5,0,manct001,22,FBBS.FFX,3/P3D
play,5,0,amaym001,01,SX,S9/L9D
play,5,0,madrn001,10,BX,31/G3S
play,5,1,goldp001,32,CBBFFBF.X,8/F89XD+
play,5,1,arenn001,00,X,7/F7LF/FL
play,5,1,oneit001,11,CBX,53/G56S-
play,6,0,hoern001,11,CBX,43/G4MD
play,6,0,suzus001,22,FFBBX,3/G3
play,6,0,bellc002,01,F.X,S8/G4
play,6,0,gomey001,02,CSX,53/G5
play,6,1,burla001,12,CFFBFX,D9/L9LD
play,6,1,walkj003,00,X,43/G6M.2-3
play,6,1,mottt001,00,X,43/G4S-
play,6,1,kniza001,20,B*BX,23/G2-
play,7,0,swand001,00,,NP
sub,nootl001,"Lars Nootbaar",1,1,9
play,7,0,swand001,00,.,NP
sub,carld002,"Dylan Carlson",1,6,8
play,7,0,swand001,00,..,NP
sub,gallg001,"Giovanny Gallegos",1,0,1
play,7,0,swand001,22,...BCFBS,K
play,7,0,morec001,32,BFBBFS,K
play,7,0,manct001,00,,NP
sub,taucm001,"Mike Tauchman",0,7,11
play,7,0,taucm001,22,.BBFC.X,31/G34
play,7,1,dejop001,00,,NP
sub,bellc002,"Cody Bellinger",0,3,3
play,7,1,dejop001,00,.,NP
sub,taucm001,"Mike Tauchman",0,7,8
play,7,1,dejop001,01,..FX,53/G56
play,7,1,nootl001,22,BBCS.S,K
play,7,1,goldp001,22,CBBCX,63/G6
play,8,0,amaym001,11,BFX,53/G56
play,8,0,madrn001,11,BCX,8/F8D
play,8,0,hoern001,01,CX,8/F8D
play,8,1,arenn001,00,,NP
sub,fulmm001,"Michael Fulmer",0,0,1
play,8,1,arenn001,32,.CFBBB.FX,63/G6
play,8,1,oneit001,31,BBBCB,W
play,8,1,burla001,00,X,46(1)3/GDP/G4
play,9,0,suzus001,00,,NP
sub,romej002,"JoJo Romero",1,0,1
play,9,0,suzus001,22,.CFFBBFT,K
play,9,0,bellc002,32,CCFBBBX,13/G23
play,9,0,gomey001,00,X,D7/L7LD
play,9,0,swand001,22,*BFSBS,K
data,er,fulmm001,0
data,er,hendk001,2
data,er,matzs001,0
data,er,romej002,0
data,er,gallg001,0
