Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,benia002,32,CBSBFFBX,43/G34
play,1,1,andet001,32,CFBF.FBBX,13/G6MS+
play,1,1,robel002,22,FSBBS,K
play,2,1,jimee001,01,CX,63/G6S
play,2,1,moncy001,12,CFBFS,K
play,2,1,vauga001,20,BBX,13/G4MS
play,3,1,grany001,31,BBBCX,8/F8XD
play,3,1,burgj001,32,CFBBB.X,5/P5
play,3,1,colao001,01,CX,3/G3
play,4,1,benia002,10,BX,8/F8XD
play,4,1,andet001,00,X,63/G6D
play,4,1,robel002,12,CBFS,K
play,5,1,jimee001,00,X,D7/L78XD+
play,5,1,moncy001,00,X,3/G34+.2-3
play,5,1,vauga001,12,CT*BX,3/G3S.3-H
play,5,1,grany001,01,FX,31/G34D
play,6,1,burgj001,12,BFS.X,63/G56
play,6,1,colao001,22,CSFBBS,K
play,6,1,benia002,11,CBX,43/G4
play,7,1,andet001,02,CFX,S8/L8
play,7,1,robel002,11,BFX,DGR/L7LD.1-3
play,7,1,jimee001,32,BS*BCB.*B,W
play,7,1,moncy001,10,BX,9/SF/F9D.3-H;2-3
play,7,1,vauga001,00,X,S3/P4S-.3-H;1-2
play,7,1,grany001,00,,NP
