Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,nimmb001,11,BCX,S8/L8
play,1,0,lindf001,01,CX,8/L78D
play,1,0,mcnej002,32,BBBCF>B,W.1-2
play,1,0,alonp001,32,BFSBFB.B,W.2-3;1-2
play,1,0,batyb001,00,X,8/SF/F8D+.3-H
play,1,0,marts002,20,BBX,5(2)/FO/G5.B-1
play,2,0,voged001,22,BCBFC,K
play,2,0,canhm001,02,CCS,K
play,2,0,alvaf001,11,CBX,8/F8D
play,3,0,nimmb001,12,SFBS,K
play,3,0,lindf001,02,CCX,5/F56D
play,3,0,mcnej002,12,CCBX,S7/L78
play,3,0,alonp001,22,BCBS.FX,S7/F78S.1-2
play,3,0,batyb001,12,CBFX,S9/G34.2-H;1-3;B-2(E9/TH)
play,3,0,marts002,02,SFX,S9/G34.3-H;2-H(UR)
play,3,0,voged001,00,1>B,SB2
play,3,0,voged001,12,1>B.CSC,K
play,4,0,canhm001,01,FX,8/F8D
play,4,0,alvaf001,21,CBBX,63/G6
play,4,0,nimmb001,32,FBBBFX,9/L89D
play,5,0,lindf001,22,BCBF.FS,K
play,5,0,mcnej002,00,X,S8/G4
play,5,0,alonp001,22,CBF.F1BH,HP.1-2
play,5,0,batyb001,00,,NP
play,1,0,lowej002,12,SBSS,K
play,1,0,franw002,00,X,S9/G34
play,1,0,arozr001,11,BF1>B,SB2
play,1,0,arozr001,32,BF1>B.FFFFBB,W
play,1,0,loweb001,00,X,S4/G4M.2XH(62);1-2
play,1,0,ramih004,00,X,4/L4D
play,2,0,parei001,12,CC.BS,K
play,2,0,ralel001,32,BBCBTFB,W
play,2,0,margm001,01,C11>X,S9/L34D.1-2
play,2,0,mejif001,11,CBX,46(1)3/GDP/G34
play,3,0,lowej002,10,BX,S9/L9
play,3,0,franw002,00,>B,SB2
play,3,0,franw002,10,>B.X,143/G1
play,3,0,arozr001,31,BBBCX,4/P4MD
play,3,0,loweb001,02,FFS,K
play,4,0,ramih004,02,CFX,9/L9
play,4,0,parei001,10,BX,5/P5
play,4,0,ralel001,20,BBX,7/F78D
play,5,0,margm001,12,BCFX,7/L78
play,5,0,mejif001,10,BX,S8/L8
play,5,0,lowej002,11,BSX,8/F89XD+
play,5,0,franw002,32,CSBB1B>B,W.1-2
play,5,0,arozr001,11,CBX,S7/L7D+.2-H;1-2
play,5,0,loweb001,22,FBBFX,43/G34
play,6,0,ramih004,00,,NP
play,1,0,hendg002,02,CCX,43/G34
play,1,0,rutsa001,12,CBC.FX,43/G4
play,1,0,santa003,12,BCCF.X,9/F89XD
play,2,0,ohear001,12,CBCFFX,S3/G34
play,2,0,haysa001,11,BCX,8/F8S
play,2,0,hicka001,22,BCBCX,3/G3.1-2
play,2,0,fraza001,22,C*BFBX,7/F78
play,3,0,uriar001,12,SCBC,K
play,3,0,matej003,22,CBFFBFX,43/G34
play,3,0,hendg002,32,CBFBFFBX,3/G3
play,4,0,rutsa001,02,CC.X,63/G4M
play,4,0,santa003,22,BFC.FBX,9/F9LD
play,4,0,ohear001,10,BX,D7/L7LD+
play,4,0,haysa001,00,X,S7/G6.2-H
play,4,0,hicka001,32,FS1BFBFB>F>F>X,43/G3
play,5,0,fraza001,11,BCX,8/L8D
play,5,0,uriar001,01,CX,S7/L78
play,5,0,matej003,00,X,D7/L7LD+.1-H
play,5,0,hendg002,10,BX,31/G3.2-3
play,5,0,rutsa001,32,CFBFBBX,6/P78S
play,6,0,santa003,00,,NP
play,1,0,schwk001,00,X,HR/F9LD
play,1,0,turnt001,12,BCFX,D7/L7LD
play,1,0,castn001,00,>C,SB3
play,1,0,castn001,01,>C.X,8/F89
play,1,0,harpb003,12,SBSS,K
play,1,0,realj001,01,CX,8/F8
play,2,0,stotb001,02,CFX,63/G6M
play,2,0,marsb002,01,CX,43/G34
play,2,0,harrj002,00,X,63/G6
play,3,0,clemk001,22,CFBBX,S4/G4
play,3,0,schwk001,12,CBC.1S,K
play,3,0,turnt001,00,X,S9/L9S.1-2
play,3,0,castn001,00,X,8/F89XD+.2-3
play,3,0,harpb003,00,1>C,SB2
play,3,0,harpb003,11,1>C.BX,S8/L8S.3-H;2-H
play,3,0,realj001,12,C1BF>X,9/F9
play,4,0,stotb001,22,FCFBBX,8/F8
play,4,0,marsb002,21,BTBX,3/G3
play,4,0,harrj002,10,BX,53/G56S
