Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,torrg001,21,VBCX,S9/L9LS
play,1,1,stanm004,21,BB.CX,63/G6.1-2
play,1,1,rizza001,12,F.S*BX,D9/L89D.2-H
play,1,1,badeh001,00,X,3/P3
play,1,1,donaj001,12,SF*BX,2/P2F/FL
play,2,1,mckib001,12,CBFX,8/L8D
play,2,1,lemad001,01,CX,S7/G56
play,2,1,volpa001,22,CBF*BX,64(1)/FO/G6.B-1
play,2,1,higak001,01,CX,S9/L3D.1-3
play,2,1,torrg001,02,CC1X,43/G34
play,3,1,stanm004,22,BFSBFT,K
play,3,1,rizza001,12,B.CFF*S,K
play,3,1,badeh001,22,BBSFX,S8/G4M
play,3,1,donaj001,01,1>F>B,SB2
play,3,1,donaj001,32,1>F>B.SB*BX,S46/G4.2-3
play,3,1,mckib001,10,BX,5/P56
play,4,1,lemad001,02,C.CX,13/G1
play,4,1,volpa001,12,CBFX,63/G6
play,4,1,higak001,22,CBSBS,K
play,5,1,torrg001,11,CBX,S5/G56
play,5,1,stanm004,11,BF>B,SB2
play,5,1,stanm004,32,BF>B.BFC,K
play,5,1,rizza001,11,BFX,8/L8XD
play,5,1,badeh001,01,FX,8/F8D
play,6,1,donaj001,12,FBFS,K
play,6,1,mckib001,22,CFBBX,S8/L8
play,6,1,lemad001,12,CBFX,8/F89D
play,6,1,volpa001,10,1BX,HR/F7LD.1-H
play,6,1,higak001,02,FC.X,HR/F9D
play,6,1,torrg001,00,,NP
