id,CHA202304060
version,2
info,visteam,SFN
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/06
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,tomln901
info,ump2b,hoyej901
info,ump3b,reybd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/27 09:05:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,46
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,170
info,attendance,18261
info,wp,junij001
info,lp,lynnl001
info,save,
start,wadel001,"LaMonte Wade Jr.",0,1,7
start,florw001,"Wilmer Flores",0,2,3
start,pedej001,"Joc Pederson",0,3,10
start,villd001,"David Villar",0,4,4
start,confm001,"Michael Conforto",0,5,9
start,davij006,"J.D. Davis",0,6,5
start,yastm001,"Mike Yastrzemski",0,7,8
start,estrt001,"Thairo Estrada",0,8,6
start,sabob001,"Blake Sabol",0,9,2
start,wooda002,"Alex Wood",0,0,1
start,andet001,"Tim Anderson",1,1,6
start,robel002,"Luis Robert Jr.",1,2,8
start,vauga001,"Andrew Vaughn",1,3,3
start,burgj001,"Jake Burger",1,4,10
start,albeh001,"Hanser Alberto",1,5,5
start,benia002,"Andrew Benintendi",1,6,7
start,andre001,"Elvis Andrus",1,7,4
start,zavas001,"Seby Zavala",1,8,2
start,gonzr003,"Romy Gonzalez",1,9,9
start,lynnl001,"Lance Lynn",1,0,1
play,1,0,wadel001,22,CFF.BFBS,K
play,1,0,florw001,32,CCBBFF.BB,W
play,1,0,pedej001,11,C*BX,5/P5SF/FL
play,1,0,villd001,32,CBFBB>F>F>X,D7/L7LD+.1-3
play,1,0,confm001,12,BSCX,HR/F9LD.3-H;2-H
play,1,0,davij006,02,SCS,K
play,1,1,andet001,22,BCSBT,K
play,1,1,robel002,22,CBFBC,K
play,1,1,vauga001,30,BBBB,W
play,1,1,burgj001,32,BFBCB>X,D7/L7D+.1-3
play,1,1,albeh001,21,BFBX,8/L8D
play,2,0,yastm001,00,X,5/P5SF/FL
play,2,0,estrt001,02,CFX,53/G56
play,2,0,sabob001,10,BX,HR/F8XD
play,2,0,wadel001,10,BX,D9/L9LS
play,2,0,florw001,21,BBCX,7/F7D
play,2,1,benia002,21,CBBX,43/G4
play,2,1,andre001,30,BBBB,W
play,2,1,zavas001,22,BCBFX,FC6/G6.1-2(E6);B-1
play,2,1,gonzr003,12,BSFF>S,K+SB3;SB2
com,"$Giants challenged (tag play), call on the field was upheld."
play,2,1,andet001,20,BBX,S67/L56D+.3-H(UR);2-H(UR)
play,2,1,robel002,11,CBX,S7/L7.1-2
play,2,1,vauga001,22,F*BBSX,64(1)/FO/G6.B-1
play,3,0,pedej001,32,FCBBBS,K
play,3,0,villd001,02,FCS,K
play,3,0,confm001,31,BBCBB,W
play,3,0,davij006,00,X,64(1)/FO/G6.B-1
play,3,1,burgj001,32,BBFSBX,7/F7D
play,3,1,albeh001,12,CBSX,S84/F8S
play,3,1,benia002,00,X,6/P6MD
play,3,1,andre001,00,X,53/G56
play,4,0,yastm001,21,CBBX,143/G4S
play,4,0,estrt001,01,CX,S9/L34D
play,4,0,sabob001,11,L1BX,S9/G34.1-3
play,4,0,wadel001,31,CBBBB,W.1-2
play,4,0,florw001,02,FFFX,4/P4
play,4,0,pedej001,32,BBBCS>X,S8/L89.3-H;2-H;1-3
play,4,0,villd001,20,B+1BX,9/F9L
play,4,1,zavas001,02,FCFX,S9/L9L
play,4,1,gonzr003,01,CX,S9/L9LS.1-2
play,4,1,andet001,00,,NP
sub,junij001,"Jakob Junis",0,0,1
play,4,1,andet001,22,.BSBFS,K
play,4,1,robel002,01,CX,9/F9D
play,4,1,vauga001,12,BCCX,S9/L34D.2-H;1-3
play,4,1,burgj001,00,,NP
sub,sheeg001,"Gavin Sheets",1,4,11
play,4,1,sheeg001,31,.BS*B1BB,W.1-2
play,4,1,albeh001,01,FX,7/F7D
play,5,0,confm001,32,.BSBBS.C,K
play,5,0,davij006,11,CBX,S7/G6
play,5,0,yastm001,11,BFX,HR/F9LD.1-H
play,5,0,estrt001,00,,NP
sub,ruizj001,"Jose Ruiz",1,0,1
play,5,0,estrt001,02,.CSS,K
play,5,0,sabob001,22,FBS.BX,4/P34
play,5,1,benia002,32,VFBBCC,K
play,5,1,andre001,12,CFBX,S9/L9LS
play,5,1,zavas001,12,SSB+1,PO1(E2/TH).1-2
play,5,1,zavas001,12,SSB+1.S,K
play,5,1,gonzr003,32,BCS.FBBFX,63/G6
play,6,0,wadel001,31,CBBBH,HP
play,6,0,florw001,12,CCBFX,HR/F7D.1-H
play,6,0,pedej001,30,BBBB,W
play,6,0,villd001,22,CFBBX,4/P4
play,6,0,confm001,20,BBX,S9/L9+.1-2
play,6,0,davij006,21,BF*BX,6/L6D+
play,6,0,yastm001,02,CFX,8/F1S
play,6,1,andet001,00,,NP
sub,johnb005,"Bryce Johnson",0,1,8
play,6,1,andet001,00,.,NP
sub,yastm001,"Mike Yastrzemski",0,7,7
play,6,1,andet001,22,..CBFBX,53/G56
play,6,1,robel002,12,SFBX,7/F78D+
play,6,1,vauga001,31,BBCBB,W
play,6,1,sheeg001,22,CFBBX,3/G3
play,7,0,estrt001,00,,NP
sub,colao001,"Oscar Colas",1,2,8
play,7,0,estrt001,00,.,NP
sub,santg001,"Gregory Santos",1,0,1
play,7,0,estrt001,22,..FFBBFX,53/G56S
play,7,0,sabob001,00,X,S9/G34
play,7,0,johnb005,22,BCCFBT,K
play,7,0,florw001,01,CX,S9/G34.1-2
play,7,0,pedej001,02,CSS,K
play,7,1,albeh001,01,CX,53/G56
play,7,1,benia002,01,FX,43/G34
play,7,1,andre001,22,CBBCFFS,K
play,8,0,villd001,00,H,HP
play,8,0,confm001,10,BX,S7/L7L.1-2
play,8,0,davij006,10,BX,S9/L89.2-H;1-2
play,8,0,yastm001,02,CCX,36(1)/FO/G3.2-3;B-1
play,8,0,estrt001,00,X,D7/L7LS.3-H;1-3
play,8,0,sabob001,02,SFC,K
play,8,0,johnb005,02,CS.X,7/L7
play,8,1,zavas001,00,,NP
sub,brebj001,"John Brebbia",0,0,1
play,8,1,zavas001,22,.CBS.BS,K
play,8,1,gonzr003,12,CC.BS,K
play,8,1,andet001,32,BTBFB.X,9/L9D+
play,9,0,florw001,00,,NP
sub,sheeg001,"Gavin Sheets",1,4,9
play,9,0,florw001,00,.,NP
sub,gonzr003,"Romy Gonzalez",1,9,5
play,9,0,florw001,00,..,NP
sub,albeh001,"Hanser Alberto",1,5,1
play,9,0,florw001,01,...CX,1/P1S
play,9,0,pedej001,00,,NP
sub,beatm001,"Matt Beaty",0,3,11
play,9,0,beatm001,00,.X,S8/G6M
play,9,0,villd001,22,FBF*BX,S8/L8S.1-2
play,9,0,confm001,30,BBBB,W.2-3;1-2
play,9,0,davij006,00,X,HR/F7D.3-H;2-H;1-H
play,9,0,yastm001,10,BX,7/F7
play,9,0,estrt001,00,X,S8/L8D
play,9,0,sabob001,01,.FX,7/F7LD
play,9,1,colao001,00,,NP
sub,beatm001,"Matt Beaty",0,3,1
play,9,1,colao001,32,.CBBBFS,K
play,9,1,vauga001,00,X,63/G6
play,9,1,sheeg001,32,CBBBFFB,W
