id,HOU202303310
version,2
info,visteam,CHA
info,hometeam,HOU
info,site,HOU03
info,date,2023/03/31
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,whitc901
info,ump2b,ortir901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:44
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,160
info,attendance,41453
info,wp,marts003
info,lp,gravk001
info,save,montr004
start,andet001,"Tim Anderson",0,1,6
start,robel002,"Luis Robert Jr.",0,2,8
start,benia002,"Andrew Benintendi",0,3,7
start,jimee001,"Eloy Jimenez",0,4,10
start,moncy001,"Yoan Moncada",0,5,5
start,sheeg001,"Gavin Sheets",0,6,3
start,grany001,"Yasmani Grandal",0,7,2
start,colao001,"Oscar Colas",0,8,9
start,andre001,"Elvis Andrus",0,9,4
start,lynnl001,"Lance Lynn",0,0,1
start,penaj004,"Jeremy Pena",1,1,6
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,julkc001,"Corey Julks",1,6,10
start,hensd002,"David Hensley",1,7,4
start,meyej002,"Jake Meyers",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,javic001,"Cristian Javier",1,0,1
play,1,0,andet001,32,BSBSBB,W
play,1,0,robel002,02,FSS,K
play,1,0,benia002,00,>C,SB2
play,1,0,benia002,12,>C.BFFFFX,43/G34.2-3
play,1,0,jimee001,12,FBSFX,D8/L78D.3-H
play,1,0,moncy001,01,CX,13/G1S
play,1,1,penaj004,10,BX,53/G56S
play,1,1,brega001,20,BBX,8/F89XD
play,1,1,alvay001,21,BBCX,7/F78
play,2,0,sheeg001,11,BCX,43/G34D
play,2,0,grany001,01,CX,S8/L8
play,2,0,colao001,02,SFX,46(1)3/GDP/G34
play,2,1,abrej003,30,BBBB,W
play,2,1,tuckk001,22,SFB*BS,K
play,2,1,julkc001,02,CFX,S7/L78+.1-2
play,2,1,hensd002,31,BCBBB,W.2-3;1-2
play,2,1,meyej002,22,*BSSBS,K
play,2,1,maldm001,01,SX,3/P1S/FL
play,3,0,andre001,32,BCBSBX,9/F9
play,3,0,andet001,10,BX,S9/L9S
play,3,0,robel002,02,SS>F1C,K
play,3,0,benia002,01,1CX,53/G56
play,3,1,penaj004,22,CBBSFH,HP
play,3,1,brega001,10,*B>X,5/P5F/FL
play,3,1,alvay001,10,B>S,CS2(26)
com,"$White Sox challenged (tag play), call on the field was overturned."
play,3,1,alvay001,32,B>S.BFFFBB,W
play,3,1,abrej003,00,X,9/F9S
play,4,0,jimee001,02,SFS,K
play,4,0,moncy001,00,X,S9/G34
play,4,0,sheeg001,12,F1*BSFX,7/F6D
play,4,0,grany001,02,CF1C,K
play,4,1,tuckk001,22,BSBFFFX,9/L9
play,4,1,julkc001,22,CBBCS,K
play,4,1,hensd002,32,CBBSBFS,K
play,5,0,colao001,12,BCFFX,5/P5F/FL
play,5,0,andre001,12,SBCX,S6/G6S-
play,5,0,andet001,32,BBF1S*B>S,K+SB2
play,5,0,robel002,02,SSFS,K
play,5,1,meyej002,32,CBBFFBB,W
play,5,1,maldm001,10,1BX,54(1)3/GDP/G56
play,5,1,penaj004,02,SCS,K
play,6,0,benia002,12,SBFX,D7/F7L
play,6,0,jimee001,00,X,D9/L89XD+.2-H
play,6,0,moncy001,00,X,DGR/F89XD.2-H
play,6,0,sheeg001,00,,NP
sub,matop002,"Phil Maton",1,0,1
play,6,0,sheeg001,32,.BBCFFBS,K
play,6,0,grany001,01,FX,63/G4.2-3
play,6,0,colao001,01,CH,HP
play,6,0,andre001,01,C1X,9/F9L
play,6,1,brega001,01,FX,7/F78S
play,6,1,alvay001,12,FCB*S,K
play,6,1,abrej003,22,CBSBX,S8/L8D+
play,6,1,tuckk001,12,BFCX,HR/F89XD.1-H
play,6,1,julkc001,00,,NP
sub,lambj003,"Jimmy Lambert",0,0,1
play,6,1,julkc001,12,.FBCX,3/P3SF/FL
play,7,0,andet001,00,,NP
sub,marts003,"Seth Martinez",1,0,1
play,7,0,andet001,22,.CBBFX,53/G5S
play,7,0,robel002,11,BFX,S9/L89D
play,7,0,benia002,12,FBS1X,9/F9LD
play,7,0,jimee001,00,X,23/G2-
play,7,1,hensd002,00,,NP
sub,gravk001,"Kendall Graveman",0,0,1
play,7,1,hensd002,00,.X,S9/L9L
play,7,1,meyej002,00,1X,64(1)3/GDP/G56
play,7,1,maldm001,32,BBBCFB,W
play,7,1,penaj004,01,CX,S7/F7.1-2
play,7,1,brega001,31,BFBBB,W.2-3;1-2
play,7,1,alvay001,00,,NP
sub,diekj001,"Jake Diekman",0,0,1
play,7,1,alvay001,10,.*BX,D8/F78XD.3-H;2-H;1-H
play,7,1,abrej003,02,CSX,5/L5
play,8,0,moncy001,00,,NP
sub,abreb002,"Bryan Abreu",1,0,1
play,8,0,moncy001,11,.BCX,S9/G34
play,8,0,sheeg001,02,SSS,K
play,8,0,grany001,02,CFC,K
play,8,0,colao001,02,S*SC,K
play,8,1,tuckk001,32,CBBFBFB,W
play,8,1,julkc001,00,,NP
sub,ruizj001,"Jose Ruiz",0,0,1
play,8,1,julkc001,22,.1BBCSF>S,K+SB2
play,8,1,hensd002,32,CBBBSX,S9/G34.2-H
play,8,1,meyej002,00,N,BK.1-2
play,8,1,meyej002,02,N.SS>B,SB3
play,8,1,meyej002,22,N.SS>B.*BS,K
play,8,1,maldm001,00,X,7/F78
play,9,0,andre001,00,,NP
sub,montr004,"Rafael Montero",1,0,1
play,9,0,andre001,12,.BSFFFFX,53/G56
play,9,0,andet001,01,CX,S8/L89D+
play,9,0,robel002,32,BFCBBS,K
play,9,0,benia002,31,BCBBX,9/F9LD
data,er,diekj001,1
data,er,lynnl001,2
data,er,gravk001,3
data,er,lambj003,0
data,er,ruizj001,0
data,er,abreb002,0
data,er,montr004,0
data,er,marts003,0
data,er,javic001,3
data,er,matop002,0
