id,MIN202304110
version,2
info,visteam,CHA
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/11
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barbs901
info,ump1b,porta901
info,ump2b,wolfj901
info,ump3b,muchm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/05 09:04:32
info,howscored,unknown
info,pitches,pitches
info,oscorer,johns701
info,temp,78
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,143
info,attendance,16153
info,wp,jax-g001
info,lp,schoj002
info,save,
start,benia002,"Andrew Benintendi",0,1,7
start,robel002,"Luis Robert Jr.",0,2,8
start,sheeg001,"Gavin Sheets",0,3,10
start,vauga001,"Andrew Vaughn",0,4,3
start,grany001,"Yasmani Grandal",0,5,2
start,burgj001,"Jake Burger",0,6,5
start,colao001,"Oscar Colas",0,7,9
start,gonzr003,"Romy Gonzalez",0,8,4
start,andre001,"Elvis Andrus",0,9,6
start,lynnl001,"Lance Lynn",0,0,1
start,solad001,"Donovan Solano",1,1,3
start,buxtb001,"Byron Buxton",1,2,10
start,larnt001,"Trevor Larnach",1,3,7
start,miraj002,"Jose Miranda",1,4,5
start,gordn001,"Nick Gordon",1,5,4
start,farmk001,"Kyle Farmer",1,6,6
start,wallm001,"Matt Wallner",1,7,9
start,vazqc001,"Christian Vazquez",1,8,2
start,taylm002,"Michael A. Taylor",1,9,8
start,lopep002,"Pablo Lopez",1,0,1
play,1,0,benia002,32,CBFFFFBBX,S8/L8+
play,1,0,robel002,00,X,S1/G2-.1-3(E1/TH);B-2
play,1,0,sheeg001,31,CBBBB,W
play,1,0,vauga001,11,TBX,D7/L7LD.3-H;2-H;1-3
play,1,0,grany001,02,SSFS,K
play,1,0,burgj001,32,BBBCC.X,53/G56S
play,1,0,colao001,11,SBX,3/G3
play,1,1,solad001,01,CX,S9/L9D
play,1,1,buxtb001,01,CX,HR/L78XD.1-H
play,1,1,larnt001,32,CBFBBFFC,K
play,1,1,miraj002,00,X,63/G6+
play,1,1,gordn001,22,CBSBX,D9/L9D+
play,1,1,farmk001,32,CBSFF*BBS,K
play,2,0,gonzr003,12,CBFS,K
play,2,0,andre001,01,CX,63/G6
play,2,0,benia002,01,FX,8/F8XD
play,2,1,wallm001,32,FBSBFB.FS,K
play,2,1,vazqc001,00,X,9/F89D
play,2,1,taylm002,01,CX,HR/L78XD
play,2,1,solad001,00,X,S8/L8
play,2,1,buxtb001,22,FSBFBC,K
play,3,0,robel002,01,CX,13/G4MS
play,3,0,sheeg001,11,BCX,3/L3D
play,3,0,vauga001,22,BCCBFT,K
play,3,1,larnt001,12,SSBC,K
play,3,1,miraj002,21,BFBX,13/G13
play,3,1,gordn001,00,X,S9/L9D
play,3,1,farmk001,12,SBF1>T,K
play,4,0,grany001,00,X,7/F7D
play,4,0,burgj001,02,CSS,K
play,4,0,colao001,02,SFS,K
play,4,1,wallm001,02,SS.FX,3/L3D
play,4,1,vazqc001,02,CCFS,K
play,4,1,taylm002,12,CS.BS,K
play,5,0,gonzr003,00,X,1/L4MS
play,5,0,andre001,02,CF.S,K
play,5,0,benia002,22,BCBFX,7/L78D
play,5,1,solad001,31,BBBCX,63/G6MD+
play,5,1,buxtb001,22,BFCBFX,13/G4MS
play,5,1,larnt001,01,SX,S9/G34
play,5,1,miraj002,31,BBSBX,53/G5
play,6,0,robel002,20,BBX,53/G56S
play,6,0,sheeg001,01,CX,7/F7
play,6,0,vauga001,32,.SFBFBBX,53/G56S
play,6,1,gordn001,00,X,8/F8XD
play,6,1,farmk001,32,CFFBBBC,K
play,6,1,wallm001,02,FF*S,K.BX1(23)
play,7,0,grany001,21,CBBX,8/F8XD+
play,7,0,burgj001,02,FF.S,K
play,7,0,colao001,12,BFF*S,K
play,7,1,vazqc001,00,,NP
sub,middk001,"Keynan Middleton",0,0,1
play,7,1,vazqc001,32,.SBBSB.*S,K
play,7,1,taylm002,02,SS.S,K
play,7,1,solad001,12,BFS.FS,K
play,8,0,gonzr003,12,SSBT,K
play,8,0,andre001,12,.SCBFS,K
play,8,0,benia002,00,,NP
sub,thiec001,"Caleb Thielbar",1,0,1
play,8,0,benia002,12,.BFFS,K
play,8,1,buxtb001,10,BX,9/F9D
play,8,1,larnt001,00,,NP
sub,diekj001,"Jake Diekman",0,0,1
play,8,1,larnt001,32,.BBBC.CB,W
play,8,1,miraj002,12,CSF>FF1BX,8/F8
play,8,1,gordn001,00,X,13/G13
play,9,0,robel002,00,,NP
sub,duraj002,"Jhoan Duran",1,0,1
play,9,0,robel002,00,.X,HR/F78XD
play,9,0,sheeg001,32,BSFBFFB.FFFFT,K
