id,NYA202306081
version,2
info,visteam,CHA
info,hometeam,NYA
info,site,NYC21
info,date,2023/06/08
info,number,1
info,gametype,regular
info,starttime,4:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,littw901
info,ump1b,bacoj901
info,ump2b,barkl901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/01 09:04:57
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,67
info,winddir,torf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,166
info,attendance,0
info,wp,santg001
info,lp,kingm002
info,save,gravk001
start,andet001,"Tim Anderson",0,1,6
start,benia002,"Andrew Benintendi",0,2,7
start,robel002,"Luis Robert Jr.",0,3,8
start,jimee001,"Eloy Jimenez",0,4,9
start,moncy001,"Yoan Moncada",0,5,5
start,vauga001,"Andrew Vaughn",0,6,3
start,burgj001,"Jake Burger",0,7,10
start,gonzr003,"Romy Gonzalez",0,8,4
start,zavas001,"Seby Zavala",0,9,2
start,lynnl001,"Lance Lynn",0,0,1
start,calhw001,"Willie Calhoun",1,1,9
start,torrg001,"Gleyber Torres",1,2,4
start,rizza001,"Anthony Rizzo",1,3,3
start,stanm004,"Giancarlo Stanton",1,4,10
start,bauej001,"Jake Bauers",1,5,7
start,lemad001,"DJ LeMahieu",1,6,5
start,cabro002,"Oswaldo Cabrera",1,7,6
start,mckib001,"Billy McKinney",1,8,8
start,higak001,"Kyle Higashioka",1,9,2
start,sevel001,"Luis Severino",1,0,1
play,1,0,andet001,32,CBTBF.BX,43/G4MD
play,1,0,benia002,01,FX,4/L4+
play,1,0,robel002,00,X,S7/L78
play,1,0,jimee001,11,C*B>B,SB2
play,1,0,jimee001,32,C*B>B.SBB,W
play,1,0,moncy001,12,FF*BT,K
play,1,1,calhw001,11,BCX,43/G4
play,1,1,torrg001,31,CBBBB,W
play,1,1,rizza001,22,CF*BFB.X,36(1)/FO/G3.B-1
play,1,1,stanm004,31,CBBBB,W.1-2
play,1,1,bauej001,12,BCCS,K
play,2,0,vauga001,31,BBCBB,W
play,2,0,burgj001,01,FX,HR/F78XD.1-H
play,2,0,gonzr003,32,FBBFBS,K
play,2,0,zavas001,32,CBFBBFX,4/P4D
play,2,0,andet001,00,X,S7/G6+
play,2,0,benia002,00,X,63/G4M
play,2,1,lemad001,01,CX,53/G6S
play,2,1,cabro002,02,CFS,K
play,2,1,mckib001,10,BX,T8/L8XD+
play,2,1,higak001,22,BBSCFX,D9/L89XD+.3-H
play,2,1,calhw001,12,CSBX,S7/G6.2-H
play,2,1,torrg001,12,CFBX,8/F8XD
play,3,0,robel002,21,BBSX,HR/F8XD
play,3,0,jimee001,02,SS.S,K
play,3,0,moncy001,00,X,HR/F9D
play,3,0,vauga001,12,CS.BC,K
play,3,0,burgj001,00,X,D7/L7LD
play,3,0,gonzr003,00,X,8/F89
play,3,1,rizza001,01,FX,9/F9D
play,3,1,stanm004,02,CSS,K
play,3,1,bauej001,21,FBBX,D8/L78XD+
play,3,1,lemad001,31,CBBBB,W
play,3,1,cabro002,11,BFX,46(1)/FO/G4.B-1
play,4,0,zavas001,12,BFSX,43/G4
play,4,0,andet001,01,CX,63/G6S
play,4,0,benia002,00,X,E6/G6.B-1
play,4,0,robel002,01,F1X,7/L7
play,4,1,mckib001,01,FX,43/G4
play,4,1,higak001,11,FBX,S57/L7S
play,4,1,calhw001,10,BX,HR/F9D.1-H
play,4,1,torrg001,22,SSFFBFFBS,K
play,4,1,rizza001,00,X,43/G34
play,5,0,jimee001,02,CFX,53/G56
play,5,0,moncy001,32,BFFBBC,K
play,5,0,vauga001,32,BBBCC.H,HP
play,5,0,burgj001,22,BCC.BFS,K
play,5,1,stanm004,11,BFX,53/G56
play,5,1,bauej001,00,X,D9/L9LD+
play,5,1,lemad001,01,CX,4/L4
play,5,1,cabro002,32,FBBCBX,S7/G6.2-H
play,5,1,mckib001,32,BFBFB>F>F>X,8/F78XD
play,6,0,gonzr003,00,,NP
sub,cordj001,"Jimmy Cordero",1,0,1
play,6,0,gonzr003,32,.BCC.BBB,W
play,6,0,zavas001,12,C*BC>B,SB2
play,6,0,zavas001,22,C*BC>B..*S,K
play,6,0,andet001,00,>B,SB3
play,6,0,andet001,21,>B.SBX,63/G6S
play,6,0,benia002,00,,NP
sub,peraw002,"Wandy Peralta",1,0,1
play,6,0,benia002,00,.X,43/G4
play,6,1,higak001,00,,NP
sub,santg001,"Gregory Santos",0,0,1
play,6,1,higak001,20,.BBX,53/G6S
play,6,1,calhw001,00,X,8/L8XD
play,6,1,torrg001,02,CSX,43/G4
play,7,0,robel002,00,,NP
sub,kinei001,"Isiah Kiner-Falefa",1,1,8
play,7,0,robel002,00,.,NP
sub,bauej001,"Jake Bauers",1,5,9
play,7,0,robel002,00,..,NP
sub,mckib001,"Billy McKinney",1,8,7
play,7,0,robel002,00,...,NP
sub,kingm002,"Michael King",1,0,1
play,7,0,robel002,01,....FX,D7/G5
play,7,0,jimee001,00,X,HR/F8XD.2-H
play,7,0,moncy001,22,BSFBFS,K
play,7,0,vauga001,02,CS.FC,K
play,7,0,burgj001,12,CBFFX,53/G56S
play,7,1,rizza001,00,,NP
sub,kellj001,"Joe Kelly",0,0,1
play,7,1,rizza001,11,.BFX,7/F78
play,7,1,stanm004,22,CBFFBX,53/G5S
play,7,1,bauej001,22,CSFFBFBFX,63/G6
play,8,0,gonzr003,02,CS.X,31/G34
play,8,0,zavas001,11,BSX,7/F7D
play,8,0,andet001,01,CX,13/G13
play,8,1,lemad001,00,,NP
sub,loper003,"Reynaldo Lopez",0,0,1
play,8,1,lemad001,22,.CBFBS,K
play,8,1,cabro002,32,CFFBBFBFS,K
play,8,1,mckib001,31,BBTBX,8/F8
play,9,0,benia002,00,,NP
sub,kahnt001,"Tommy Kahnle",1,0,1
play,9,0,benia002,20,.BBX,43/G4
play,9,0,robel002,01,FX,63/G6
play,9,0,jimee001,32,CS.BBBFFT,K
play,9,1,higak001,00,,NP
sub,frazc001,"Clint Frazier",0,4,9
play,9,1,higak001,00,.,NP
sub,gravk001,"Kendall Graveman",0,0,1
play,9,1,higak001,00,..,NP
sub,donaj001,"Josh Donaldson",1,9,11
play,9,1,donaj001,32,...SBCBBB,W
play,9,1,kinei001,00,,NP
sub,volpa001,"Anthony Volpe",1,9,12
play,9,1,kinei001,11,.1BC>X,S4/G34.1-2
play,9,1,torrg001,22,FC*BBF.X,3/P3F/FL
play,9,1,rizza001,20,B*BX,46(1)3/GDP/G34
com,"$Yankees challenged (force play), call on the field was upheld."
data,er,lynnl001,5
data,er,gravk001,0
data,er,santg001,0
data,er,loper003,0
data,er,kellj001,0
data,er,sevel001,4
data,er,kingm002,2
data,er,peraw002,0
data,er,kahnt001,0
data,er,cordj001,0
