id,SFN202309290
version,2
info,visteam,LAN
info,hometeam,SFN
info,site,SFO03
info,date,2023/09/29
info,number,0
info,gametype,regular
info,starttime,7:15PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,cejan901
info,ump2b,barrl901
info,ump3b,arrid901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/06 09:13:11
info,howscored,unknown
info,pitches,pitches
info,oscorer,younj701
info,temp,62
info,winddir,tocf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,145
info,attendance,38159
info,wp,lynnl001
info,lp,winnk001
info,save,
start,bettm001,"Mookie Betts",0,1,4
start,freef001,"Freddie Freeman",0,2,3
start,smitw003,"Will Smith",0,3,2
start,martj006,"J.D. Martinez",0,4,10
start,heywj001,"Jason Heyward",0,5,9
start,perad001,"David Peralta",0,6,7
start,herne001,"Enrique Hernandez",0,7,5
start,outmj002,"James Outman",0,8,8
start,rojam002,"Miguel Rojas",0,9,6
start,lynnl001,"Lance Lynn",0,0,1
start,wadel001,"LaMonte Wade Jr.",1,1,3
start,yastm001,"Mike Yastrzemski",1,2,9
start,florw001,"Wilmer Flores",1,3,5
start,pedej001,"Joc Pederson",1,4,10
start,estrt001,"Thairo Estrada",1,5,4
start,confm001,"Michael Conforto",1,6,7
start,lucim001,"Marco Luciano",1,7,6
start,sabob001,"Blake Sabol",1,8,2
start,fitzt001,"Tyler Fitzgerald",1,9,8
start,winnk001,"Keaton Winn",1,0,1
play,1,0,bettm001,32,CBBBCX,53/G56
play,1,0,freef001,10,BX,S9/G34
play,1,0,smitw003,11,FBX,HR/F8XD.1-H
play,1,0,martj006,02,FSFFX,7/L7D+
play,1,0,heywj001,22,FBSFBX,43/G34
play,1,1,wadel001,30,BBBB,W
play,1,1,yastm001,32,CBBFBB,W.1-2
play,1,1,florw001,32,BCSBBFFFFX,S8/L8.2-H;1-2
play,1,1,pedej001,22,CBFBX,8/F78
play,1,1,estrt001,02,FSX,23/G2-.2-3;1-2
play,1,1,confm001,12,BSTS,K
play,2,0,perad001,11,BCX,5/P5DF/FL
play,2,0,herne001,12,BTFS,K
play,2,0,outmj002,02,CFC,K
play,2,1,lucim001,22,CSBBC,K
play,2,1,sabob001,20,BBX,7/F7LSF/FL
play,2,1,fitzt001,32,BBSCBX,8/F8
play,3,0,rojam002,01,FX,53/G56
play,3,0,bettm001,12,CFBC,K
play,3,0,freef001,20,BBX,HR/F9D
play,3,0,smitw003,02,CFS,K
play,3,1,wadel001,21,BBCX,63/G4M
play,3,1,yastm001,00,X,43/G34
play,3,1,florw001,00,X,HR/F78XD
play,3,1,pedej001,02,FFC,K
play,4,0,martj006,12,BSS.T,K
play,4,0,heywj001,02,CSFX,S8/G4
play,4,0,perad001,02,FFFX,46(1)3/GDP/G4
play,4,1,estrt001,10,BX,53/G5
play,4,1,confm001,12,CS.BFX,8/F78XD
play,4,1,lucim001,00,X,43/G6M
play,5,0,herne001,01,SX,63/G56
play,5,0,outmj002,00,X,31/G34
play,5,0,rojam002,02,CCX,23/G2-
play,5,1,sabob001,12,FBFC,K
play,5,1,fitzt001,10,BX,4/F3D
play,5,1,wadel001,00,X,7/F7
play,6,0,bettm001,21,CBBX,53/G56
play,6,0,freef001,12,FBSFX,D8/G4
play,6,0,smitw003,11,C*BH,HP
play,6,0,martj006,00,X,HR/F7LD.2-H;1-H
play,6,0,heywj001,00,,NP
sub,hjels001,"Sean Hjelle",1,0,1
play,6,0,heywj001,32,.BFSBBFX,13/G4S
play,6,0,perad001,10,BX,7/F7D
play,6,1,yastm001,11,BFX,7/F78S
play,6,1,florw001,32,CFBBVB,W
play,6,1,pedej001,32,BBBCFB,W.1-2
play,6,1,estrt001,00,X,64(1)3/GDP/G56
play,7,0,herne001,12,BCS.S,K
play,7,0,outmj002,02,CSC,K
play,7,0,rojam002,10,BH,HP
play,7,0,bettm001,00,,NP
sub,rosaa003,"Amed Rosario",0,9,12
play,7,0,bettm001,32,.C*BBBC+1>C,K
play,7,1,confm001,00,,NP
sub,rosaa003,"Amed Rosario",0,9,6
play,7,1,confm001,00,.,NP
sub,brasr001,"Ryan Brasier",0,0,1
play,7,1,confm001,21,..BBFX,43/G4D+
play,7,1,lucim001,30,BBBB,W
play,7,1,sabob001,22,BSC.*BX,8/F8
play,7,1,fitzt001,12,BCCFS,K
play,8,0,freef001,22,SBBFFFX,43/G4
play,8,0,smitw003,12,CF.BC,K
play,8,0,martj006,00,,NP
sub,wongk001,"Kolten Wong",0,4,11
play,8,0,wongk001,12,.CFBX,7/F7L
play,8,1,wadel001,00,.,NP
sub,kellj001,"Joe Kelly",0,0,1
play,8,1,wadel001,12,..CBCX,4/L4
play,8,1,yastm001,32,BBBCS.B,W
play,8,1,florw001,10,BX,13/G25-.1-2
play,8,1,pedej001,02,CC*S,K
play,9,0,heywj001,02,FFFFFFFFX,31/G3
play,9,0,perad001,22,BFBFX,31/G34
play,9,0,herne001,20,BBX,63/G6
play,9,1,estrt001,00,,NP
sub,gratb002,"Brusdar Graterol",0,0,1
play,9,1,estrt001,22,.CBFBX,43/G4
play,9,1,confm001,12,FS.BS,K
play,9,1,lucim001,21,SBBX,13/G13
data,er,lynnl001,2
data,er,gratb002,0
data,er,brasr001,0
data,er,kellj001,0
data,er,winnk001,6
data,er,hjels001,0
