Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,indij001,02,CCX,53/G56
play,1,1,friet001,32,CBBS.BFX,S7/G6S
play,1,1,stees001,02,SS>F1S,K
play,1,1,stept001,22,1SBFBS,K
play,2,1,fralj001,00,X,8/F89
play,2,1,ramoh001,12,BSCS,K
play,2,1,senzn001,22,FBBFX,63/G6
play,3,1,newmk001,12,CFBX,S5/G5S-
play,3,1,maill001,02,TF1FT,K
play,3,1,indij001,01,C1>B,SB2
play,3,1,indij001,12,C1>B.CFX,3/P3SF/FL
play,3,1,friet001,21,CBBX,D9/L3D.2-H;BX3(95)
play,4,1,stees001,12,CFBX,S9/G34
play,4,1,stept001,01,CX,S9/G34.1-3
play,4,1,fralj001,22,SBTBX,S7/F7S.3-H;1-2
play,4,1,ramoh001,12,FF*BC,K
play,4,1,senzn001,01,FX,S7/L7.2-H;1-2
play,4,1,newmk001,00,X,46(1)3/GDP/G4S
play,5,1,maill001,00,X,53/G56
play,5,1,indij001,32,CBBFBX,HR/F8XD
play,5,1,friet001,32,BCLBFFFBFS,K
play,5,1,stees001,02,SS.X,63/G56
play,6,1,stept001,22,CFBBS,K
play,6,1,fralj001,11,BSX,5/P5
play,6,1,ramoh001,12,TBCS,K
play,7,1,senzn001,00,X,63/G6
play,7,1,newmk001,11,BFX,43/G4M
play,7,1,maill001,20,BBX,E2/P23.B-1
play,7,1,indij001,00,,NP
