Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mckiz001,32,CFBB.BFFB,W
play,1,1,greer003,10,BX,D7/F78.1-3
play,1,1,baezj001,00,.X,FC5/G56.B-1
play,1,1,torks001,12,BFSS,K
play,1,1,maton001,11,BFX,3/L3
play,1,1,badda001,32,FFBFBFB>X,S5/G56.3-H;2-3;1-2
play,1,1,cabrm001,32,ABSFBB>C,K
play,2,1,vierm001,02,OF.C,K
play,2,1,rogej004,32,BBBCFFB,W
play,2,1,mckiz001,32,BFFBBFFB,W.1-2
play,2,1,greer003,01,CX,36(1)/FO/G3.2-3;B-1
play,2,1,baezj001,12,BSCS,K
play,3,1,torks001,11,CBX,8/F8D
play,3,1,maton001,31,CBBBX,63/G6
play,3,1,badda001,00,X,8/F8D
play,4,1,cabrm001,02,CSX,53/G56
play,4,1,vierm001,10,BX,53/G6S
play,4,1,rogej004,12,CTBX,8/F78XD
play,5,1,mckiz001,00,X,S7/L7LS
play,5,1,greer003,20,BBX,46(1)3/GDP/G4
play,5,1,baezj001,10,BX,53/G56
play,6,1,torks001,20,BBH,HP
play,6,1,maton001,11,BCX,FC4/G4M.1-2(E4);B-1
play,6,1,badda001,31,BFBBB,W.2-3;1-2
play,6,1,cabrm001,32,BBBCCB,W.3-H(UR);2-3;1-2
play,6,1,vierm001,20,BBX,5(2)3/GDP/G56.3-H(NR)(UR);1-2
play,6,1,rogej004,12,BFSS,K
play,7,1,mckiz001,00,,NP
