Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,penaj004,10,BX,53/G56S
play,1,1,brega001,20,BBX,8/F89XD
play,1,1,alvay001,21,BBCX,7/F78
play,2,1,abrej003,30,BBBB,W
play,2,1,tuckk001,22,SFB*BS,K
play,2,1,julkc001,02,CFX,S7/L78+.1-2
play,2,1,hensd002,31,BCBBB,W.2-3;1-2
play,2,1,meyej002,22,*BSSBS,K
play,2,1,maldm001,01,SX,3/P1S/FL
play,3,1,penaj004,22,CBBSFH,HP
play,3,1,brega001,10,*B>X,5/P5F/FL
play,3,1,alvay001,10,B>S,CS2(26)
play,3,1,alvay001,32,B>S.BFFFBB,W
play,3,1,abrej003,00,X,9/F9S
play,4,1,tuckk001,22,BSBFFFX,9/L9
play,4,1,julkc001,22,CBBCS,K
play,4,1,hensd002,32,CBBSBFS,K
play,5,1,meyej002,32,CBBFFBB,W
play,5,1,maldm001,10,1BX,54(1)3/GDP/G56
play,5,1,penaj004,02,SCS,K
play,6,1,brega001,01,FX,7/F78S
play,6,1,alvay001,12,FCB*S,K
play,6,1,abrej003,22,CBSBX,S8/L8D+
play,6,1,tuckk001,12,BFCX,HR/F89XD.1-H
play,6,1,julkc001,00,,NP
