Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,wadel001,30,BBBB,W
play,1,1,yastm001,32,CBBFBB,W.1-2
play,1,1,florw001,32,BCSBBFFFFX,S8/L8.2-H;1-2
play,1,1,pedej001,22,CBFBX,8/F78
play,1,1,estrt001,02,FSX,23/G2-.2-3;1-2
play,1,1,confm001,12,BSTS,K
play,2,1,lucim001,22,CSBBC,K
play,2,1,sabob001,20,BBX,7/F7LSF/FL
play,2,1,fitzt001,32,BBSCBX,8/F8
play,3,1,wadel001,21,BBCX,63/G4M
play,3,1,yastm001,00,X,43/G34
play,3,1,florw001,00,X,HR/F78XD
play,3,1,pedej001,02,FFC,K
play,4,1,estrt001,10,BX,53/G5
play,4,1,confm001,12,CS.BFX,8/F78XD
play,4,1,lucim001,00,X,43/G6M
play,5,1,sabob001,12,FBFC,K
play,5,1,fitzt001,10,BX,4/F3D
play,5,1,wadel001,00,X,7/F7
play,6,1,yastm001,11,BFX,7/F78S
play,6,1,florw001,32,CFBBVB,W
play,6,1,pedej001,32,BBBCFB,W.1-2
play,6,1,estrt001,00,X,64(1)3/GDP/G56
play,7,1,confm001,00,,NP
play,7,1,confm001,00,.,NP
