id,CIN202305050
version,2
info,visteam,CHA
info,hometeam,CIN
info,site,CIN09
info,date,2023/05/05
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,knigb901
info,ump1b,tosia901
info,ump2b,randt901
info,ump3b,ticht901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,75
info,winddir,unknown
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,150
info,attendance,23467
info,wp,lynnl001
info,lp,greeh001
info,save,loper003
start,andet001,"Tim Anderson",0,1,6
start,benia002,"Andrew Benintendi",0,2,7
start,vauga001,"Andrew Vaughn",0,3,3
start,jimee001,"Eloy Jimenez",0,4,10
start,sheeg001,"Gavin Sheets",0,5,9
start,robel002,"Luis Robert Jr.",0,6,8
start,grany001,"Yasmani Grandal",0,7,2
start,albeh001,"Hanser Alberto",0,8,5
start,andre001,"Elvis Andrus",0,9,4
start,lynnl001,"Lance Lynn",0,0,1
start,indij001,"Jonathan India",1,1,4
start,friet001,"TJ Friedl",1,2,8
start,stees001,"Spencer Steer",1,3,3
start,stept001,"Tyler Stephenson",1,4,10
start,fralj001,"Jake Fraley",1,5,7
start,ramoh001,"Henry Ramos",1,6,9
start,senzn001,"Nick Senzel",1,7,5
start,newmk001,"Kevin Newman",1,8,6
start,maill001,"Luke Maile",1,9,2
start,greeh001,"Hunter Greene",1,0,1
play,1,0,andet001,02,CSS,K
play,1,0,benia002,11,BFX,43/G4
play,1,0,vauga001,32,BBCS.FBS,K
play,1,1,indij001,02,CCX,53/G56
play,1,1,friet001,32,CBBS.BFX,S7/G6S
play,1,1,stees001,02,SS>F1S,K
play,1,1,stept001,22,1SBFBS,K
play,2,0,jimee001,10,BX,8/F8D
play,2,0,sheeg001,22,BBCFS,K
play,2,0,robel002,10,BX,S6/G6
play,2,0,grany001,12,BC1TX,9/F89
play,2,1,fralj001,00,X,8/F89
play,2,1,ramoh001,12,BSCS,K
play,2,1,senzn001,22,FBBFX,63/G6
play,3,0,albeh001,12,BTS.S,K
play,3,0,andre001,32,.BCBSBB,W
play,3,0,andet001,12,>FS*B1>S,K+SB2
play,3,0,benia002,22,BBTSS,K
play,3,1,newmk001,12,CFBX,S5/G5S-
play,3,1,maill001,02,TF1FT,K
play,3,1,indij001,01,C1>B,SB2
play,3,1,indij001,12,C1>B.CFX,3/P3SF/FL
play,3,1,friet001,21,CBBX,D9/L3D.2-H;BX3(95)
com,"$White Sox challenged (fair or foul in outfield), call on the field was upheld."
play,4,0,vauga001,10,BX,7/F78
play,4,0,jimee001,32,CS.FBBVC,K
play,4,0,sheeg001,12,FBCX,6/P6D
play,4,1,stees001,12,CFBX,S9/G34
play,4,1,stept001,01,CX,S9/G34.1-3
play,4,1,fralj001,22,SBTBX,S7/F7S.3-H;1-2
play,4,1,ramoh001,12,FF*BC,K
play,4,1,senzn001,01,FX,S7/L7.2-H;1-2
play,4,1,newmk001,00,X,46(1)3/GDP/G4S
play,5,0,robel002,02,CFX,S9/G34+
play,5,0,grany001,01,FX,S9/G4+.1-2
play,5,0,albeh001,10,*BX,15(2)/FO/BG1S.1-2;B-1
play,5,0,andre001,22,CCBBX,HR/F7LD.2-H;1-H
play,5,0,andet001,10,BX,8/F8D
play,5,0,benia002,02,CS.X,53/G56
play,5,1,maill001,00,X,53/G56
play,5,1,indij001,32,CBBFBX,HR/F8XD
play,5,1,friet001,32,BCLBFFFBFS,K
play,5,1,stees001,02,SS.X,63/G56
play,6,0,vauga001,22,BCBF.FX,8/F89XD+
play,6,0,jimee001,32,FBS.BBX,S7/L7
play,6,0,sheeg001,22,BCFBX,9/L9D+
play,6,0,robel002,31,BBBCX,HR/F89XD.1-H
play,6,0,grany001,32,BCBBTX,S8/L89D
play,6,0,albeh001,00,,NP
sub,simsl001,"Lucas Sims",1,0,1
play,6,0,albeh001,11,.FBX,143/L4
play,6,1,stept001,22,CFBBS,K
play,6,1,fralj001,11,BSX,5/P5
play,6,1,ramoh001,12,TBCS,K
play,7,0,andre001,32,CBCBB*B,W
play,7,0,andet001,02,F1S1,PO1(13)
play,7,0,andet001,12,F1S1.FBS,K
play,7,0,benia002,20,BBX,53/G56
play,7,1,senzn001,00,X,63/G6
play,7,1,newmk001,11,BFX,43/G4M
play,7,1,maill001,20,BBX,E2/P23.B-1
play,7,1,indij001,00,,NP
