id,SEA202306180
version,2
info,visteam,CHA
info,hometeam,SEA
info,site,SEA03
info,date,2023/06/18
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,macka901
info,ump1b,johna901
info,ump2b,gonzm901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/01 09:04:59
info,howscored,unknown
info,pitches,pitches
info,oscorer,radoe701
info,temp,58
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,141
info,attendance,44772
info,wp,millb004
info,lp,lynnl001
info,save,
start,benia002,"Andrew Benintendi",0,1,7
start,remiz001,"Zach Remillard",0,2,4
start,robel002,"Luis Robert Jr.",0,3,8
start,jimee001,"Eloy Jimenez",0,4,10
start,grany001,"Yasmani Grandal",0,5,2
start,vauga001,"Andrew Vaughn",0,6,3
start,sheeg001,"Gavin Sheets",0,7,9
start,burgj001,"Jake Burger",0,8,5
start,andre001,"Elvis Andrus",0,9,6
start,lynnl001,"Lance Lynn",0,0,1
start,crawj002,"J.P. Crawford",1,1,6
start,rodrj007,"Julio Rodriguez",1,2,8
start,frant002,"Ty France",1,3,3
start,hernt002,"Teoscar Hernandez",1,4,9
start,kelej001,"Jarred Kelenic",1,5,7
start,suare001,"Eugenio Suarez",1,6,5
start,ralec001,"Cal Raleigh",1,7,2
start,fordm002,"Mike Ford",1,8,10
start,wongk001,"Kolten Wong",1,9,4
start,millb004,"Bryce Miller",1,0,1
play,1,0,benia002,00,X,6/P6MD
play,1,0,remiz001,32,BBBCCS,K
play,1,0,robel002,02,FSS,K
play,1,1,crawj002,22,FBSBFS,K
play,1,1,rodrj007,10,BX,7/F78D
play,1,1,frant002,12,BSTT,K
play,2,0,jimee001,00,X,9/F9D
play,2,0,grany001,11,CBX,9/L89XD+
play,2,0,vauga001,12,CC.BX,63/G6
play,2,1,hernt002,22,BSBSS,K
play,2,1,kelej001,22,BC.SBS,K
play,2,1,suare001,32,BBSSFBX,4/P4D
play,3,0,sheeg001,12,SBCFX,53/G6
play,3,0,burgj001,02,FSX,S14/L1+
play,3,0,andre001,22,BBCF.S,K
play,3,0,benia002,01,CX,8/F8D
play,3,1,ralec001,01,CX,S9/G34
play,3,1,fordm002,22,BSS.BS,K
play,3,1,wongk001,22,FBSBS,K
play,3,1,crawj002,30,BBBB,W.1-2
play,3,1,rodrj007,10,BX,D9/L89XD+.2-H;1-H
play,3,1,frant002,22,SSB*BX,2/P2F/FL
play,4,0,remiz001,22,FBB.FX,63/G6+
play,4,0,robel002,12,BFFFS,K
play,4,0,jimee001,22,FBF.BX,63/G6
play,4,1,hernt002,02,SF.S,K
play,4,1,kelej001,12,CBFT,K
play,4,1,suare001,22,CSBBS,K
play,5,0,grany001,01,CX,6/L6M
play,5,0,vauga001,12,CBFFS,K
play,5,0,sheeg001,21,BFBX,S9/L9LD+
play,5,0,burgj001,00,X,2/P2F/FL
play,5,1,ralec001,00,X,9/F9S
play,5,1,fordm002,22,BFFBC,K
play,5,1,wongk001,12,SFBS,K
play,6,0,andre001,00,.X,D7/L7LD
play,6,0,benia002,00,X,S9/G4.2-H
play,6,0,remiz001,02,CCX,5/L56
play,6,0,robel002,02,F1F>X,53/G56.1-2
play,6,0,jimee001,12,FBFC,K
play,6,1,crawj002,32,CC.BFBBS,K
play,6,1,rodrj007,32,BBFBF.B,W
play,6,1,frant002,01,S>B,SB2
play,6,1,frant002,22,S>B.FBS,K
play,6,1,hernt002,22,CCBFBS,K
play,7,0,grany001,12,FFBX,43/G34
play,7,0,vauga001,12,BFFX,143/L4S
play,7,0,sheeg001,12,FFFBX,31/G3
play,7,1,kelej001,01,FX,8/F8
play,7,1,suare001,12,CFBS,K
play,7,1,ralec001,02,S.FX,S8/G4
play,7,1,fordm002,32,BFFBB.>S,K
play,8,0,burgj001,00,,NP
sub,topaj001,"Justin Topa",1,0,1
play,8,0,burgj001,12,.SCBX,63/G6
play,8,0,andre001,01,CX,7/F78S
play,8,0,benia002,22,CBC.BC,K
play,8,1,wongk001,00,X,S4/BG34S
play,8,1,crawj002,00,,NP
