Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,21,FBBX,9/F89XD
play,1,1,albio001,00,X,HR/F9LD
play,1,1,rilea001,10,BX,43/G4
play,1,1,olsom001,10,BX,31/G34
play,2,1,ozunm001,21,BBFX,8/F8XD+
play,2,1,rosae001,02,CFX,S9/G4
play,2,1,murps001,00,X,9/F9LF/FL
play,2,1,harrm004,01,CX,S7/L7L.1-2
play,2,1,lopen001,10,BX,8/L8
play,3,1,acunr001,00,X,63/G6
play,3,1,albio001,21,BBCX,8/F8XD
play,3,1,rilea001,02,CCX,63/G6
play,4,1,olsom001,22,BSFB.X,9/F9LD
play,4,1,ozunm001,22,CBS.BS,K
play,4,1,rosae001,00,X,9/L9
play,5,1,murps001,22,CFBBC,K
play,5,1,harrm004,21,FBBX,D9/L89XD+
play,5,1,lopen001,12,SBFX,31/G3.2-3
play,5,1,acunr001,32,CBBBFX,43/G4
play,6,1,albio001,11,FBX,43/G4D
play,6,1,rilea001,11,CBX,HR/F89XD
play,6,1,olsom001,00,X,HR/F8XD
play,6,1,ozunm001,22,CBBFX,53/G56
play,6,1,rosae001,30,BBBB,W
play,6,1,murps001,10,BX,S6/L6D.1-2
play,6,1,harrm004,11,CBX,9/F9D
play,7,1,lopen001,21,BCBX,7/L7D
play,7,1,acunr001,01,CX,7/L78XD
play,7,1,albio001,00,X,S9/L9L
play,7,1,rilea001,32,CBC*BFB>F>B,W.1-2
play,7,1,olsom001,00,,NP
