Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,verda001,22,CBFBX,D8/L78XD+
play,1,1,yoshm002,32,*B*BCFBX,43/G34.2-3
play,1,1,turnj001,02,FCFFX,9/F9S
play,1,1,dever001,01,TX,S9/L9.3-H
play,1,1,duraj001,12,CC.BFFX,3/L3
play,2,1,casat001,21,TBBX,43/G4
play,2,1,valde002,31,FBBBB,W
play,2,1,mcgur002,11,FBX,7/F78D
play,2,1,reyep001,32,BBBCF>F.>X,6/P4MD
play,3,1,verda001,00,,NP
play,3,1,verda001,00,.,NP
play,3,1,verda001,00,..,NP
play,3,1,verda001,01,...CX,63/G6
play,3,1,yoshm002,02,CC.X,53/G56
play,3,1,turnj001,32,CBBFBFX,53/G5
play,4,1,dever001,22,CBFBX,S8/L8D+.BX2(84)
play,4,1,duraj001,00,X,8/L8
play,4,1,casat001,02,CS.X,S7/L7LS
play,4,1,valde002,22,BBFC.X,46(1)/FO/G4.B-1
play,5,1,mcgur002,01,FX,53/G6S
play,5,1,reyep001,32,SBFBBB,W
play,5,1,verda001,32,*BCBC.B>F>X,43/G34.1-2
play,5,1,yoshm002,11,C*BX,43/G4
play,6,1,turnj001,12,CBS.X,9/F89
play,6,1,dever001,10,BX,8/F89XD
play,6,1,duraj001,22,BFBS.X,63/G6M
play,7,1,casat001,00,,NP
