Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,yelic001,10,BX,9/F89XD
play,1,1,contw002,12,BCCS,K
play,1,1,santc002,32,CBFBBX,S5/G6
play,1,1,canhm001,22,CBCBX,8/L89XD+
play,2,1,frels001,01,CX,63/G6M
play,2,1,adamw002,11,CBX,D8/L89XD+
play,2,1,donaj001,30,BBBB,W
play,2,1,turab002,20,BBX,6/P6D
play,2,1,taylt002,00,X,4/P4D
play,3,1,yelic001,32,BCBFBB,W
play,3,1,contw002,02,CSFX,S8/G4.1-3
play,3,1,santc002,00,X,D9/L9L.3-H;1-3
play,3,1,canhm001,12,FSBFFC,K
play,3,1,frels001,02,FFX,53/G6S
play,3,1,adamw002,32,SBFBBX,53/G5+
play,4,1,donaj001,02,FFC,K
play,4,1,turab002,12,BCFX,4/P34
play,4,1,taylt002,12,CCBS,K
play,5,1,yelic001,32,BBFFFB.FFS,K
play,5,1,contw002,00,X,S8/G6M
play,5,1,santc002,01,CX,7/F9
play,5,1,canhm001,12,BCFX,3/P3F/FL
play,6,1,frels001,12,CFBX,63/G6
play,6,1,adamw002,02,CCFX,6/P6D
play,6,1,donaj001,10,BX,53/G5
play,7,1,turab002,00,,NP
play,7,1,tellr001,01,.CX,7/F7D
play,7,1,taylt002,01,CX,63/G6
play,7,1,yelic001,21,CBBX,31/G3
play,8,1,contw002,00,,NP
play,8,1,contw002,00,.,NP
play,8,1,contw002,00,..,NP
