Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,schwk001,01,CX,31/G34
play,1,1,turnt001,32,BBSFBFX,D9/L9D
play,1,1,harpb003,02,CSC,K
play,1,1,castn001,12,FBSC,K
play,2,1,stotb001,12,CFBX,43/G4
play,2,1,bohma001,01,CX,D9/L9D+
play,2,1,marsb002,01,CX,S7/L7.2-3
play,2,1,cavej001,01,FX,3/G34.1-2
play,2,1,stubg001,32,CBFFB.BX,D7/G5.3-H;2-H
play,2,1,schwk001,12,CCBX,DGR/L9LD+.2-H
play,2,1,turnt001,12,FBF*S,K.BX1(23)
play,3,1,harpb003,22,STFFBBX,S8/L78D
play,3,1,castn001,01,SB,WP.1-2
play,3,1,castn001,21,SB.BX,8/F8XD.2-3
play,3,1,stotb001,01,TX,7/SF/L78D.3-H
play,3,1,bohma001,10,BX,8/L8
play,4,1,marsb002,20,BBX,D9/L9LD
play,4,1,cavej001,00,X,8/F8D
play,4,1,stubg001,32,BBBCS.X,4/P4
play,4,1,schwk001,21,BCBX,9/F9D
play,5,1,turnt001,10,BX,E5/G56S.B-1
play,5,1,harpb003,00,.1X,9/F89D
play,5,1,castn001,01,SX,9/F9LF/FL
play,5,1,stotb001,10,B>C,SB2
play,5,1,stotb001,12,B>C.CFB,WP.2-3
play,5,1,stotb001,32,B>C.CFB.BFX,8/F8
play,6,1,bohma001,21,BBSX,HR/F78XD
play,6,1,marsb002,01,TX,43/G34D
play,6,1,cavej001,10,BX,7/F7LD
play,6,1,stubg001,12,CC.FBX,8/L8D
play,7,1,schwk001,00,,NP
play,7,1,schwk001,00,.,NP
play,7,1,schwk001,00,..,NP
