Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,rodrj007,01,CX,63/G6
play,1,1,frant002,32,BBFFBB,W
play,1,1,suare001,01,CX,8/F8D+
play,1,1,ralec001,11,BSX,63/G6M
play,2,1,hernt002,22,BBCFFS,K
play,2,1,kelej001,00,X,HR/F7D
play,2,1,polla001,12,CF.BX,D8/L89XD
play,2,1,wongk001,12,CF*BFX,9/F9L
play,2,1,crawj002,32,BCBFBFFB,W
play,2,1,rodrj007,02,CSX,53/G56S
play,3,1,frant002,21,CBBX,4/P4
play,3,1,suare001,22,CBFBC,K
play,3,1,ralec001,00,X,7/F7LS
play,4,1,hernt002,32,BFCBFBX,9/F9LS
play,4,1,kelej001,21,BCBX,D9/L89XD
play,4,1,polla001,02,FSC,K
play,4,1,wongk001,01,CX,53/G56S
play,5,1,crawj002,21,CBBX,7/F7LD
play,5,1,rodrj007,02,CFF.X,53/G56
play,5,1,frant002,02,CC*S,K
play,6,1,suare001,00,X,63/G6
play,6,1,ralec001,32,BFFB.FFBX,S9/L9L
play,6,1,hernt002,32,*BBBCCFX,HR/F89XD.1-H
play,6,1,kelej001,00,,NP
