id,COL202304110
version,2
info,visteam,SLN
info,hometeam,COL
info,site,DEN02
info,date,2023/04/11
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,belld901
info,ump1b,cuzzp901
info,ump2b,rippm901
info,ump3b,lives901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/05 09:04:32
info,howscored,unknown
info,pitches,pitches
info,oscorer,einsd701
info,temp,82
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,157
info,attendance,25399
info,wp,gallg001
info,lp,johnp001
info,save,helsr001
start,donob001,"Brendan Donovan",0,1,7
start,edmat001,"Tommy Edman",0,2,6
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,2
start,oneit001,"Tyler O'Neill",0,6,8
start,walkj003,"Jordan Walker",0,7,9
start,yepej001,"Juan Yepez",0,8,10
start,mottt001,"Taylor Motter",0,9,4
start,mikom001,"Miles Mikolas",0,0,1
start,profj001,"Jurickson Profar",1,1,7
start,bryak001,"Kris Bryant",1,2,9
start,mcmar001,"Ryan McMahon",1,3,4
start,cronc002,"C.J. Cron",1,4,3
start,mousm001,"Mike Moustakas",1,5,10
start,diaze005,"Elias Diaz",1,6,2
start,casth001,"Harold Castro",1,7,5
start,dazay001,"Yonathan Daza",1,8,8
start,tovae001,"Ezequiel Tovar",1,9,6
start,freek001,"Kyle Freeland",1,0,1
play,1,0,donob001,32,BCBF.BS,K
play,1,0,edmat001,01,CX,HR/F9D
play,1,0,goldp001,00,X,3/P3D
play,1,0,arenn001,22,BBCS*S,K
play,1,1,profj001,32,CBCBFFBX,8/F8XD
play,1,1,bryak001,10,BX,E5/G56.B-1
play,1,1,mcmar001,12,CS.*BX,S8/L8D+.1-2
play,1,1,cronc002,00,X,54(1)3/GDP/G5+
play,2,0,contw001,32,BCBBFB,W
play,2,0,oneit001,21,BBCX,64(1)3/GDP/G6+
play,2,0,walkj003,22,FBF.BFX,9/F9LD
play,2,1,mousm001,31,BCBBB,W
play,2,1,diaze005,22,CBFBC,K
play,2,1,casth001,02,FSX,S9/L89.1-2
play,2,1,dazay001,01,.CX,46(1)3/GDP/G4+
play,3,0,yepej001,01,SX,HR/F7LD
play,3,0,mottt001,31,BBBCX,7/F7L
play,3,0,donob001,12,BSC.X,3/G3
play,3,0,edmat001,11,BFX,S8/G4M
play,3,0,goldp001,10,BX,7/F78D
play,3,1,tovae001,01,FX,S8/L8
play,3,1,profj001,11,BCX,C/E2.1-2;B-1
play,3,1,bryak001,02,FFFX,5(2)/FO/G5S-.1-2;B-1
play,3,1,mcmar001,32,FBS.BBS,K
play,3,1,cronc002,01,SX,6(1)/FO/G6M+.B-1
play,4,0,arenn001,30,BBBB,W
play,4,0,contw001,10,BX,2/P2F/FL
play,4,0,oneit001,12,FF*B*S,K
play,4,0,walkj003,00,X,53/G5
play,4,1,mousm001,12,CCBFS,K
play,4,1,diaze005,00,X,HR/F8XD
play,4,1,casth001,10,BX,43/G34
play,4,1,dazay001,12,BFF.X,S8/L89D+
play,4,1,tovae001,00,X,13/G1S
play,5,0,yepej001,21,CBBX,S7/L7LD+
play,5,0,mottt001,22,BFBSFFS,K
play,5,0,donob001,12,1CBCS,K
play,5,0,edmat001,00,X,D8/L89XD+.1-3
play,5,0,goldp001,11,CBX,5/L5
play,5,1,profj001,32,TBBBSFB,W
play,5,1,bryak001,10,BX,S7/L7.1-2
play,5,1,mcmar001,10,BX,HR/F8XD.2-H;1-H
play,5,1,cronc002,12,SFBX,HR/F7D
play,5,1,mousm001,01,SX,D7/L7LD
play,5,1,diaze005,10,BX,S9/L9D.2-3
play,5,1,casth001,10,*BX,3/G3S-.1-2
play,5,1,dazay001,01,CX,9/SF/F89.3-H
play,5,1,tovae001,12,FBCB,WP.2-3
play,5,1,tovae001,32,FBCB.*BX,9/L9D+
play,6,0,arenn001,00,X,S67/G56
play,6,0,contw001,01,SX,64(1)3/GDP/G6+
play,6,0,oneit001,21,BSBX,43/G4+
play,6,1,profj001,00,,NP
