id,MIL202309260
version,2
info,visteam,SLN
info,hometeam,MIL
info,site,MIL06
info,date,2023/09/26
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blasc901
info,ump1b,riggj901
info,ump2b,torrc901
info,ump3b,kulpr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:39
info,howscored,unknown
info,pitches,pitches
info,oscorer,olsod701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,146
info,attendance,36755
info,wp,mikom001
info,lp,housa001
info,save,helsr001
start,edmat001,"Tommy Edman",0,1,4
start,goldp001,"Paul Goldschmidt",0,2,3
start,nootl001,"Lars Nootbaar",0,3,8
start,walkj003,"Jordan Walker",0,4,9
start,palar002,"Richie Palacios",0,5,7
start,bakel001,"Luken Baker",0,6,10
start,kniza001,"Andrew Knizner",0,7,2
start,fermj001,"Jose Fermin",0,8,5
start,winnm001,"Masyn Winn",0,9,6
start,mikom001,"Miles Mikolas",0,0,1
start,yelic001,"Christian Yelich",1,1,7
start,contw002,"William Contreras",1,2,2
start,santc002,"Carlos Santana",1,3,3
start,canhm001,"Mark Canha",1,4,10
start,frels001,"Sal Frelick",1,5,8
start,adamw002,"Willy Adames",1,6,6
start,donaj001,"Josh Donaldson",1,7,5
start,turab002,"Brice Turang",1,8,4
start,taylt002,"Tyrone Taylor",1,9,9
start,housa001,"Adrian Houser",1,0,1
play,1,0,edmat001,11,CBX,7/F7LS
play,1,0,goldp001,32,FBSFBB.FFX,53/G56
play,1,0,nootl001,22,.CBFBC,K
play,1,1,yelic001,10,BX,9/F89XD
play,1,1,contw002,12,BCCS,K
play,1,1,santc002,32,CBFBBX,S5/G6
play,1,1,canhm001,22,CBCBX,8/L89XD+
play,2,0,walkj003,32,CCBBBFC,K
play,2,0,palar002,11,CBX,5/P5F/FL
play,2,0,bakel001,10,BX,8/F8
play,2,1,frels001,01,CX,63/G6M
play,2,1,adamw002,11,CBX,D8/L89XD+
play,2,1,donaj001,30,BBBB,W
play,2,1,turab002,20,BBX,6/P6D
play,2,1,taylt002,00,X,4/P4D
play,3,0,kniza001,12,BCFC,K
play,3,0,fermj001,32,CF.BBBS,K
play,3,0,winnm001,00,X,8/F8XD
play,3,1,yelic001,32,BCBFBB,W
play,3,1,contw002,02,CSFX,S8/G4.1-3
play,3,1,santc002,00,X,D9/L9L.3-H;1-3
play,3,1,canhm001,12,FSBFFC,K
play,3,1,frels001,02,FFX,53/G6S
play,3,1,adamw002,32,SBFBBX,53/G5+
play,4,0,edmat001,01,CX,S8/G4
play,4,0,goldp001,01,FX,8/F8D
play,4,0,nootl001,31,BBBC>B,W.1-2
play,4,0,walkj003,02,SFC,K
play,4,0,palar002,32,BFFBF*B>X,D4/G3.2-H;1-H
play,4,0,bakel001,32,BCBBFX,63/G6
play,4,1,donaj001,02,FFC,K
play,4,1,turab002,12,BCFX,4/P34
play,4,1,taylt002,12,CCBS,K
play,5,0,kniza001,32,CBBBCB,W
play,5,0,fermj001,21,BFB>X,FC4/G4M.1-3(E4);B-2
play,5,0,winnm001,01,CX,8/SF/DP/F89D.3-H(UR);2X3(85)
play,5,0,edmat001,10,BX,HR/F89XD+.B-H(UR)
play,5,0,goldp001,00,X,8/F78
play,5,1,yelic001,32,BBFFFB.FFS,K
play,5,1,contw002,00,X,S8/G6M
play,5,1,santc002,01,CX,7/F9
play,5,1,canhm001,12,BCFX,3/P3F/FL
play,6,0,nootl001,00,,NP
sub,milnh001,"Hoby Milner",1,0,1
play,6,0,nootl001,12,.BCCS,K
play,6,0,walkj003,01,CX,S7/L78S
play,6,0,palar002,22,BCFFBX,16(1)/FO/G13.B-1
play,6,0,bakel001,00,,NP
sub,wilsb003,"Bryse Wilson",1,0,1
play,6,0,bakel001,32,.BCC*BB>S,K
play,6,1,frels001,12,CFBX,63/G6
play,6,1,adamw002,02,CCFX,6/P6D
play,6,1,donaj001,10,BX,53/G5
com,"$Brewers challenged (play at 1st), call on the field was upheld."
play,7,0,kniza001,02,FCX,7/F78D
play,7,0,fermj001,01,FX,9/F9S
play,7,0,winnm001,30,BBBB,W
play,7,0,edmat001,02,CC.S,K
play,7,1,turab002,00,,NP
sub,tellr001,"Rowdy Tellez",1,8,11
play,7,1,tellr001,01,.CX,7/F7D
play,7,1,taylt002,01,CX,63/G6
play,7,1,yelic001,21,CBBX,31/G3
play,8,0,goldp001,00,,NP
sub,monaa001,"Andruw Monasterio",1,8,4
play,8,0,goldp001,02,.CFX,8/F8D
play,8,0,nootl001,00,,NP
sub,chafa001,"Andrew Chafin",1,0,1
play,8,0,nootl001,31,.BBBCB,W
play,8,0,walkj003,32,BBBCFX,S7/G56+.1-2
play,8,0,palar002,00,,NP
sub,yepej001,"Juan Yepez",0,5,11
play,8,0,yepej001,32,.BCB*BF.X,4/P34
play,8,0,bakel001,32,BCBBS>*S,K.BX1(23)
play,8,1,contw002,00,,NP
sub,nootl001,"Lars Nootbaar",0,3,7
play,8,1,contw002,00,.,NP
sub,sianm001,"Michael Siani",0,5,8
play,8,1,contw002,00,..,NP
