id,SFN202304270
version,2
info,visteam,SLN
info,hometeam,SFN
info,site,SFO03
info,date,2023/04/27
info,number,0
info,gametype,regular
info,starttime,12:45PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,fairc901
info,ump1b,lentn901
info,ump2b,rehaj901
info,ump3b,emmep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/13 09:01:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,younj701
info,temp,67
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,164
info,attendance,23397
info,wp,mikom001
info,lp,webbl001
info,save,
start,nootl001,"Lars Nootbaar",0,1,8
start,goldp001,"Paul Goldschmidt",0,2,3
start,gormn001,"Nolan Gorman",0,3,10
start,arenn001,"Nolan Arenado",0,4,5
start,burla001,"Alec Burleson",0,5,9
start,dejop001,"Paul DeJong",0,6,6
start,oneit001,"Tyler O'Neill",0,7,7
start,kniza001,"Andrew Knizner",0,8,2
start,edmat001,"Tommy Edman",0,9,4
start,mikom001,"Miles Mikolas",0,0,1
start,wadel001,"LaMonte Wade Jr.",1,1,7
start,estrt001,"Thairo Estrada",1,2,4
start,pedej001,"Joc Pederson",1,3,10
start,confm001,"Michael Conforto",1,4,9
start,florw001,"Wilmer Flores",1,5,3
start,yastm001,"Mike Yastrzemski",1,6,8
start,sabob001,"Blake Sabol",1,7,2
start,villd001,"David Villar",1,8,5
start,crawb001,"Brandon Crawford",1,9,6
start,webbl001,"Logan Webb",1,0,1
play,1,0,nootl001,02,CCFS,K
play,1,0,goldp001,10,BX,8/F89XD
play,1,0,gormn001,32,BBFBSS,K
play,1,1,wadel001,22,FBCBC,K
play,1,1,estrt001,22,BFBFX,S9/L9
play,1,1,pedej001,01,FN,SB2
play,1,1,pedej001,12,FN.CBFFX,7/F78S
play,1,1,confm001,02,CFX,43/G4
play,2,0,arenn001,22,CBBFF.X,S7/L78D
play,2,0,burla001,21,BF*BX,3(B)3(1)/GDP/G34
play,2,0,dejop001,21,BFBX,63/G6D
play,2,1,florw001,32,SBBFFBB,W
play,2,1,yastm001,12,BC1FC,K
play,2,1,sabob001,02,FFC,K
play,2,1,villd001,01,CX,9/F9D
play,3,0,oneit001,11,CBX,43/G4
play,3,0,kniza001,00,X,S8/G6+
play,3,0,edmat001,02,CFF.S,K
play,3,0,nootl001,01,CX,S6/G4.1-2
play,3,0,goldp001,31,B*BCBB,W.2-3;1-2
play,3,0,gormn001,32,BSFBFB>S,K
play,3,1,crawb001,00,X,7/F7LF/FL
play,3,1,wadel001,22,BCBCFX,63/G6M
play,3,1,estrt001,01,FH,HP
play,3,1,pedej001,11,1BF1X,4/P4
play,4,0,arenn001,02,CSS,K
play,4,0,burla001,00,X,13/G13
play,4,0,dejop001,22,CBS.BX,43/G6MD
play,4,1,confm001,11,SBX,43/G34
play,4,1,florw001,12,CBFF.FS,K
play,4,1,yastm001,01,CX,9/F9
play,5,0,oneit001,22,SCF.FBBX,8/F89XD+
play,5,0,kniza001,12,CF.BX,3/P34
play,5,0,edmat001,01,CX,43/G34
play,5,1,sabob001,01,FX,4/P9S
play,5,1,villd001,00,X,S9/L9+
play,5,1,crawb001,10,*BX,S8/G4.1-3
play,5,1,wadel001,00,>B,SB2
play,5,1,wadel001,31,>B.FB*BB,W
play,5,1,estrt001,01,FX,2(3)/FO/G2-.2-3;1-2;B-1
play,5,1,pedej001,00,X,9/L9D+
play,6,0,nootl001,02,FFS,K
play,6,0,goldp001,00,X,9/L9D+
play,6,0,gormn001,12,CCBS,K
play,6,1,confm001,32,CS.BBBX,13/G1S
play,6,1,florw001,22,CCBBX,4/P8S
play,6,1,yastm001,21,.BCBX,D9/L9D+
play,6,1,sabob001,22,FS.BBS,K
play,7,0,arenn001,12,FCBX,63/G6D
play,7,0,burla001,22,CFBBX,HR/F9D
play,7,0,dejop001,12,BFSX,S9/G34
play,7,0,oneit001,32,BFBBFFX,S9/L9.1-2
play,7,0,kniza001,10,*BX,7/F78XD.2-3;1-2
play,7,0,edmat001,01,CX,S4/G4.3-H;2-3
com,"$Cardinals challenged (play at 1st), call on the field was overturned."
play,7,0,nootl001,00,,NP
sub,brebj001,"John Brebbia",1,0,1
play,7,0,nootl001,12,.CBF>B,SB2
play,7,0,nootl001,22,.CBF>B.X,8/F8
play,7,1,villd001,00,,NP
sub,nootl001,"Lars Nootbaar",0,1,9
play,7,1,villd001,00,.,NP
sub,carld002,"Dylan Carlson",0,5,8
play,7,1,villd001,12,..CBC*S,K
play,7,1,crawb001,00,,NP
