id,WAS202306210
version,2
info,visteam,SLN
info,hometeam,WAS
info,site,WAS11
info,date,2023/06/21
info,number,0
info,gametype,regular
info,starttime,4:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacce901
info,ump1b,eddid901
info,ump2b,estam901
info,ump3b,walsb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/04 09:04:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,tritb701
info,temp,64
info,winddir,fromrf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,132
info,attendance,16191
info,wp,willt002
info,lp,mikom001
info,save,harvh001
start,donob001,"Brendan Donovan",0,1,5
start,goldp001,"Paul Goldschmidt",0,2,3
start,nootl001,"Lars Nootbaar",0,3,7
start,arenn001,"Nolan Arenado",0,4,10
start,contw001,"Willson Contreras",0,5,2
start,gormn001,"Nolan Gorman",0,6,4
start,carld002,"Dylan Carlson",0,7,9
start,dejop001,"Paul DeJong",0,8,6
start,edmat001,"Tommy Edman",0,9,8
start,mikom001,"Miles Mikolas",0,0,1
start,thoml002,"Lane Thomas",1,1,9
start,garcl006,"Luis Garcia",1,2,4
start,candj002,"Jeimer Candelario",1,3,5
start,menej001,"Joey Meneses",1,4,10
start,dickc002,"Corey Dickerson",1,5,7
start,ruizk001,"Keibert Ruiz",1,6,2
start,smitd008,"Dominic Smith",1,7,3
start,hilld002,"Derek Hill",1,8,8
start,abrac001,"CJ Abrams",1,9,6
start,willt002,"Trevor Williams",1,0,1
play,1,0,donob001,10,BX,3/L34
play,1,0,goldp001,02,CFX,31/G3
play,1,0,nootl001,32,BCCBBX,D8/L8XD+
play,1,0,arenn001,32,CB*BBST,K
play,1,1,thoml002,12,CBCX,8/F8XD+
play,1,1,garcl006,02,CCX,8/F8
play,1,1,candj002,22,CBBS.X,7/F7
play,2,0,contw001,22,BBFF.X,9/L9D+
play,2,0,gormn001,12,CBCX,63/G6M
play,2,0,carld002,01,CX,31/G3
play,2,1,menej001,11,CBX,53/G56
play,2,1,dickc002,01,FX,3/L34D
play,2,1,ruizk001,02,CFC,K
play,3,0,dejop001,02,CCFS,K
play,3,0,edmat001,11,BFX,4/F89S
play,3,0,donob001,31,CBBBX,S8/G4M
play,3,0,goldp001,02,CTX,3/G34S
play,3,1,smitd008,12,BSFX,7/L7
play,3,1,hilld002,02,CC.X,S6/G56
play,3,1,abrac001,11,FB+1X,S6/G6.1-2
play,3,1,thoml002,12,FFBFS,K
play,3,1,garcl006,11,FBX,43/G4
play,4,0,nootl001,20,BBX,7/F7D
play,4,0,arenn001,02,SSX,S5/G5
play,4,0,contw001,01,FX,64(1)3/GDP/G6
play,4,1,candj002,01,CX,43/G4
play,4,1,menej001,31,BSBBB,W
play,4,1,dickc002,12,FT.B*S,K
play,4,1,ruizk001,01,FX,7/F78S
play,5,0,gormn001,00,X,7/F7S
play,5,0,carld002,11,CBX,S9/L89S.BX2(96)
play,5,0,dejop001,12,CFBS,K
play,5,1,smitd008,12,TBFFX,7/F7D
play,5,1,hilld002,32,CBBFFBX,8/L8
play,5,1,abrac001,10,BX,HR/F78XD
play,5,1,thoml002,01,CX,S7/G56
play,5,1,garcl006,01,C>B,CS2(26)
play,6,0,edmat001,00,X,3/G3
play,6,0,donob001,21,CVBX,7/F7
play,6,0,goldp001,32,CBCBFBS,K
play,6,1,garcl006,22,FFBFBFFX,D8/L78XD+
play,6,1,candj002,01,CX,D8/L8D.2-H;BX3(845)
play,6,1,menej001,21,CBBX,7/F7
play,6,1,dickc002,02,CFX,7/L7
play,7,0,nootl001,31,FBBBX,S9/G4
play,7,0,arenn001,00,,NP
sub,thomm005,"Mason Thompson",1,0,1
play,7,0,arenn001,31,.CBBBB,W.1-2
play,7,0,contw001,22,BBCCX,13/G23.2-3;1-2
play,7,0,gormn001,22,CBFFBC,K
play,7,0,carld002,00,,NP
sub,finnk001,"Kyle Finnegan",1,0,1
play,7,0,carld002,31,.CBBBX,63/G6
play,7,1,ruizk001,10,BX,4/L34+
play,7,1,smitd008,01,CX,S7/L78D
play,7,1,hilld002,32,LBFBB>F1X,6/L6
play,7,1,abrac001,21,BCBX,S12/G23.1-2
play,7,1,thoml002,32,FBBC.B>X,6/P4MS
play,8,0,dejop001,00,,NP
sub,garrs003,"Stone Garrett",1,5,7
play,8,0,dejop001,22,.CFBBX,3/P34S
badj,edmat001,R
play,8,0,edmat001,10,BX,S8/L8D
play,8,0,donob001,32,BBBCFB,W.1-2
play,8,0,goldp001,00,X,6/P6M-
play,8,0,nootl001,32,BCBFB>X,43/G34
play,8,1,garcl006,00,,NP
