id,CHN202305100
version,2
info,visteam,SLN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/10
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,may-b901
info,ump1b,nelsj901
info,ump2b,bakej902
info,ump3b,willr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/12 09:02:25
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,65
info,winddir,fromrf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,151
info,attendance,36413
info,wp,steej002
info,lp,montj004
info,save,
start,edmat001,"Tommy Edman",0,1,4
start,goldp001,"Paul Goldschmidt",0,2,3
start,contw001,"Willson Contreras",0,3,10
start,arenn001,"Nolan Arenado",0,4,5
start,carld002,"Dylan Carlson",0,5,8
start,yepej001,"Juan Yepez",0,6,7
start,dejop001,"Paul DeJong",0,7,6
start,nootl001,"Lars Nootbaar",0,8,9
start,kniza001,"Andrew Knizner",0,9,2
start,montj004,"Jordan Montgomery",0,0,1
start,madrn001,"Nick Madrigal",1,1,4
start,swand001,"Dansby Swanson",1,2,6
start,happi001,"Ian Happ",1,3,7
start,suzus001,"Seiya Suzuki",1,4,9
start,wisdp001,"Patrick Wisdom",1,5,5
start,bellc002,"Cody Bellinger",1,6,8
start,manct001,"Trey Mancini",1,7,3
start,gomey001,"Yan Gomes",1,8,2
start,morec001,"Christopher Morel",1,9,10
start,steej002,"Justin Steele",1,0,1
play,1,0,edmat001,10,BX,63/G6
play,1,0,goldp001,11,FBX,S7/L7L
play,1,0,contw001,00,X,7/L78D
play,1,0,arenn001,10,BX,T9/L89D.1-H
play,1,0,carld002,00,X,31/G34
play,1,1,madrn001,10,BX,43/G4
play,1,1,swand001,02,FC.FX,7/F7D
play,1,1,happi001,12,BCFFX,2/P2F/FL
play,2,0,yepej001,10,BX,43/G4
play,2,0,dejop001,12,CBS.S,K
play,2,0,nootl001,32,CBBFF.BX,63/G4M
play,2,1,suzus001,20,BBX,63/G6
play,2,1,wisdp001,31,BCBBX,8/F89XD+
play,2,1,bellc002,22,CBCBX,S3/G34
play,2,1,manct001,32,BBFS1B>B,W.1-2
play,2,1,gomey001,31,BSBBB,W.2-3;1-2
play,2,1,morec001,12,BFFC,K
play,3,0,kniza001,12,.CBFX,S6/G56
play,3,0,edmat001,10,BX,3/SH/BG3S-.1-2
play,3,0,goldp001,32,BSBBT.C,K
play,3,0,contw001,00,X,S9/G34.2-H
play,3,0,arenn001,32,*BFCF*BB.>B,W.1-2
play,3,0,carld002,00,X,63/G6
play,3,1,madrn001,01,C.X,9/L9L
play,3,1,swand001,10,BX,DGR/L7L
play,3,1,happi001,10,BX,13/G4MS
play,3,1,suzus001,32,CBFBBFX,D9/L9L.2-H
play,3,1,wisdp001,20,BBX,HR/F78XD.2-H
play,3,1,bellc002,02,CF.S,K
play,4,0,yepej001,10,BX,S7/F78S
play,4,0,dejop001,00,X,4/F34D
play,4,0,nootl001,32,CF*BBFBFB,W.1-2
play,4,0,kniza001,00,X,9/L89
play,4,0,edmat001,01,FX,5/P56
play,4,1,manct001,32,CBBFB*B,W
play,4,1,gomey001,00,X,HR/F7D.1-H
play,4,1,morec001,21,BCBX,9/F9L
play,4,1,madrn001,02,CC.X,13/G1S
play,4,1,swand001,12,CBFS,K
play,5,0,goldp001,11,BCX,63/G6
play,5,0,contw001,12,FFFBS,K
play,5,0,arenn001,32,BCBFFFB.FX,6/P6
play,5,1,happi001,12,FBFX,D7/L7LD+
play,5,1,suzus001,12,CFBX,S7/L7D+.2-3
play,5,1,wisdp001,01,FX,64(1)3/GDP/G6.3-H(NR)
play,5,1,bellc002,01,FX,3/P3F/FL
play,6,0,carld002,01,CX,9/F34D
play,6,0,yepej001,31,C.BBBB,W
play,6,0,dejop001,12,CBFX,S7/L7S.1-2
play,6,0,nootl001,22,CFBBX,S8/L8+.2-H;1-2
play,6,0,kniza001,00,X,64(1)3/GDP/G6
play,6,1,manct001,00,,NP
sub,verhd001,"Drew VerHagen",0,0,1
play,6,1,manct001,00,.X,S9/L89D+
play,6,1,gomey001,12,CS.BX,S7/F7.1-2
play,6,1,morec001,10,BX,D9/L89XD.2-H;1-3
play,6,1,madrn001,11,CBX,FC/G6.3XH(62);2-3;B-1
play,6,1,swand001,00,.X,D7/L7LS.3-H;1-H
play,6,1,happi001,21,BCBX,7/F7LS
play,6,1,suzus001,32,BBBCFFFFFB,W
play,6,1,wisdp001,01,SX,5/P56S
play,7,0,edmat001,00,,NP
sub,fulmm001,"Michael Fulmer",1,0,1
play,7,0,edmat001,01,.CX,43/G4
play,7,0,goldp001,10,BX,63/G6
play,7,0,contw001,12,CBCS,K
play,7,1,bellc002,00,,NP
sub,nailj001,"James Naile",0,0,1
play,7,1,bellc002,22,.CBBFX,41/G34
play,7,1,manct001,32,FBBS.BB,W
play,7,1,gomey001,00,X,S6/G56.1-2
play,7,1,morec001,11,SBX,S8/G6M.2-H;1-2
play,7,1,madrn001,12,CCBFFFFX,5(2)3/GDP/G56
play,8,0,arenn001,00,,NP
sub,boxbb001,"Brad Boxberger",1,0,1
play,8,0,arenn001,02,.CCFS,K.BX1(23)
play,8,0,carld002,11,FBX,63/G6
play,8,0,yepej001,00,,NP
sub,burla001,"Alec Burleson",0,6,11
play,8,0,burla001,01,.TX,8/L78D
play,8,1,swand001,00,,NP
sub,donob001,"Brendan Donovan",0,2,3
play,8,1,swand001,00,.,NP
sub,burla001,"Alec Burleson",0,6,7
play,8,1,swand001,01,..CX,63/G6D
play,8,1,happi001,01,CX,S9/G34
play,8,1,suzus001,22,CCBBX,64(1)/FO/G6MS.B-1
play,8,1,wisdp001,32,BS*BBF>B,W.1-2
play,8,1,bellc002,01,SX,23/G2
play,9,0,dejop001,00,,NP
sub,thomk002,"Keegan Thompson",1,0,1
play,9,0,dejop001,22,.CBFBX,S9/G3+
play,9,0,nootl001,12,CCBX,31/G34.1-2
play,9,0,kniza001,10,BX,3/G3S-.2-3
play,9,0,edmat001,00,X,S8/L89+.3-H
play,9,0,donob001,01,F>B,DI.1-2
play,9,0,donob001,11,F>B.X,S9/L9+.2-3
play,9,0,contw001,20,B*B>B,DI.1-2
play,9,0,contw001,30,B*B>B.B,W
play,9,0,arenn001,21,BBFX,4/P4D
data,er,nailj001,1
data,er,verhd001,3
data,er,montj004,6
