id,SLN202304020
version,2
info,visteam,TOR
info,hometeam,SLN
info,site,STL10
info,date,2023/04/02
info,number,0
info,gametype,regular
info,starttime,1:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,becka901
info,ump2b,iassd901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,63
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,149
info,attendance,45525
info,wp,montj004
info,lp,bassc001
info,save,
start,sprig001,"George Springer",0,1,9
start,bichb001,"Bo Bichette",0,2,6
start,guerv002,"Vladimir Guerrero Jr.",0,3,3
start,varsd001,"Daulton Varsho",0,4,8
start,kirka001,"Alejandro Kirk",0,5,10
start,chapm001,"Matt Chapman",0,6,5
start,merrw001,"Whit Merrifield",0,7,7
start,jansd001,"Danny Jansen",0,8,2
start,espis001,"Santiago Espinal",0,9,4
start,bassc001,"Chris Bassitt",0,0,1
start,donob001,"Brendan Donovan",1,1,4
start,burla001,"Alec Burleson",1,2,7
start,goldp001,"Paul Goldschmidt",1,3,3
start,arenn001,"Nolan Arenado",1,4,5
start,contw001,"Willson Contreras",1,5,2
start,gormn001,"Nolan Gorman",1,6,10
start,walkj003,"Jordan Walker",1,7,9
start,carld002,"Dylan Carlson",1,8,8
start,edmat001,"Tommy Edman",1,9,6
start,montj004,"Jordan Montgomery",1,0,1
play,1,0,sprig001,02,CCX,3/P3F/FL
play,1,0,bichb001,22,BFBFX,7/F78D
play,1,0,guerv002,01,CX,8/F8XD+
play,1,1,donob001,00,X,HR/F9D
play,1,1,burla001,01,SX,HR/F7D
play,1,1,goldp001,21,BBCX,S7/L7+
play,1,1,arenn001,22,CB*BF.X,46(1)3/GDP/G4S
play,1,1,contw001,00,X,S8/L8D
play,1,1,gormn001,00,1X,HR/F89XD.1-H
play,1,1,walkj003,01,FX,4/L4MD
play,2,0,varsd001,12,CCBFX,S7/L7S
play,2,0,kirka001,11,BF>B,SB2
play,2,0,kirka001,32,BF>B.BCB,W
play,2,0,chapm001,10,BX,D7/L78XD+.2-H;1-3
play,2,0,merrw001,00,X,8/SF/L8D+.3-H;2-3
play,2,0,jansd001,01,CX,S9/G34.3-H
play,2,0,espis001,00,X,8/L8D+
play,2,0,sprig001,11,FBX,3/P3
play,2,1,carld002,11,BCX,13/G1
play,2,1,edmat001,10,BX,31/G34
play,2,1,donob001,01,CX,9/F9D
play,3,0,bichb001,00,X,3/G34
play,3,0,guerv002,12,BFFFX,63/G6S
play,3,0,varsd001,32,LBFFBB.X,S7/L7
play,3,0,kirka001,32,BC1F*BB>X,S15/G56S+.1-2
play,3,0,chapm001,32,BFCBF*B>X,9/F9D
play,3,1,burla001,20,BBX,D7/F78S
play,3,1,goldp001,32,*BFBBFFX,9/L9D+.2-3
play,3,1,arenn001,01,FX,S7/L7+.3-H
play,3,1,contw001,01,FX,8/F89XD+
play,3,1,gormn001,22,BCBSX,HR/F89XD.1-H
play,3,1,walkj003,12,FCBX,13/G1S-
play,4,0,merrw001,22,CBBT*S,K
play,4,0,jansd001,32,CFBBBF*S,K
play,4,0,espis001,21,CBBX,43/G4M
play,4,1,carld002,22,FSBBX,S8/L8+
play,4,1,edmat001,21,BB*SX,S9/G34+.1-3
play,4,1,donob001,00,>B,SB2
play,4,1,donob001,10,>B.X,8/SF/F78XD.3-H;2-3
play,4,1,burla001,00,,NP
sub,pop-z001,"Zach Pop",0,0,1
play,4,1,burla001,00,.X,D8/L89+.3-H
play,4,1,goldp001,00,B,WP.2-3
play,4,1,goldp001,30,B.*BBB,W
play,4,1,arenn001,10,*BX,64(1)3/GDP/G6
play,5,0,sprig001,02,FFX,63/G6M
play,5,0,bichb001,22,BBFTX,43/G4D+
play,5,0,guerv002,11,BFX,D8/L78XD+
play,5,0,varsd001,32,BSC*BBFFS,K
play,5,1,contw001,00,,NP
sub,richt001,"Trevor Richards",0,0,1
play,5,1,contw001,10,.BX,D9/F9LD
play,5,1,gormn001,32,CCBF>FBBS,K
play,5,1,walkj003,11,BSH,HP
play,5,1,carld002,22,CBCBX,S6/G6S.2-3;1-2
play,5,1,edmat001,12,S*BSS,K
play,5,1,donob001,12,CSBS,K
play,6,0,kirka001,00,,NP
sub,strac001,"Chris Stratton",1,0,1
play,6,0,kirka001,22,.BCS.FFBS,K
play,6,0,chapm001,11,BFX,D7/G56+
play,6,0,merrw001,00,X,S9/F9S.2-H
play,6,0,jansd001,02,SSX,9/F9
play,6,0,espis001,31,BCBBX,53/G56
play,6,1,burla001,11,CBX,9/F89XD
play,6,1,goldp001,01,FX,9/F9LS
play,6,1,arenn001,30,BBBB,W
play,6,1,contw001,01,CX,53/G56S+
play,7,0,sprig001,11,CBX,9/F9
play,7,0,bichb001,20,BBX,S7/L7D+
play,7,0,guerv002,32,BFFBB1X,8/L78XD
play,7,0,varsd001,00,,NP
sub,naugp001,"Packy Naughton",1,0,1
play,7,0,varsd001,22,.BBCS*S,K
play,7,1,gormn001,00,,NP
sub,bassa001,"Anthony Bass",0,0,1
play,7,1,gormn001,01,.FX,43/G4
play,7,1,walkj003,20,BBX,D7/L7D+
play,7,1,carld002,11,T*BX,S9/L89.2-3
play,7,1,edmat001,11,C*BX,46(1)3/GDP/G34
