Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,martk001,22,BSBFS,K
play,1,1,kennb002,32,BSBFBB,W
play,1,1,phamt001,22,BCBSX,64(1)3/GDP/G6+
play,2,1,walkc002,22,CS.BBS,K
play,2,1,gurrl001,21,F.BBX,8/L8XD+
play,2,1,longe001,11,CBX,13/G1S-
play,3,1,moreg001,12,CBS.X,63/G6
play,3,1,ahmen001,21,BSBX,63/G6MS
play,3,1,thoma004,00,X,3/G3
play,4,1,martk001,12,BSCX,S8/L8
play,4,1,kennb002,22,CF*BBFS,K
play,4,1,phamt001,01,SB,PB.1-2
play,4,1,phamt001,11,SB.X,8/F8D.2-3
play,4,1,walkc002,10,BX,8/F1S+
play,5,1,gurrl001,12,CBFX,S8/L8S
play,5,1,longe001,12,FCBS,K
play,5,1,moreg001,00,X,64(1)3/GDP/G6+
play,6,1,ahmen001,11,FBX,4/P4
play,6,1,thoma004,00,X,S68/L8S+
play,6,1,martk001,30,B1BBX,9/L9D+
play,6,1,kennb002,00,X,8/L8XD
play,7,1,phamt001,00,,NP
play,7,1,phamt001,22,.BBCFS,K
play,7,1,walkc002,32,SCBFBBX,63/G6
play,7,1,gurrl001,00,X,43/G4
play,8,1,longe001,00,X,S9/L89
play,8,1,moreg001,00,,NP
play,8,1,moreg001,12,.*BC1FX,64(1)3/GDP/G6
play,8,1,ahmen001,12,BSF*S,K.BX1(23)
play,9,1,thoma004,00,,NP
