Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,madrn001,10,BX,43/G4
play,1,1,swand001,02,FC.FX,7/F7D
play,1,1,happi001,12,BCFFX,2/P2F/FL
play,2,1,suzus001,20,BBX,63/G6
play,2,1,wisdp001,31,BCBBX,8/F89XD+
play,2,1,bellc002,22,CBCBX,S3/G34
play,2,1,manct001,32,BBFS1B>B,W.1-2
play,2,1,gomey001,31,BSBBB,W.2-3;1-2
play,2,1,morec001,12,BFFC,K
play,3,1,madrn001,01,C.X,9/L9L
play,3,1,swand001,10,BX,DGR/L7L
play,3,1,happi001,10,BX,13/G4MS
play,3,1,suzus001,32,CBFBBFX,D9/L9L.2-H
play,3,1,wisdp001,20,BBX,HR/F78XD.2-H
play,3,1,bellc002,02,CF.S,K
play,4,1,manct001,32,CBBFB*B,W
play,4,1,gomey001,00,X,HR/F7D.1-H
play,4,1,morec001,21,BCBX,9/F9L
play,4,1,madrn001,02,CC.X,13/G1S
play,4,1,swand001,12,CBFS,K
play,5,1,happi001,12,FBFX,D7/L7LD+
play,5,1,suzus001,12,CFBX,S7/L7D+.2-3
play,5,1,wisdp001,01,FX,64(1)3/GDP/G6.3-H(NR)
play,5,1,bellc002,01,FX,3/P3F/FL
play,6,1,manct001,00,,NP
play,1,1,hoern001,22,BBCFX,6/P6S
play,1,1,suzus001,32,BBSSBX,43/G4MD
play,1,1,happi001,21,CBBX,E1/G1S-.B-1
play,1,1,bellc002,11,BCX,HR/F8XD.1-H(UR);B-H(UR)
play,1,1,swand001,22,BCFBX,8/F89D
play,2,1,gomey001,21,BBCX,3/P3F/FL
play,2,1,manct001,02,FSX,7/L7D
play,2,1,amaym001,01,TX,3/P34
play,3,1,wisdp001,32,BSFBBB,W
play,3,1,hoern001,00,>C,SB2
play,3,1,hoern001,01,>C.X,9/F9S
play,3,1,suzus001,32,CBBBFB,W
play,3,1,happi001,01,MX,S9/L9S.2-3;1-2
play,3,1,bellc002,01,CX,8/SF/F89D.3-H;2-3
play,3,1,swand001,12,S*BSX,S8/L8.3-H;1-2
play,3,1,gomey001,02,FFX,D7/L78D.2-H;1-H
play,3,1,manct001,10,BX,D7/G5.2-H
play,3,1,amaym001,00,X,31/G34-
play,4,1,wisdp001,22,CBC.BT,K
play,4,1,hoern001,21,BCBX,D8/L8D+
play,4,1,suzus001,10,*BX,53/G5+
play,4,1,happi001,00,X,3/G3S-
play,5,1,bellc002,02,F.FC,K
play,5,1,swand001,32,BBBCFS,K
play,5,1,gomey001,00,X,9/L9
play,6,1,manct001,00,X,7/F78XD+
play,6,1,amaym001,12,CCFBH,HP
play,6,1,wisdp001,02,SFB,WP.1-2
play,6,1,wisdp001,32,SFB.BBS,K
play,6,1,hoern001,21,B.*BFX,63/G6+
play,7,1,suzus001,00,,NP
play,7,1,suzus001,00,.,NP
