Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,solad001,12,SFBFS,K
play,1,1,polaj001,12,BSFX,5/L5
play,1,1,luplj001,01,TX,9/F9
play,2,1,corrc001,01,CX,7/F7L
play,2,1,lewir003,22,SS.BFBFT,K
play,2,1,jeffr002,12,BCF.C,K
play,3,1,farmk001,02,CCX,9/L89D
play,3,1,wallm001,00,X,6/L6MD
play,3,1,taylm002,32,.SBFBBX,9/F9
play,4,1,solad001,22,CBBTX,8/F8XD
play,4,1,polaj001,10,BX,S9/F9S
play,4,1,luplj001,01,CX,9/F9LS
play,4,1,corrc001,22,CBFF*BX,3/P3SF/FL
play,5,1,lewir003,22,TBBS.X,53/G56
play,5,1,jeffr002,31,BSBBB,W
play,5,1,farmk001,00,X,S9/L89D.1-2
play,5,1,wallm001,10,BX,9/F9LD.2-3
play,5,1,taylm002,32,BCBC.B>S,K
play,6,1,solad001,32,BSFBBX,S7/G56+
play,6,1,polaj001,22,CBSBX,S8/L8D.1-2
play,6,1,luplj001,32,BCF*BBX,9/F9
play,6,1,corrc001,32,*BFC*BB.B,W.2-3;1-2
play,6,1,lewir003,00,,NP
