id,ARI202308210
version,2
info,visteam,TEX
info,hometeam,ARI
info,site,PHO01
info,date,2023/08/21
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,eddid901
info,ump1b,marqa901
info,ump2b,wolcq901
info,ump3b,willr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/08 09:03:03
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnj701
info,temp,77
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,173
info,attendance,21829
info,wp,ginkk001
info,lp,smitw002
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,9
start,garvm001,"Mitch Garver",0,5,10
start,grosr001,"Robbie Grossman",0,6,7
start,heimj001,"Jonah Heim",0,7,2
start,durae002,"Ezequiel Duran",0,8,5
start,tavel001,"Leody Taveras",0,9,8
start,montj004,"Jordan Montgomery",0,0,1
start,martk001,"Ketel Marte",1,1,4
start,kennb002,"Buddy Kennedy",1,2,5
start,phamt001,"Tommy Pham",1,3,9
start,walkc002,"Christian Walker",1,4,3
start,gurrl001,"Lourdes Gurriel Jr.",1,5,7
start,longe001,"Evan Longoria",1,6,10
start,moreg001,"Gabriel Moreno",1,7,2
start,ahmen001,"Nick Ahmed",1,8,6
start,thoma004,"Alek Thomas",1,9,8
start,mantj002,"Joe Mantiply",1,0,1
play,1,0,semim001,01,FX,S7/L7
play,1,0,seagc001,00,X,46(1)/FO/G34.B-1
play,1,0,lowen001,10,BX,46(1)/FO/G34.B-1
play,1,0,garca005,00,,NP
sub,mcgos001,"Scott McGough",1,0,1
play,1,0,garca005,12,.CCBS,K
play,1,1,martk001,22,BSBFS,K
play,1,1,kennb002,32,BSBFBB,W
play,1,1,phamt001,22,BCBSX,64(1)3/GDP/G6+
play,2,0,garvm001,22,CS.BBFS,K
play,2,0,grosr001,22,BBCC.S,K
play,2,0,heimj001,32,FFBFBBF.X,7/F78
play,2,1,walkc002,22,CS.BBS,K
play,2,1,gurrl001,21,F.BBX,8/L8XD+
play,2,1,longe001,11,CBX,13/G1S-
play,3,0,durae002,00,,NP
sub,ceccs001,"Slade Cecconi",1,0,1
play,3,0,durae002,01,.CX,9/L9
play,3,0,tavel001,32,SS.BFFBFFBFX,D9/L9L+
play,3,0,semim001,11,SBX,S7/G56+.2-3
play,3,0,seagc001,02,CF.F1*S,K
play,3,0,lowen001,01,F>B,SB2
play,3,0,lowen001,21,F>B.BX,8/L8D
play,3,1,moreg001,12,CBS.X,63/G6
play,3,1,ahmen001,21,BSBX,63/G6MS
play,3,1,thoma004,00,X,3/G3
play,4,0,garca005,12,FBSS,K
play,4,0,garvm001,22,CBCBFX,43/G4+
play,4,0,grosr001,01,CX,9/F9D
play,4,1,martk001,12,BSCX,S8/L8
play,4,1,kennb002,22,CF*BBFS,K
play,4,1,phamt001,01,SB,PB.1-2
play,4,1,phamt001,11,SB.X,8/F8D.2-3
play,4,1,walkc002,10,BX,8/F1S+
play,5,0,heimj001,00,X,6/F4MD
play,5,0,durae002,12,CBCX,31/G34-
play,5,0,tavel001,02,CFX,43/G34+
play,5,1,gurrl001,12,CBFX,S8/L8S
play,5,1,longe001,12,FCBS,K
play,5,1,moreg001,00,X,64(1)3/GDP/G6+
play,6,0,semim001,21,BCBX,7/F78XD
play,6,0,seagc001,00,X,43/G34
play,6,0,lowen001,11,CBX,63/G6M
play,6,1,ahmen001,11,FBX,4/P4
play,6,1,thoma004,00,X,S68/L8S+
play,6,1,martk001,30,B1BBX,9/L9D+
play,6,1,kennb002,00,X,8/L8XD
play,7,0,garca005,21,CBBX,HR/F8XD
play,7,0,garvm001,22,CBC.FBFX,8/F8S
play,7,0,grosr001,22,CBFBFX,8/F8
play,7,0,heimj001,21,BCBX,7/F7S
play,7,1,phamt001,00,,NP
sub,jankt001,"Travis Jankowski",0,6,7
play,7,1,phamt001,22,.BBCFS,K
play,7,1,walkc002,32,SCBFBBX,63/G6
play,7,1,gurrl001,00,X,43/G4
play,8,0,durae002,00,,NP
sub,martj011,"Justin Martinez",1,0,1
play,8,0,durae002,22,.SBSB.S,K
play,8,0,tavel001,31,BBBCB,W
play,8,0,semim001,12,BCCF1,PO1(E1/TH).1-3
play,8,0,semim001,12,BCCF1.C,K
play,8,0,seagc001,02,S*SX,7/F7LD
play,8,1,longe001,00,X,S9/L89
play,8,1,moreg001,00,,NP
sub,petej002,"Jace Peterson",1,6,12
play,8,1,moreg001,12,.*BC1FX,64(1)3/GDP/G6
play,8,1,ahmen001,12,BSF*S,K.BX1(23)
play,9,0,lowen001,00,.,NP
sub,castm002,"Miguel Castro",1,0,1
play,9,0,lowen001,02,..CFX,7/F7S
play,9,0,garca005,02,CCX,6/L78S+
play,9,0,garvm001,21,CBBX,43/G4MD
play,9,1,thoma004,00,,NP
