id,TOR202308120
version,2
info,visteam,CHN
info,hometeam,TOR
info,site,TOR02
info,date,2023/08/12
info,number,0
info,gametype,regular
info,starttime,3:07PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,tomln901
info,ump2b,onorb901
info,ump3b,hobep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/07 09:04:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,moreh701
info,temp,77
info,winddir,tocf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,166
info,attendance,42585
info,wp,merrj001
info,lp,hickj002
info,save,alzoa001
start,taucm001,"Mike Tauchman",0,1,8
start,hoern001,"Nico Hoerner",0,2,4
start,happi001,"Ian Happ",0,3,7
start,bellc002,"Cody Bellinger",0,4,3
start,swand001,"Dansby Swanson",0,5,6
start,morec001,"Christopher Morel",0,6,10
start,candj002,"Jeimer Candelario",0,7,5
start,suzus001,"Seiya Suzuki",0,8,9
start,gomey001,"Yan Gomes",0,9,2
start,steej002,"Justin Steele",0,0,1
start,merrw001,"Whit Merrifield",1,1,7
start,sprig001,"George Springer",1,2,10
start,guerv002,"Vladimir Guerrero Jr.",1,3,3
start,chapm001,"Matt Chapman",1,4,5
start,schnd001,"Davis Schneider",1,5,4
start,kirka001,"Alejandro Kirk",1,6,2
start,biggc002,"Cavan Biggio",1,7,9
start,espis001,"Santiago Espinal",1,8,6
start,varsd001,"Daulton Varsho",1,9,8
start,bassc001,"Chris Bassitt",1,0,1
play,1,0,taucm001,02,CCS,K
play,1,0,hoern001,22,FFBBX,S7/L78
play,1,0,happi001,32,1FBBBF>F>F>X,8/F78XD
play,1,0,bellc002,12,BFCFFX,7/F7LSF/FL
play,1,1,merrw001,22,BFFB*S,K
play,1,1,sprig001,21,BCBX,S9/F9LS
play,1,1,guerv002,22,CBF*BS,K
play,1,1,chapm001,10,BX,8/F8XD+
play,2,0,swand001,02,FFS,K
play,2,0,morec001,22,BFCBFFS,K
play,2,0,candj002,12,CBFC,K
play,2,1,schnd001,22,BBFSS,K
play,2,1,kirka001,21,BFBX,9/F9LS
play,2,1,biggc002,22,BBSFX,S9/L89D
play,2,1,espis001,22,BBFFX,63/G6
play,3,0,suzus001,11,BCX,63/G6D
play,3,0,gomey001,32,BBBCCFB,W
play,3,0,taucm001,02,CSX,56(1)3/GDP/G56S
play,3,1,varsd001,12,CFBX,D9/L9LD+
play,3,1,merrw001,00,X,8/F8D
play,3,1,sprig001,10,BX,3/P3
play,3,1,guerv002,22,BCBFX,S8/L89.2-H
play,3,1,chapm001,10,BX,5/L5
play,4,0,hoern001,10,BX,D8/L89D+
play,4,0,happi001,30,BBBB,W
play,4,0,bellc002,12,*BCFFFFX,S9/L9D+.2-H;1-3
play,4,0,swand001,01,FX,HR/F7D.3-H;1-H
play,4,0,morec001,02,CSX,7/L7D+
play,4,0,candj002,11,CBX,8/L8D
play,4,0,suzus001,12,BCFFFFX,63/G6+
play,4,1,schnd001,22,CCBBFS,K
play,4,1,kirka001,02,CCX,3/G34
play,4,1,biggc002,22,CBFFFB*S,K
play,5,0,gomey001,22,BFCBC,K
play,5,0,taucm001,11,CBX,5/P5DF/FL
play,5,0,hoern001,12,CFBT,K
play,5,1,espis001,00,X,S7/L78D
play,5,1,varsd001,12,CFBS,K
play,5,1,merrw001,01,SX,HR/F8XD.1-H
play,5,1,sprig001,32,BFFBBX,43/G4
play,5,1,guerv002,22,BFBSF*S,K
play,6,0,happi001,00,X,43/G34
play,6,0,bellc002,21,.BBFX,8/L8XD+
play,6,0,swand001,12,CBF.FX,8/F8D
play,6,1,chapm001,00,,NP
sub,fulmm001,"Michael Fulmer",0,0,1
play,6,1,chapm001,32,.BBBCF.X,6/P6S
play,6,1,schnd001,02,CCX,D9/L9LS
play,6,1,kirka001,32,CBCB*BS,K
play,6,1,biggc002,00,,NP
sub,leitm002,"Mark Leiter Jr.",0,0,1
play,6,1,biggc002,32,.CBBSBB,W
play,6,1,espis001,32,CBB*BC>F>X,DGR/F8XD.2-H;1-3
play,6,1,varsd001,01,CX,9/F89D
play,7,0,morec001,00,,NP
sub,garcy001,"Yimi Garcia",1,0,1
play,7,0,morec001,32,.FSBBBS,K
play,7,0,candj002,32,BBFCBFB,W
play,7,0,suzus001,32,SBBFBFX,S1/G25-.1-2
play,7,0,gomey001,01,CX,54(1)3/GDP/G56
play,7,1,merrw001,00,,NP
sub,cuasj001,"Jose Cuas",0,0,1
play,7,1,merrw001,10,.BX,5/P5SF/FL
play,7,1,sprig001,32,CBFBBB,W
play,7,1,guerv002,00,X,46(1)/FO/G34.B-1
play,7,1,chapm001,12,CCB1>B,CS2(24)
com,"$Blue Jays challenged (tag play), call on the field was upheld."
play,8,0,taucm001,00,,NP
sub,swane001,"Erik Swanson",1,0,1
play,8,0,taucm001,02,.CF.S,K
play,8,0,hoern001,00,X,7/F78XD
play,8,0,happi001,32,BBSCBX,7/F78
play,8,1,chapm001,00,,NP
sub,merrj001,"Julian Merryweather",0,0,1
play,8,1,chapm001,22,.CFBBX,9/F9LD
play,8,1,schnd001,32,SSBBBB,W
play,8,1,kirka001,12,C*BC1*S,K
play,8,1,biggc002,12,C*BCS,K
play,9,0,bellc002,00,,NP
sub,hickj002,"Jordan Hicks",1,0,1
play,9,0,bellc002,01,.CX,DGR/L9LD
play,9,0,swand001,21,CBBX,43/G4M
play,9,0,morec001,11,SBX,D7/L7LD.2-H
play,9,0,candj002,32,BBSBFFS,K
play,9,0,suzus001,01,CX,9/F9LD
play,9,1,espis001,00,,NP
sub,alzoa001,"Adbert Alzolay",0,0,1
play,9,1,espis001,00,.,NP
sub,beltb001,"Brandon Belt",1,8,11
play,9,1,beltb001,12,..SCBC,K
play,9,1,varsd001,22,BFS.BX,31/G3
play,9,1,merrw001,32,FBBBS.X,8/L8D
data,er,alzoa001,0
data,er,cuasj001,0
data,er,leitm002,0
data,er,fulmm001,1
data,er,merrj001,0
data,er,steej002,3
data,er,bassc001,4
data,er,garcy001,0
data,er,swane001,0
data,er,hickj002,1
