Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,hayek001,21,BFBX,53/G5
play,1,1,reynb001,12,BFFX,13/G13
play,1,1,joe-c001,32,FBBBC.FB,W
play,1,1,palaj001,12,BSCS,K
play,2,1,rodre006,32,CCBBBFB,W
play,2,1,caprv001,00,X,FC/SH/BG13.1-2;B-1(E1)
play,2,1,rivaa001,02,CCS,K
play,2,1,willa005,12,FF*BC,K
play,2,1,bae-j001,22,BFFBX,S9/G4.2-H(UR);1-3
play,2,1,hayek001,02,CC>B,SB2
play,2,1,hayek001,32,CC>B.BFBT,K
play,3,1,reynb001,11,BFX,4/P34D
play,3,1,joe-c001,10,BX,S7/G56
play,3,1,palaj001,21,FBBX,HR/F9LD.1-H
play,3,1,rodre006,21,BSBX,7/F7
play,3,1,caprv001,12,CCBS,K
play,4,1,rivaa001,12,FBF.FFFX,7/F7
play,4,1,willa005,00,X,43/G4
play,4,1,bae-j001,22,BTBSFS,K
play,5,1,hayek001,00,X,S8/L8D
play,5,1,reynb001,22,S*BSBX,64(1)3/GDP/G6
play,5,1,joe-c001,00,X,S8/L8
play,5,1,palaj001,02,FSX,7/F7
play,6,1,rodre006,01,FX,53/G5
play,6,1,caprv001,32,BBBCFX,63/G6
play,6,1,rivaa001,11,BCX,D9/L9LD.B-3(E9)
play,6,1,willa005,01,CX,9/F9LD
play,7,1,bae-j001,00,,NP
