id,HOU202305160
version,2
info,visteam,CHN
info,hometeam,HOU
info,site,HOU03
info,date,2023/05/16
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,rackd901
info,ump2b,jimee902
info,ump3b,mosce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,139
info,attendance,34280
info,wp,javic001
info,lp,steej002
info,save,
start,madrn001,"Nick Madrigal",0,1,5
start,swand001,"Dansby Swanson",0,2,6
start,morec001,"Christopher Morel",0,3,8
start,happi001,"Ian Happ",0,4,7
start,suzus001,"Seiya Suzuki",0,5,9
start,mervm001,"Matt Mervis",0,6,3
start,mastm001,"Miles Mastrobuoni",0,7,4
start,hosme001,"Eric Hosmer",0,8,10
start,barnt001,"Tucker Barnhart",0,9,2
start,steej002,"Justin Steele",0,0,1
start,dubom001,"Mauricio Dubon",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,10
start,tuckk001,"Kyle Tucker",1,4,9
start,abrej003,"Jose Abreu",1,5,3
start,penaj004,"Jeremy Pena",1,6,6
start,julkc001,"Corey Julks",1,7,7
start,mccoc001,"Chas McCormick",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,javic001,"Cristian Javier",1,0,1
play,1,0,madrn001,10,BX,5/P5SF/FL
play,1,0,swand001,00,X,6/P4M
play,1,0,morec001,12,BCSS,K
play,1,1,dubom001,01,FX,DGR/L9LD
play,1,1,brega001,10,BX,7/F78D.2-3
play,1,1,alvay001,12,SBFFB,WP.3-H(NR)
play,1,1,alvay001,22,SBFFB.F*S,K.BX1(23)
play,1,1,tuckk001,32,CBBFBX,8/F8XD
play,2,0,happi001,22,CBCBFX,143/G1
play,2,0,suzus001,32,CBSBBS,K
play,2,0,mervm001,10,BX,HR/L9LD
play,2,0,mastm001,10,BX,6/P6MD
play,2,1,abrej003,00,X,31/G34
play,2,1,penaj004,22,BBCS.S,K
play,2,1,julkc001,32,FCBFBBX,53/G5
play,3,0,hosme001,31,BFBBX,7/F7S
play,3,0,barnt001,32,CFBBBB,W
play,3,0,madrn001,21,BBCX,9/F9D
play,3,0,swand001,32,CBBBF>X,63/G6
play,3,1,mccoc001,10,BX,6/L6D
play,3,1,maldm001,12,CCBS,K
play,3,1,dubom001,00,X,63/G6
play,4,0,morec001,12,FCBS,K
play,4,0,happi001,00,X,9/F34D
play,4,0,suzus001,12,CFBX,8/F8D
play,4,1,brega001,11,BCH,HP
play,4,1,alvay001,00,X,D8/F78XD+.1-H
play,4,1,tuckk001,00,X,D7/F7D.2-H
play,4,1,abrej003,02,CFFS,K
play,4,1,penaj004,00,X,53/G56
play,4,1,julkc001,12,CCBX,D8/L78XD.2-H
play,4,1,mccoc001,31,BB*BCX,D9/L9LD+.2-H
play,4,1,maldm001,02,SSC,K
play,5,0,mervm001,32,FBBBF.FFS,K
play,5,0,mastm001,22,CCBFBX,S9/L9D
play,5,0,hosme001,11,BSX,6(1)3/GDP/G6M
play,5,1,dubom001,12,CCBS,K
play,5,1,brega001,32,CBBFBB,W
play,5,1,alvay001,02,CC*S,K
play,5,1,tuckk001,10,BX,5/P5D
play,6,0,barnt001,31,BBBCB,W
play,6,0,madrn001,32,*BBCBFFX,54(1)/FO/G56.B-1
play,6,0,swand001,00,1X,8/F78XD
play,6,0,morec001,22,*B*SBSS,K
play,6,1,abrej003,12,BCF.FS,K
play,6,1,penaj004,01,SX,4/P4S
play,6,1,julkc001,00,X,9/F89S
play,7,0,happi001,00,,NP
sub,matop002,"Phil Maton",1,0,1
play,7,0,happi001,22,.CBFBS,K
play,7,0,suzus001,12,CBSX,S7/G56
play,7,0,mervm001,02,FFX,8/F8XD+
play,7,0,mastm001,12,CBSFFS,K
play,7,1,mccoc001,00,,NP
