id,PIT202308240
version,2
info,visteam,CHN
info,hometeam,PIT
info,site,PIT08
info,date,2023/08/24
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,hamaa901
info,ump2b,mahrn901
info,ump3b,metzj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/13 09:03:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,soosr701
info,temp,84
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,164
info,attendance,14651
info,wp,paled001
info,lp,hatct001
info,save,alzoa001
start,hoern001,"Nico Hoerner",0,1,4
start,swand001,"Dansby Swanson",0,2,6
start,happi001,"Ian Happ",0,3,7
start,bellc002,"Cody Bellinger",0,4,8
start,suzus001,"Seiya Suzuki",0,5,10
start,gomey001,"Yan Gomes",0,6,2
start,candj002,"Jeimer Candelario",0,7,3
start,madrn001,"Nick Madrigal",0,8,5
start,taucm001,"Mike Tauchman",0,9,9
start,steej002,"Justin Steele",0,0,1
start,hayek001,"Ke'Bryan Hayes",1,1,5
start,reynb001,"Bryan Reynolds",1,2,10
start,joe-c001,"Connor Joe",1,3,9
start,palaj001,"Joshua Palacios",1,4,7
start,rodre006,"Endy Rodriguez",1,5,2
start,caprv001,"Vinny Capra",1,6,4
start,rivaa001,"Alfonso Rivas",1,7,3
start,willa005,"Alika Williams",1,8,6
start,bae-j001,"Ji Hwan Bae",1,9,8
start,zastr001,"Rob Zastryzny",1,0,1
play,1,0,hoern001,21,BBCX,D9/L89
play,1,0,swand001,21,BSBX,4/L4M
play,1,0,happi001,22,BBCCFS,K
play,1,0,bellc002,12,SFFFB.FX,S7/L78.2-H
play,1,0,suzus001,21,1BFB>B,CS2(24)
play,1,1,hayek001,21,BFBX,53/G5
play,1,1,reynb001,12,BFFX,13/G13
play,1,1,joe-c001,32,FBBBC.FB,W
play,1,1,palaj001,12,BSCS,K
play,2,0,suzus001,00,,NP
sub,jacka003,"Andre Jackson",1,0,1
play,2,0,suzus001,12,.CFBX,D9/L9D+
play,2,0,gomey001,12,BFFFX,S34/P3D-.2-3
play,2,0,candj002,31,BBFBX,7/SF/F78XD+.3-H
play,2,0,madrn001,00,X,S9/G4.1-2
play,2,0,taucm001,01,CX,54(1)/FO/G56.2-3;B-1
play,2,0,hoern001,11,C1*BX,S9/L9.3-H;1-2
play,2,0,swand001,10,BX,3/P1S
play,2,1,rodre006,32,CCBBBFB,W
play,2,1,caprv001,00,X,FC/SH/BG13.1-2;B-1(E1)
play,2,1,rivaa001,02,CCS,K
play,2,1,willa005,12,FF*BC,K
play,2,1,bae-j001,22,BFFBX,S9/G4.2-H(UR);1-3
play,2,1,hayek001,02,CC>B,SB2
play,2,1,hayek001,32,CC>B.BFBT,K
play,3,0,happi001,12,CCBX,7/L7D
play,3,0,bellc002,00,X,7/F7LD
play,3,0,suzus001,10,BX,3/P3
play,3,1,reynb001,11,BFX,4/P34D
play,3,1,joe-c001,10,BX,S7/G56
play,3,1,palaj001,21,FBBX,HR/F9LD.1-H
play,3,1,rodre006,21,BSBX,7/F7
play,3,1,caprv001,12,CCBS,K
play,4,0,gomey001,12,CBST,K
play,4,0,candj002,12,C.BCX,43/G34
play,4,0,madrn001,21,C.BBX,7/F78XD
play,4,1,rivaa001,12,FBF.FFFX,7/F7
play,4,1,willa005,00,X,43/G4
play,4,1,bae-j001,22,BTBSFS,K
play,5,0,taucm001,01,SX,S8/L8D
play,5,0,hoern001,20,.*B1BX,5/P6S
play,5,0,swand001,12,S1BS.S,K
play,5,0,happi001,01,FX,6(1)/FO/G6M.B-1
play,5,1,hayek001,00,X,S8/L8D
play,5,1,reynb001,22,S*BSBX,64(1)3/GDP/G6
play,5,1,joe-c001,00,X,S8/L8
play,5,1,palaj001,02,FSX,7/F7
play,6,0,bellc002,12,CFBFFX,8/F8
play,6,0,suzus001,01,CX,8/L89XD
play,6,0,gomey001,32,CBBBFX,S7/G56
play,6,0,candj002,01,CX,43/G34
play,6,1,rodre006,01,FX,53/G5
play,6,1,caprv001,32,BBBCFX,63/G6
play,6,1,rivaa001,11,BCX,D9/L9LD.B-3(E9)
play,6,1,willa005,01,CX,9/F9LD
play,7,0,madrn001,12,BC.CX,31/G34
play,7,0,taucm001,11,CBX,8/F8XD
play,7,0,hoern001,21,BBCX,53/G56
play,7,1,bae-j001,00,,NP
