id,LAN202308310
version,2
info,visteam,ATL
info,hometeam,LAN
info,site,LOS03
info,date,2023/08/31
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,belld901
info,ump1b,cuzzp901
info,ump2b,rippm901
info,ump3b,lives901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/02 09:03:02
info,howscored,unknown
info,pitches,pitches
info,oscorer,reevt701
info,temp,78
info,winddir,torf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,172
info,attendance,47623
info,wp,stris002
info,lp,lynnl001
info,save,igler001
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,harrm004,"Michael Harris II",0,2,8
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,ozunm001,"Marcell Ozuna",0,5,10
start,rosae001,"Eddie Rosario",0,6,7
start,murps001,"Sean Murphy",0,7,2
start,arcio002,"Orlando Arcia",0,8,6
start,lopen001,"Nicky Lopez",0,9,4
start,stris002,"Spencer Strider",0,0,1
start,bettm001,"Mookie Betts",1,1,4
start,freef001,"Freddie Freeman",1,2,3
start,smitw003,"Will Smith",1,3,2
start,muncm001,"Max Muncy",1,4,5
start,perad001,"David Peralta",1,5,7
start,heywj001,"Jason Heyward",1,6,9
start,outmj002,"James Outman",1,7,8
start,buscm003,"Michael Busch",1,8,10
start,rosaa003,"Amed Rosario",1,9,6
start,lynnl001,"Lance Lynn",1,0,1
play,1,0,acunr001,32,BSFBBX,S8/L89+
play,1,0,harrm004,12,BFFX,46(1)/FO/G34.B-1
play,1,0,rilea001,22,BFF1BF>FX,7/F7
play,1,0,olsom001,32,F1SBFBB>S,K
play,1,1,bettm001,31,BBBCB,W
play,1,1,freef001,21,CBBX,S8/L78XD+.1-3
play,1,1,smitw003,02,SCFS,K
play,1,1,muncm001,11,BSX,46(1)/FO/G3+.3-H;B-1
play,1,1,perad001,00,X,56(1)/FO/G6.B-1
play,2,0,ozunm001,00,X,S8/L8D+
play,2,0,rosae001,00,X,8/F89D+
play,2,0,murps001,21,BFBH,HP.1-2
play,2,0,arcio002,32,FSFFBBBFX,S5/G5S-.2-3;1-2
com,"$Braves challenged (play at 1st), call on the field was overturned."
play,2,0,lopen001,32,BBCFBFB,W.3-H;2-3;1-2
play,2,0,acunr001,22,FBBFX,HR/F78XD.3-H;2-H;1-H
play,2,0,harrm004,21,FBBX,6/L6M
play,2,0,rilea001,11,BFX,HR/F8XD
play,2,0,olsom001,10,BX,43/G34D
play,2,1,heywj001,22,.CBSBFS,K
play,2,1,outmj002,12,.BFFS,K
play,2,1,buscm003,22,CBSB.C,K
play,3,0,ozunm001,00,X,63/G6D
play,3,0,rosae001,22,CBBSX,63/G6M
play,3,0,murps001,32,BSBBFFF.X,4/F9LS
play,3,1,rosaa003,12,CSBFX,43/G4+
play,3,1,bettm001,02,CCFX,8/F8
play,3,1,freef001,00,X,13/G3S
play,4,0,arcio002,22,BFFBX,53/G5
play,4,0,lopen001,21,FBBX,43/G34
play,4,0,acunr001,01,FX,6/P6D
play,4,1,smitw003,12,BFCC,K
play,4,1,muncm001,12,SBCS,K
play,4,1,perad001,12,CFBS,K
play,5,0,harrm004,22,BFFBFX,HR/F8XD
play,5,0,rilea001,02,CCX,S8/L78D
play,5,0,olsom001,21,*BBCX,8/F89D+
play,5,0,ozunm001,32,CBBS.BB,W.1-2
play,5,0,rosae001,00,,NP
sub,vesia001,"Alex Vesia",1,0,1
play,5,0,rosae001,00,.X,6(1)3/GDP/G4+
play,5,1,heywj001,11,SBX,S9/L89
play,5,1,outmj002,32,BBFBC1B,W.1-2
play,5,1,buscm003,01,*SX,9/F9D+.2-3
play,5,1,rosaa003,12,BCFS,K
play,5,1,bettm001,32,BF*S*BB>X,HR/F9D.3-H;1-H
play,5,1,freef001,20,BBX,63/G6M
play,6,0,murps001,21,CBBX,43/G4
play,6,0,arcio002,22,BCBFS,K
