id,NYN202305011
version,2
info,visteam,ATL
info,hometeam,NYN
info,site,NYC20
info,date,2023/05/01
info,number,1
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gonzm901
info,ump1b,willr901
info,ump2b,johna901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:19
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,59
info,winddir,torf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,173
info,attendance,0
info,wp,stris002
info,lp,reyed002
info,save,minta001
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,murps001,"Sean Murphy",0,4,2
start,albio001,"Ozzie Albies",0,5,4
start,rosae001,"Eddie Rosario",0,6,10
start,grisv001,"Vaughn Grissom",0,7,6
start,harrm004,"Michael Harris II",0,8,8
start,pillk001,"Kevin Pillar",0,9,7
start,stris002,"Spencer Strider",0,0,1
start,nimmb001,"Brandon Nimmo",1,1,8
start,marts002,"Starling Marte",1,2,9
start,lindf001,"Francisco Lindor",1,3,6
start,alonp001,"Pete Alonso",1,4,3
start,mcnej002,"Jeff McNeil",1,5,7
start,voged001,"Daniel Vogelbach",1,6,10
start,batyb001,"Brett Baty",1,7,5
start,guill001,"Luis Guillorme",1,8,4
start,nidot001,"Tomas Nido",1,9,2
start,reyed002,"Denyi Reyes",1,0,1
play,1,0,acunr001,22,BFBCX,S7/L7S
play,1,0,olsom001,01,1CX,S9/G34.1-2
play,1,0,rilea001,10,BX,6/P4MD
play,1,0,murps001,22,TFBBX,HR/L7LD.2-H;1-H
play,1,0,albio001,12,FBF*S,K
play,1,0,rosae001,32,BCBFBB,W
play,1,0,grisv001,32,B1FSBB>F>X,63/G6
play,1,1,nimmb001,12,CBCX,T8/L9D
play,1,1,marts002,32,CTBFBFBB,W
play,1,1,lindf001,01,FX,S9/L89D+.3-H;1-3
play,1,1,alonp001,02,SSS,K
play,1,1,mcnej002,21,CBB>S,SB2
play,1,1,mcnej002,22,CBB>S.FFFX,4/P34D
play,1,1,voged001,31,BBBCB,W
play,1,1,batyb001,22,BCBSFS,K
play,2,0,harrm004,12,BCSX,S9/L89D+
play,2,0,pillk001,01,CX,HR/F7D.1-H
play,2,0,acunr001,00,,NP
sub,curtj003,"John Curtiss",1,0,1
play,2,0,acunr001,31,.BBBCX,HR/F78XD
play,2,0,olsom001,10,BX,8/F8XD
play,2,0,rilea001,21,BCBX,53/G56
play,2,0,murps001,10,BX,3/P34
play,2,1,guill001,02,CCS,K
play,2,1,nidot001,12,CCFBX,3/P3DF/FL
play,2,1,nimmb001,32,SBCFBFBS,K
play,3,0,albio001,10,BX,9/F9LD+
play,3,0,rosae001,32,CSBBFBX,5/P5F/FL
play,3,0,grisv001,10,BX,43/G4MD
play,3,1,marts002,10,BX,S7/G56+
play,3,1,lindf001,11,BC>B,SB2
play,3,1,lindf001,32,BC>B.FFF*BF*B,W
play,3,1,alonp001,21,CBBX,HR/F89XD.2-H;1-H
play,3,1,mcnej002,12,CFFBH,HP
play,3,1,voged001,00,X,S8/F8.1-3
play,3,1,batyb001,02,CFX,5/P5D
play,3,1,guill001,12,SCBS,K
play,3,1,nidot001,12,CFBX,64(1)/FO/G6.B-1
play,4,0,harrm004,00,,NP
sub,nogos001,"Stephen Nogosek",1,0,1
play,4,0,harrm004,22,.BSBFX,1/G34S-
play,4,0,pillk001,10,BX,2/P2F/FL
play,4,0,acunr001,12,FCFBFX,8/L8D+
play,4,1,nimmb001,12,CFBFT,K
play,4,1,marts002,11,BFX,7/L7+
play,4,1,lindf001,02,FFS,K
play,5,0,olsom001,12,CS.BX,63/G6M
play,5,0,rilea001,12,CBFX,63/G56
play,5,0,murps001,32,BSSBBFX,63/G6
play,5,1,alonp001,01,CX,8/F8XD+
play,5,1,mcnej002,12,SFBFX,43/G4
play,5,1,voged001,22,FBSBC,K
play,6,0,albio001,11,BCX,8/F89D
play,6,0,rosae001,11,SBX,9/F9D
play,6,0,grisv001,02,CSX,S9/G34
play,6,0,harrm004,00,,NP
sub,brigj002,"Jeff Brigham",1,0,1
play,6,0,harrm004,30,.1BBBB,W.1-2
play,6,0,pillk001,32,BFSBFB+2>C,K
play,6,1,batyb001,00,,NP
sub,lee-d005,"Dylan Lee",0,0,1
