id,TEX202305170
version,2
info,visteam,ATL
info,hometeam,TEX
info,site,ARL03
info,date,2023/05/17
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barkl901
info,ump1b,littw901
info,ump2b,addir901
info,ump3b,merzd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/22 09:03:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,wells701
info,temp,74
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,149
info,attendance,30035
info,wp,anden001
info,lp,burkb001
info,save,igler001
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,olsom001,"Matt Olson",0,2,3
start,albio001,"Ozzie Albies",0,3,4
start,rilea001,"Austin Riley",0,4,5
start,rosae001,"Eddie Rosario",0,5,7
start,darnt001,"Travis d'Arnaud",0,6,2
start,ozunm001,"Marcell Ozuna",0,7,10
start,arcio002,"Orlando Arcia",0,8,6
start,harrm004,"Michael Harris II",0,9,8
start,stris002,"Spencer Strider",0,0,1
start,semim001,"Marcus Semien",1,1,4
start,seagc001,"Corey Seager",1,2,10
start,lowen001,"Nathaniel Lowe",1,3,3
start,garca005,"Adolis Garcia",1,4,9
start,heimj001,"Jonah Heim",1,5,2
start,grosr001,"Robbie Grossman",1,6,7
start,durae002,"Ezequiel Duran",1,7,6
start,smitj007,"Josh H. Smith",1,8,5
start,tavel001,"Leody Taveras",1,9,8
start,eovan001,"Nathan Eovaldi",1,0,1
play,1,0,acunr001,12,FT.BFX,3/G3
play,1,0,olsom001,02,FFX,2/P5SF/FL
play,1,0,albio001,12,TBFS,K
play,1,1,semim001,01,CX,8/F8XD
play,1,1,seagc001,11,BFX,7/F7
play,1,1,lowen001,02,CFX,63/G6M
play,2,0,rilea001,12,BCFX,S9/F9LS
play,2,0,rosae001,00,X,HR/F9D.1-H
play,2,0,darnt001,22,SFBBX,S7/L7D
play,2,0,ozunm001,00,X,S9/F9S.1-2
play,2,0,arcio002,21,CBBX,54(1)3/GDP/G56.2-3
play,2,0,harrm004,01,FX,31/G3
play,2,1,garca005,02,CSS,K
play,2,1,heimj001,32,FBBCFBFS,K
play,2,1,grosr001,32,BBBSFFB,W
play,2,1,durae002,02,SS.FFS,K
play,3,0,acunr001,10,BX,63/G6
play,3,0,olsom001,12,BCFC,K
play,3,0,albio001,00,X,8/F8XD
play,3,1,smitj007,00,X,S4/G4
play,3,1,tavel001,32,B1BFSB>B,W.1-2
play,3,1,semim001,21,BFBX,9/L9L
play,3,1,seagc001,21,CBBX,7/L7+
play,3,1,lowen001,12,FBSS,K
play,4,0,rilea001,02,CSC,K
play,4,0,rosae001,31,BBBCX,5/P5F/FL
play,4,0,darnt001,22,BT.CBX,63/G6
play,4,1,garca005,11,SBX,HR/F9D
play,4,1,heimj001,32,FBSBBB,W
play,4,1,grosr001,11,SBX,S39/G34.1-3
play,4,1,durae002,00,X,D9/G3.3-H;1-3
play,4,1,smitj007,22,FB*BFFFT,K
