Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,duraj001,32,BBBCFC,K
play,1,1,turnj001,01,CX,3/P3S
play,1,1,yoshm002,01,CX,63/G6D
play,2,1,dever001,00,X,13/G2
play,2,1,duvaa001,02,CC.FFS,K
play,2,1,verda001,20,BBX,1/G3S
play,3,1,casat001,01,FX,S7/L7+
play,3,1,wongc001,20,B*BX,9/F9L
play,3,1,chany001,02,CS*S,K
play,3,1,duraj001,02,CFX,7/F7L
play,4,1,turnj001,01,CX,S9/L89
play,4,1,yoshm002,10,BX,36(1)/FO/G3S.B-1
play,4,1,dever001,12,C1FBX,5/P56S
play,4,1,duvaa001,02,F1FS,K
play,5,1,verda001,22,CBBF.S,K
play,5,1,casat001,32,BBC.BFB,W
play,5,1,wongc001,22,BCS.*BX,S7/L78.1-2
play,5,1,chany001,12,BFS.S,K
play,5,1,duraj001,10,BX,8/F8
play,6,1,turnj001,22,BCS.FFBS,K
play,6,1,yoshm002,22,CSBFB*S,K.BX1(23)
play,6,1,dever001,12,CBSX,HR/F9LD
play,6,1,duvaa001,02,FC.S,K
play,7,1,verda001,00,,NP
play,7,1,verda001,12,.FCBC,K
play,7,1,casat001,00,X,HR/F8XD
play,7,1,wongc001,20,BBX,S7/L78S
play,7,1,chany001,00,,NP
